gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0949539,.0444155,.0000339,-14.21345,.0392138,6.68e-08,.8941596,.2123233,2,3,0,0
2,10,.2091124,.0220874,-.0007027,52.79105,.0000918,.0731286,.4090932,.4052382,3,1,0,0
3,10,.2243116,.0415086,-.0004455,-28.11584,3.08e-09,5.67e-07,.3595307,.0960469,3,3,0,1
1,20,.1159857,.0378627,.0000179,-7.409157,.0024879,4.19e-08,.9388939,.3232052,3,3,0,0
2,20,.1891211,.0238142,-.0007573,31.93257,2.41e-06,.0182857,.235904,.4542594,3,2,0,0
3,20,.2435664,.0306059,-.0002674,-10.07087,2.84e-13,.0000359,.4869258,.4366599,3,3,0,0
1,30,.1290648,.031945,-.000059,-2.032525,5.05e-06,1.47e-10,.7717491,.606068,3,3,0,0
2,30,.1862271,.0201777,-.0006441,14.57176,2.04e-10,.0111508,.1754403,.5927913,3,2,0,0
3,30,.2231956,.029607,-.0004307,-1.730446,3.74e-17,7.61e-07,.1211935,.8661147,3,3,0,0
1,60,.0900718,.0306954,-.0002699,-.0404119,2.95e-06,5.73e-16,.0033482,.9770029,3,3,3,0
2,60,.1868632,.0102807,-.0003385,12.70387,5.27e-19,.0440822,.2834066,.4227135,3,2,0,0
3,60,.2257379,.0173208,-.0002964,3.834034,2.34e-32,1.90e-06,.0557091,.5748047,3,3,1,0
1,90,.0917542,.0251911,-.0002047,-1.656969,1.34e-09,3.42e-17,.000946,.1968241,3,3,3,0
2,90,.1479606,.0205656,-.0000493,-34.51819,4.73e-17,.0000515,.8270174,.1329672,3,3,0,0
3,90,.2065687,.0123636,-.0001972,7.911431,1.34e-38,.000033,.0853168,.2993815,3,3,1,0
1,120,.07339,.0239207,-.000197,-1.752577,1.38e-10,1.87e-22,.0000121,.0686115,3,3,3,1
2,120,.140263,.0132346,-.0001112,-9.021409,6.74e-20,.0012769,.4934699,.5955083,3,3,0,0
3,120,.1789478,.0118678,-.00022,9.21623,2.74e-37,9.66e-06,.0316403,.1947871,3,3,2,0
1,150,.0495076,.0248702,-.0001781,-1.516998,2.63e-07,7.41e-27,1.05e-06,.0183413,3,3,3,2
2,150,.1370232,.0074631,-.0001365,6.838934,2.77e-20,.0348047,.3905408,.5379104,3,2,0,0
3,150,.1553556,.0125571,-.0002647,8.481244,3.52e-36,1.04e-07,.0062342,.1602977,3,3,3,0
1,180,.0369399,.0247911,-.0001504,-1.981258,.0000171,5.11e-29,8.42e-07,.0036571,3,3,3,3
2,180,.1085699,.0101617,-.0002439,24.20812,3.13e-14,.0041125,.1329232,.0044614,3,3,0,3
3,180,.1267551,.0147419,-.0002602,12.35962,5.31e-27,2.81e-08,.006825,.0661962,3,3,3,1
