gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.310595,.0199967,-.0013857,-.8793361,1.90e-08,.0224233,.0199499,7.44e-06,3,2,2,3
2,10,.3624643,.0373841,-.0014569,-1.766209,7.85e-13,.0038228,.3886073,7.67e-11,3,3,0,3
3,10,.2270296,.0460035,-.0021003,-.3350446,2.20e-07,.000025,.0267959,.2316312,3,3,2,0
1,20,.3356704,.0011163,-.0010929,-.6112188,6.99e-19,.8415591,.0030907,7.03e-07,3,0,3,3
2,20,.3474432,.0148908,-.0025938,-1.412739,1.23e-21,.1293437,.0279855,5.42e-11,3,0,2,3
3,20,.2492097,.046353,-.0017141,-.620183,2.08e-13,1.72e-08,.009374,.001507,3,3,3,3
1,30,.3066589,-.0032928,-.0008839,-.3166513,1.30e-23,.4541982,.0007612,.0004107,3,0,3,3
2,30,.2976913,.0163244,-.0030684,-1.194846,1.37e-25,.0611032,.001344,4.60e-12,3,1,3,3
3,30,.2632901,.0299205,-.0017201,-.3997516,5.90e-21,5.88e-06,.0003159,.0113099,3,3,3,2
1,60,.0227541,.0280187,-.0007688,.0979989,.0083309,1.24e-24,1.26e-06,.1105393,3,3,3,0
2,60,.2676952,-.0062787,-.0040426,-.749276,1.29e-29,.3728105,1.31e-08,4.54e-14,3,0,3,3
3,60,.2665429,.0092154,-.0011983,-.2357173,1.04e-34,.0584328,.0001127,.0126901,3,1,3,2
1,90,.0153605,.0226374,-.0007795,.1005662,.0122584,4.31e-28,5.02e-13,.0182197,2,3,3,2
2,90,.2786281,-.0310379,-.0018305,-.476991,8.37e-28,.000017,.0022579,1.20e-13,3,3,3,3
3,90,.2604329,-.0051611,-.0010977,-.1080741,1.14e-38,.2011224,7.80e-07,.1055285,3,0,3,0
1,120,.0089969,.0205658,-.0006563,.0614797,.013669,1.21e-35,4.87e-13,.0680418,2,3,3,1
2,120,.3015717,-.0504524,-.0011999,-.3198397,4.76e-20,2.80e-07,.0520158,1.78e-11,3,3,1,3
3,120,.2330706,-.0095652,-.0009545,-.0112188,1.00e-36,.0161664,1.25e-07,.8439709,3,2,3,0
1,150,.006065,.01889,-.0006127,.050098,.0165395,0,4.72e-14,.0736447,2,3,3,1
2,150,.2579151,-.0418818,-.0017027,-.2655012,6.62e-06,.0265971,.0168662,6.24e-09,3,2,2,3
3,150,.2085206,-.0079968,-.0008395,-.0303323,0,.0193395,8.08e-08,.5728194,3,2,3,0
1,180,.0043961,.0169843,-.0005954,.0479947,.0294249,0,2.47e-15,.0497937,2,3,3,2
2,180,.1129718,.0026029,-.0027174,-.2760265,.0723969,.8961973,4.27e-08,2.73e-08,1,0,3,3
3,180,.1875816,-.0077632,-.000586,-.0258995,0,.0104403,.0000116,.5717835,3,2,3,0
