gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0994369,.039656,-.000852,5.710559,2.62e-09,9.44e-15,.0062057,.1308898,3,3,3,0
2,10,.1242068,.0428123,.0020956,-12.31517,2.85e-09,.0000237,.0309028,.1498931,3,3,2,0
3,10,.0178596,.0715349,-.0002704,-27.63505,.3097181,1.55e-14,.641452,.0795948,0,3,0,1
1,20,.0842896,.0359261,-.0004888,2.318441,1.88e-11,1.63e-16,.0492471,.2532761,3,3,2,0
2,20,.0700536,.0505675,.0010261,-2.906976,1.03e-07,1.42e-12,.0648191,.3648356,3,3,1,0
3,20,.0431675,.0560308,.0006538,-26.59687,.0008117,2.10e-15,.0290925,.0061223,3,3,2,3
1,30,.0656241,.0367922,-.0003996,1.244334,1.57e-09,7.36e-20,.067715,.5284236,3,3,1,0
2,30,.0621502,.0487218,.0004941,-4.748614,1.74e-11,9.86e-18,.2626738,.069847,3,3,0,1
3,30,.0616266,.0422234,.00049,-19.58126,6.93e-08,7.64e-13,.0532699,.0112217,3,3,1,2
1,60,.0388477,.0363697,-.0002798,.5449967,2.73e-08,2.67e-29,.0415944,.547382,3,3,2,0
2,60,.0687595,.0313962,.0005154,-3.545567,3.44e-21,2.41e-16,.0462673,.017498,3,3,2,2
3,60,.1078776,.0146833,.0003371,-10.08986,4.15e-25,.0001613,.0267368,.0451175,3,3,2,2
1,90,.0287594,.033306,-.0002491,.5400684,1.82e-09,0,.0085351,.4545598,3,3,3,0
2,90,.0817255,.0151478,.0001737,2.715269,3.58e-34,1.21e-07,.3795792,.0600504,3,3,0,1
3,90,.0976698,.0112615,.0001188,-4.276696,2.08e-30,.0001149,.3503155,.1689541,3,3,0,0
1,120,.0162807,.0331852,-.0001315,.0797531,2.00e-06,0,.0460894,.8828105,3,3,2,0
2,120,.0936332,.0027388,-.0000262,2.460875,0,.2604474,.8758999,.0205197,3,0,0,2
3,120,.0873582,.0113748,1.00e-06,-5.134274,5.01e-30,.000016,.993051,.0650466,3,3,0,1
1,150,.0109447,.0320198,-.0000377,-.3277025,.0001314,0,.4426538,.4780007,3,3,0,0
2,150,.1078522,-.009074,-.000255,1.643071,0,.0001414,.0641393,.0291339,3,3,1,2
3,150,.0848577,.0086699,.0000191,-4.222534,3.11e-31,.000256,.8482436,.0715156,3,3,0,1
1,180,.0109217,.0297459,.0000409,-.4639945,.0001384,0,.3650006,.2896147,3,3,0,0
2,180,.1120143,-.0135389,.0001099,.476927,0,4.25e-09,.3195917,.5621853,3,3,0,0
3,180,.0817756,.0068765,.0000487,-3.705565,1.61e-34,.0005483,.5660971,.0444672,3,3,0,2
