gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0476557,.0111807,-.0017028,-.1445812,.0000686,.0331543,.0029587,.3236221,3,2,3,0
2,10,.3710209,-.0790083,-.0005213,-2.348956,3.85e-14,5.26e-06,.788143,1.69e-09,3,3,0,3
3,10,.0324737,.0220087,-.0070482,.3449148,.2508831,.0351806,1.51e-12,.1179332,0,2,3,0
1,20,.0533716,.0057237,-.0012174,-.207313,8.40e-08,.1640519,.0005838,.0505938,3,0,3,1
2,20,.3024085,-.0838837,.0012692,-1.340048,9.64e-26,1.28e-13,.2872828,7.38e-08,3,3,0,3
3,20,.0609125,.0070372,-.0068539,.2248398,.0069828,.2828755,1.48e-21,.2198904,3,0,3,0
1,30,.0626813,-.0020111,-.000845,-.1968815,5.89e-09,.6551989,.0060302,.0348637,3,0,3,2
2,30,.2897771,-.0862142,-.0000995,-.9797065,2.43e-22,1.75e-12,.9251122,1.23e-06,3,3,0,3
3,30,.1000315,-.0062359,-.0059219,-.0042615,1.09e-07,.2143627,1.11e-23,.9758329,3,0,3,0
1,60,.0649905,-.0058453,-.0010062,-.162672,1.65e-12,.0921499,.0002464,.0135626,3,1,3,2
2,60,.2158304,-.0659032,-.0010933,-.5561657,3.87e-35,6.93e-24,.0269758,4.84e-07,3,3,2,3
3,60,.1536908,-.0301084,-.0038483,-.1797487,6.48e-19,1.98e-09,8.56e-19,.0277205,3,3,3,2
1,90,.0543136,-.0048152,-.0007278,-.1513868,1.79e-13,.0998805,.0018254,.0054025,3,1,3,3
2,90,.202256,-.0683079,-.0005982,-.2960246,0,9.93e-34,.1153441,.0000398,3,3,0,3
3,90,.2007684,-.050936,-.0026029,-.3099613,1.47e-31,7.80e-22,4.79e-18,7.12e-09,3,3,3,3
1,120,.0452946,-.0028955,-.0006007,-.1389854,1.94e-13,.2495301,.0034116,.003259,3,0,3,3
2,120,.1972661,-.0742574,.0010698,-.1829063,0,1.37e-30,.0063861,.001327,3,3,3,3
3,120,.1963125,-.0516434,-.0016832,-.3147816,4.58e-35,1.13e-25,1.19e-12,9.93e-12,3,3,3,3
1,150,.0383438,-.0009354,-.000538,-.1295439,4.91e-12,.6852455,.0041154,.001859,3,0,3,3
2,150,.1880335,-.0689917,.0012538,-.3433479,1.26e-24,4.25e-18,.0036498,2.14e-06,3,3,3,3
3,150,.2014081,-.0567535,-.0009838,-.2784541,0,5.40e-36,3.70e-08,4.27e-14,3,3,3,3
1,180,.0349008,-.0000237,-.0004607,-.1482458,6.04e-11,.9918399,.0092164,.0001303,3,0,3,3
2,180,.1473241,-.0522329,.0009305,-.2555731,7.88e-11,8.70e-07,.0856908,.0002429,3,3,1,3
3,180,.1907191,-.0538812,-.0008442,-.2722687,0,0,8.18e-10,5.44e-14,3,3,3,3
