gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2017526,.0211395,-.0009501,-.2046221,1.19e-19,8.52e-08,.1428111,.188045,3,3,0,0
2,10,.2213315,.0197774,.0143616,-3.713901,.0008914,.2244412,.000394,2.34e-07,3,0,3,3
3,10,.1499991,.050589,.0000289,-1.075732,5.08e-14,2.03e-13,.9740427,2.52e-08,3,3,0,3
1,20,.1341308,.0315784,-.0006191,-.1625743,7.80e-23,1.66e-22,.119129,.0466627,3,3,0,2
2,20,.2118954,.0009788,.0113052,-2.343916,.0000455,.9367005,.00005,.0000109,3,0,3,3
3,20,.1519885,.0396656,-.0005173,-.7619148,8.86e-21,4.68e-15,.3804767,1.71e-08,3,3,0,3
1,30,.0954855,.0359016,-.0006333,-.1288348,1.75e-23,4.57e-34,.0321242,.0200002,3,3,2,2
2,30,.1527926,.0020242,.0119667,-1.381873,.0000537,.8337763,4.29e-08,.001869,3,0,3,3
3,30,.1452617,.0329266,-.0006187,-.5279734,4.53e-23,4.70e-15,.1788772,5.08e-07,3,3,0,3
1,60,.0560266,.0343061,-.0004845,-.1091702,1.29e-22,0,.0090274,.0007367,3,3,3,3
2,60,.0529425,.0141056,.011067,-.4545761,.0803789,.0299166,2.07e-10,.2583252,1,2,3,0
3,60,.1271155,.022725,-.00002,-.2800059,7.57e-25,4.56e-13,.9452943,.0000606,3,3,0,3
1,90,.0436848,.0297474,-.0002804,-.1158801,1.02e-21,0,.0500055,3.83e-06,3,3,1,3
2,90,-.0126299,.0236958,.0084314,.0037793,.6376677,.0000396,1.20e-09,.9903296,0,3,3,0
3,90,.1138668,.0166188,.0000287,-.1573447,3.71e-28,4.25e-12,.8844759,.0020977,3,3,0,3
1,120,.0356177,.0268437,-.0001172,-.1290829,2.71e-17,0,.326243,3.33e-09,3,3,0,3
2,120,-.0867969,.0403307,.0057509,.2911955,.0167378,1.15e-06,1.86e-08,.2959688,2,3,3,0
3,120,.0961587,.0155571,.0000448,-.111533,1.61e-26,1.09e-13,.7767147,.0094283,3,3,0,3
1,150,.0362029,.0239178,.0000359,-.1532461,9.12e-19,0,.7186615,8.90e-14,3,3,0,3
2,150,-.2112273,.0735734,.0028824,.4984732,1.29e-08,1.24e-13,.0007933,.0134803,3,3,3,2
3,150,.0951893,.0123692,.0001594,-.1008763,8.44e-31,3.78e-13,.2076632,.0145322,3,3,0,2
1,180,.0426403,.0203904,.0000635,-.1782052,1.43e-23,0,.4516336,3.29e-19,3,3,0,3
2,180,-.2552376,.0871914,.0012989,.3217471,5.43e-13,1.40e-17,.0607967,.0204133,3,3,1,2
3,180,.0886717,.0107288,.000202,-.1223907,4.78e-30,2.40e-13,.085082,.0017724,3,3,1,3
