gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1228597,.0472141,-.0015263,-.6450307,6.46e-06,2.12e-16,.0334808,.1355504,3,3,2,0
2,10,.185755,-.0336984,-.0079308,-1.848318,2.99e-30,1.36e-06,2.59e-06,5.65e-14,3,3,3,3
3,10,.1773162,.0288791,.0002441,-2.484105,3.59e-21,.0000224,.6613914,.0006323,3,3,0,3
1,20,.123678,.0321446,-.0010802,-.3116699,3.29e-08,2.08e-11,.037665,.2032397,3,3,2,0
2,20,.161621,-.0305916,-.0066357,-1.301137,2.33e-35,1.13e-08,9.03e-09,1.02e-16,3,3,3,3
3,20,.1501723,.0301452,-.0000826,-2.405856,2.90e-26,9.92e-09,.8413627,.0000196,3,3,0,3
1,30,.1402966,.0222194,-.0010442,-.2164596,3.13e-13,3.06e-08,.0151379,.231454,3,3,2,0
2,30,.141629,-.0282329,-.0063435,-.9354069,1.31e-37,2.73e-09,1.25e-11,9.35e-14,3,3,3,3
3,30,.1383921,.027945,-.0003788,-2.157024,1.12e-26,1.79e-09,.2714949,4.88e-06,3,3,0,3
1,60,.0673693,.0312723,-.0006551,-.1832098,1.29e-08,2.93e-23,.0225288,.0821377,3,3,2,1
2,60,.0961419,-.0158465,-.0051248,-.5039589,1.28e-15,.0009897,3.32e-07,6.08e-09,3,3,3,3
3,60,.1089772,.0261371,-.0005896,-2.007569,8.92e-24,1.83e-11,.0305483,2.41e-07,3,3,2,3
1,90,.015361,.0352004,-.0004331,-.166159,.0693298,2.10e-33,.0652856,.021223,1,3,1,2
2,90,.0748486,-.0066908,-.0044866,-.4659499,3.64e-10,.1594806,6.07e-06,4.29e-07,3,0,3,3
3,90,.0952168,.0212482,-.0005125,-1.785214,1.32e-24,1.69e-10,.0188694,3.58e-07,3,3,2,3
1,120,-.0079035,.0349696,-.000357,-.1235027,.2886159,3.81e-38,.0766049,.0348626,0,3,1,2
2,120,.0493886,.0027666,-.0052753,-.3267814,.0002098,.6031384,2.36e-08,.0029391,3,0,3,3
3,120,.0884751,.0166744,-.0004519,-1.391965,1.53e-24,2.05e-08,.0103976,4.35e-07,3,3,2,3
1,150,-.0259308,.0351981,-.0003429,-.1045741,.000154,0,.0301875,.0431644,3,3,2,2
2,150,.0048196,.0188808,-.0056263,.0356179,.6692547,.0002373,1.11e-11,.6935746,0,3,3,0
3,150,.0901699,.0117637,-.0003914,-1.173881,1.83e-29,3.76e-06,.0093672,1.12e-06,3,3,3,3
1,180,-.0430901,.0359497,-.0004133,-.0729339,3.26e-11,0,.0015324,.0789613,3,3,3,1
2,180,-.015381,.026948,-.0050486,.1656717,.0502232,1.41e-10,2.96e-13,.0181049,1,3,3,2
3,180,.0727864,.0140913,-.0003932,-1.083134,2.98e-23,1.02e-08,.0060498,2.14e-06,3,3,3,3
