gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2102071,.0256551,-.0031374,-1.416428,4.61e-19,8.59e-07,1.06e-07,1.73e-08,3,3,3,3
2,10,.4340756,-.0604655,-.005492,-.9884656,3.54e-08,.0008207,.0027156,.1253001,3,3,3,0
3,10,-.0436883,.0557669,-.0036337,1.234079,.0095861,1.98e-14,3.54e-06,.0359802,3,3,3,2
1,20,.1741503,.020506,-.0019629,-1.069674,5.26e-24,5.33e-08,2.90e-07,4.17e-10,3,3,3,3
2,20,.3453986,-.0513756,-.0034119,-.1680472,4.51e-11,.0000292,.0031288,.5795078,3,3,3,0
3,20,-.0185633,.0461786,-.0025444,.9403902,.1402226,2.35e-15,1.25e-06,.0215329,0,3,3,2
1,30,.1615423,.0180926,-.0015004,-1.107624,1.36e-28,4.55e-09,8.44e-08,8.27e-15,3,3,3,3
2,30,.3375609,-.0533923,-.0022595,.1053415,2.77e-11,.0000176,.0135929,.4699276,3,3,2,0
3,30,-.0080835,.0416251,-.002157,.7692732,.4391181,4.99e-16,6.78e-08,.0141271,0,3,3,2
1,60,.1337137,.0131225,-.0004293,-.9672803,6.38e-32,5.58e-09,.0096926,2.23e-18,3,3,3,3
2,60,.4550059,-.0930148,-.0014557,.0505517,1.52e-20,4.72e-14,.0301822,.54101,3,3,2,0
3,60,-.0210544,.0427334,-.0016719,.7347989,.0061052,1.57e-22,6.15e-10,.0006975,3,3,3,3
1,90,.111825,.0124121,.0000631,-.9413299,3.92e-30,1.89e-09,.6104671,6.98e-20,3,3,0,3
2,90,.2783578,-.0471234,-.0004307,.0508443,8.68e-07,.0033302,.554598,.3375574,3,3,0,0
3,90,-.0317813,.0439332,-.0014335,.596654,3.52e-06,1.05e-27,2.63e-12,.0001986,3,3,3,3
1,120,.107358,.0091614,.0003938,-.8989613,7.28e-29,5.91e-06,.0002672,3.66e-20,3,3,3,3
2,120,.0298863,.0221243,-.0009684,.0472548,.6797271,.2956524,.1018863,.3251902,0,0,0,0
3,120,-.0399696,.0450072,-.0012409,.479192,1.07e-11,1.16e-34,2.08e-13,.0001049,3,3,3,3
1,150,.1090577,.0055311,.0005124,-.8331345,4.77e-30,.0041695,2.47e-07,3.94e-20,3,3,3,3
2,150,-.302073,.1144724,-.0012298,.0132567,1.33e-07,2.92e-11,.0006719,.7539607,3,3,3,0
3,150,-.0376302,.0427871,-.001059,.3886397,1.39e-12,3.88e-36,1.98e-13,.0001169,3,3,3,3
1,180,.1011606,.0051652,.0005027,-.7784204,5.49e-29,.0060718,2.31e-07,1.98e-19,3,3,3,3
2,180,-.4422897,.1516926,-.0006642,.0197318,1.83e-16,7.22e-21,.0112885,.5775824,3,3,2,0
3,180,-.0399151,.0422479,-.0008764,.319618,4.92e-17,0,4.01e-13,.0002208,3,3,3,3
