gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.3064491,.0057663,-.0011675,-1.025915,1.54e-07,.5611991,.0010569,.1212614,3,0,3,0
2,10,.383498,-.0341041,.0022124,-6.702995,3.73e-19,.0061273,.0069505,.0240359,3,3,3,2
3,10,.4066162,-.0123516,.0011918,-1.901085,5.24e-16,.2008713,.0165036,.3087273,3,0,2,0
1,20,.250037,.0020303,-.0003175,-.4709517,1.25e-08,.8044432,.2172946,.3796169,3,0,0,0
2,20,.2823719,-.0218296,.0017278,-4.165346,1.84e-19,.016308,.0024766,.031564,3,2,3,2
3,20,.3861403,-.018261,.0011998,-.0186785,5.59e-24,.0124272,.0001823,.9853175,3,2,3,0
1,30,.2258601,.0050821,-.0002082,-.6924846,7.92e-12,.3952285,.3059572,.0689808,3,0,0,1
2,30,.2759365,-.0235377,.0007095,-3.472184,3.64e-28,.0010144,.1638479,.0434883,3,3,0,2
3,30,.3464279,-.0189735,.0008264,1.797046,9.13e-20,.0160751,.0036425,.0680503,3,2,3,1
1,60,.1262795,.0251415,.0001721,-.9209599,2.60e-12,3.97e-10,.1542051,4.43e-06,3,3,0,3
2,60,.1822647,-.0228116,-.0006237,2.574801,1.43e-31,3.44e-06,.0400049,.0363628,3,3,2,2
3,60,.3647628,-.0222663,.0003038,-.4841135,3.55e-33,.0004048,.0606783,.5625468,3,3,1,0
1,90,.1121941,.0207112,.000142,-.7744302,1.32e-16,2.88e-11,.0856079,1.74e-07,3,3,1,3
2,90,.1477942,-.0212807,-.0002422,3.244735,1.82e-21,4.69e-08,.3078469,.0236643,3,3,0,2
3,90,.3925987,-.0412654,.0002961,-.2416457,0,2.75e-12,.0170335,.7117989,3,3,2,0
1,120,.0854881,.0214609,.0002232,-.6748214,3.23e-13,3.28e-13,.0021621,2.83e-07,3,3,3,3
2,120,.097892,-.0188512,-.0000624,6.104056,1.04e-10,1.50e-07,.7734549,7.16e-07,3,3,0,3
3,120,.3144617,-.0276972,.0003222,-.3861775,2.24e-38,1.22e-08,.0039198,.445584,3,3,3,0
1,150,.0789199,.0181035,.0002496,-.4326312,2.65e-13,2.06e-11,.0001182,.0001053,3,3,3,3
2,150,.0687245,-.0139551,.0002166,6.795381,2.29e-06,.0001907,.3288437,7.91e-11,3,3,0,3
3,150,.320454,-.0328705,.0004253,-.4459905,2.38e-38,2.15e-11,.0000259,.3352431,3,3,3,0
1,180,.0707469,.016302,.0002617,-.3107777,1.53e-11,9.16e-10,.0000147,.0027579,3,3,3,3
2,180,.0483267,-.0129512,.0001829,7.738694,.000652,.0013095,.3926368,1.80e-12,3,3,0,3
3,180,.3039784,-.0314667,.0005607,-.9098241,7.50e-36,5.84e-11,9.68e-09,.0217596,3,3,3,2
