gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2857507,.0273739,-.0002803,-65.01214,.006648,.0159215,.3257099,.039453,3,2,0,2
2,10,.338825,.0107599,-.001681,114.0777,.0000109,.4142652,.0000212,.1380413,3,0,3,0
3,10,.263173,.0481931,-.0010843,-73.19918,.0001359,.0000402,.0001736,.1944605,3,3,3,0
1,20,.3230322,.0224266,-.0003638,-64.66891,.0000388,.0070253,.1851135,.0280972,3,3,0,2
2,20,.259425,.01999,-.0013731,122.2091,9.41e-13,.0058526,.0000341,.0403499,3,3,3,2
3,20,.2558529,.0460711,-.0010094,-72.80038,.0004538,.0002686,.0002029,.1761609,3,3,3,0
1,30,.32204,.0207319,-.0003714,-57.19283,2.13e-07,.0010768,.1553581,.0399107,3,3,0,2
2,30,.1645913,.0331484,-.0011974,135.3433,2.70e-15,2.07e-09,3.77e-06,.0053678,3,3,3,3
3,30,.2120157,.0499121,-.0008204,-80.0633,.0093769,.0004296,.0007766,.1046702,3,3,3,0
1,60,.2330652,.0195919,-.0001609,-18.62287,.0000525,.0006149,.5041013,.4415215,3,3,0,0
2,60,.1439099,.0334123,-.0007573,59.55824,2.70e-19,1.26e-09,.002311,.2328132,3,3,3,0
3,60,.1751107,.0425653,-.000356,-8.012573,.0017671,.0000182,.0156153,.8023762,3,3,2,0
1,90,.1576902,.0166252,-.0000902,10.23824,.0007826,.0003723,.6368431,.5958475,3,3,0,0
2,90,.1317742,.0294016,-.0005298,37.61108,9.58e-16,3.80e-10,.0045917,.3355017,3,3,3,0
3,90,.1685087,.0302909,-.0001265,29.63058,2.42e-08,3.64e-08,.1915106,.2172625,3,3,0,0
1,120,.0782491,.0167507,-.000115,33.37727,.0117779,9.00e-06,.4301391,.0238036,2,3,0,2
2,120,.1147301,.0253589,-.0003225,52.38665,3.62e-14,1.19e-09,.0273384,.070244,3,3,2,1
3,120,.1527182,.0208238,-8.63e-06,70.26234,1.04e-06,.00027,.9212716,.0018973,3,3,0,3
1,150,.0558619,.0145647,-.0001462,39.25534,.0293046,.0000379,.2031903,.0021917,2,3,0,3
2,150,.1026771,.0231477,-.0002704,53.35507,1.35e-12,1.35e-08,.065048,.0683808,3,3,1,1
3,150,.1501666,.0148471,.0000384,76.46538,2.35e-06,.0081417,.6540211,.0003761,3,3,0,3
1,180,.0533347,.012982,-.0000173,37.40783,.0587919,.0007056,.9160469,.0092637,1,3,0,3
2,180,.1045127,.0182047,-.0002527,52.13562,1.00e-10,.00005,.0860924,.0920493,3,3,1,1
3,180,.1267314,.0137606,.0000577,74.99519,.000054,.0132439,.5086054,.0004656,3,2,0,3
