gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2681523,.0255095,-.0002319,-8.380501,.0025017,.0053268,.1412955,.8536955,3,3,0,0
2,10,.0796259,.0804755,-.0013296,-165.6028,.035547,1.10e-06,.0060688,.1488376,2,3,3,0
3,10,.1831619,.0512819,-.0009148,-147.6686,.0028599,3.04e-06,.0017698,.0261886,3,3,3,2
1,20,.260173,.0258201,-.0001904,-7.452117,.000102,.0007151,.2117467,.8557982,3,3,0,0
2,20,.1155461,.0637138,-.0008296,-162.5493,.0014273,.0000179,.0486721,.1244969,3,3,2,0
3,20,.175735,.0492146,-.0008585,-131.4794,.0059976,.0000198,.0017672,.041708,3,3,3,2
1,30,.2203015,.0291948,-.0001993,-.7595407,.0000288,.000014,.1711904,.9841047,3,3,0,0
2,30,.1465941,.0465659,-.0002828,-150.9479,5.99e-08,.0001893,.4351122,.1084334,3,3,0,0
3,30,.1230245,.0505431,-.000793,-82.13947,.0424535,5.45e-06,.0021456,.1285156,2,3,3,0
1,60,.1156796,.0359315,-.0000813,4.357707,.0037059,4.04e-10,.4972964,.8914394,3,3,0,0
2,60,.1986429,.018296,.0003742,-130.0104,1.03e-15,.0521398,.1571141,.0424878,3,1,0,2
3,60,.1239171,.0316516,-.000485,42.90026,.0105153,.0001523,.0081862,.1485122,2,3,3,0
1,90,.0633114,.0342757,-3.75e-06,6.444197,.0383315,3.64e-12,.9710523,.8019285,2,3,0,0
2,90,.1967793,.0035432,.000315,-55.95453,6.76e-10,.7245458,.2082243,.2484642,3,0,0,0
3,90,.0667557,.0317145,-.0005204,76.37039,.1131897,3.90e-06,.0001986,.0017498,0,3,3,3
1,120,.0282791,.0315784,.0000785,4.380558,.262908,6.99e-13,.3947721,.836291,0,3,0,0
2,120,.2153037,-.013527,.0001989,4.584095,1.79e-09,.2417908,.3642653,.9310037,3,0,0,0
3,120,.0870148,.0177991,-.0004532,97.92812,.0166192,.0018373,.0002708,.0000426,2,3,3,3
1,150,.0149717,.0271644,.0001654,13.58229,.5259754,8.71e-11,.0616634,.5037246,0,3,1,0
2,150,.2203899,-.0214542,-.0000359,36.09772,3.28e-08,.0870329,.8676649,.4146192,3,1,0,0
3,150,.123024,.0024216,-.0003556,116.9873,.0018557,.6768757,.0027326,3.74e-06,3,0,3,3
1,180,-.0061124,.0260779,.0001596,25.74469,.8048421,4.38e-09,.0822266,.2919765,0,3,1,0
2,180,.2425016,-.0316388,-.0000691,40.59517,7.39e-07,.034969,.7607573,.3355625,3,2,0,0
3,180,.1316229,-.0061205,-.000279,132.175,.001507,.3186864,.0168762,3.08e-07,3,0,2,3
