gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2796365,.051257,-.0012899,-8.984623,3.26e-08,2.88e-08,.001866,.000114,3,3,3,3
2,10,.19114,-.0123525,-.004835,1.594405,2.88e-06,.2566032,.0005422,.7296393,3,0,3,0
3,10,.1369669,.0269294,-.0026705,5.122784,.0092571,.0443854,1.39e-06,.2163884,3,2,3,0
1,20,.2506907,.0327595,-.0009561,-5.72949,1.64e-09,.000035,.0020277,.0001804,3,3,3,3
2,20,.2021205,-.0274901,-.0045886,2.712957,1.75e-19,.0008036,5.02e-06,.3455081,3,3,3,0
3,20,.1318354,.0344866,-.0028852,.2150348,.0039286,.0038265,1.52e-10,.9452587,3,3,3,0
1,30,.1911801,.0392851,-.0003902,-6.818384,7.85e-09,4.62e-09,.1156641,1.30e-08,3,3,0,3
2,30,.1484291,-.0121179,-.0034142,2.772009,1.08e-13,.0874226,.0000358,.1936922,3,1,3,0
3,30,.1275582,.0360224,-.0023426,-1.486637,.0017934,.0007559,7.46e-10,.4830976,3,3,3,0
1,60,.1696284,.0248098,-.0000437,-3.655968,1.88e-17,8.87e-10,.7351707,1.18e-07,3,3,0,3
2,60,.1451555,-.0156019,-.0018917,.9449376,1.24e-28,.0004113,.0006066,.5857607,3,3,3,0
3,60,.275512,-.0059014,-.0006054,-4.751864,2.95e-20,.3404319,.0051936,7.47e-06,3,0,3,3
1,90,.1202891,.021969,.0000926,-1.887977,6.41e-15,1.45e-10,.3889042,.0004274,3,3,0,3
2,90,.1491611,-.0172797,-.0021696,-1.061814,2.08e-29,2.98e-07,.002964,.4529093,3,3,3,0
3,90,.2746487,-.0210104,-.0000723,-2.873148,7.64e-28,.0000204,.6476919,.0001362,3,3,0,3
1,120,.0986105,.0173804,.0001226,-.6852012,4.16e-11,4.89e-08,.2181552,.1406842,3,3,0,0
2,120,.0912547,-.0120071,-.0013088,3.110654,1.24e-10,.0001535,.0068871,.0323431,3,3,3,2
3,120,.2335035,-.0196909,-.0001376,-1.623135,5.42e-24,.0000227,.3542393,.0054775,3,3,0,3
1,150,.1053509,.011263,.0001656,-.1956404,1.30e-12,.0001368,.0830185,.6374872,3,3,1,0
2,150,.0589482,-.0100227,-.0011582,5.830287,4.61e-07,.0011508,.0080711,.0001521,3,3,3,3
3,150,.1811945,-.0107323,-.0000955,-1.655835,1.19e-15,.0351532,.5137413,.0114538,3,2,0,2
1,180,.1254684,.0030761,.0002872,.160129,4.79e-17,.2608976,.0017885,.685063,3,0,3,0
2,180,.05051,-.0103344,-.0008914,6.147837,2.11e-07,.001476,.0403538,.0000332,3,3,2,3
3,180,.1260818,-.0000934,6.21e-06,-1.958407,3.53e-08,.9867883,.9635789,.0059439,3,0,0,3
