gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.176998,.0347051,-.0002,-6.72998,.0000678,.0003201,.6848337,.020291,3,3,0,2
2,10,.2307589,-.0549672,-.0025559,-5.823265,.0000154,.0012023,.1460032,.0072971,3,3,0,3
3,10,.2127918,.0208724,-.0012971,-7.80403,2.06e-20,.0014622,.0001522,.0036791,3,3,3,3
1,20,.2065122,.0119476,-.0000658,-3.726144,.0000975,.3034061,.8764766,.0628701,3,0,0,1
2,20,.1653599,-.035369,-.0007173,-2.84841,3.48e-15,4.70e-06,.538076,.006063,3,3,0,3
3,20,.1704252,.022146,-.0010157,-5.58409,6.95e-22,9.62e-06,.0000135,.0033103,3,3,3,3
1,30,.1394136,.0199652,-.0006406,-2.066065,.0005423,.0307327,.0597855,.2272565,3,2,1,0
2,30,.1529501,-.029539,-.0004151,-4.026947,6.79e-10,.0010202,.7266361,.0003224,3,3,0,3
3,30,.1478224,.0216299,-.0008805,-5.251443,1.76e-17,.0000299,.0002616,.0051552,3,3,3,3
1,60,.179446,.0022657,-.0007484,-1.826952,4.23e-08,.7551919,8.86e-07,.0340939,3,0,3,2
2,60,.0909891,-.0083018,-.0015619,-2.022198,7.46e-15,.0308316,.0331104,.0019294,3,2,2,3
3,60,.1118998,.0219532,-.0010195,-5.170641,2.98e-14,4.80e-06,1.34e-08,.0000179,3,3,3,3
1,90,.1570657,-.0017706,-.0006569,-.6868605,3.87e-14,.6802104,1.56e-09,.2402923,3,0,3,0
2,90,.0706752,-.0042849,-.0003948,-1.021074,1.07e-09,.2417532,.4267463,.1576493,3,0,0,0
3,90,.1180908,.0107226,-.0007852,-3.868872,3.85e-17,.016789,2.73e-08,.0000359,3,2,3,3
1,120,.1375471,-.0044814,-.0003566,.4701949,2.82e-16,.1797349,.0000119,.4244338,3,0,3,0
2,120,.0290162,.005328,.0001059,1.698856,.0043826,.1356376,.7875967,.0285371,3,0,0,2
3,120,.1208531,.0033648,-.0006575,-3.077229,1.27e-21,.3741344,5.43e-08,.0002297,3,0,3,3
1,150,.1338814,-.007841,-.0002205,1.147176,9.23e-19,.0081575,.0027123,.0806991,3,3,3,1
2,150,.0103588,.0114117,.0000564,2.689906,.1903079,.0008677,.8726642,.0000511,0,3,0,3
3,150,.1273184,-.0026264,-.0006437,-3.352832,3.33e-26,.4434561,5.39e-10,.0000132,3,0,3,3
1,180,.1238896,-.0086196,-.0001626,1.4618,1.52e-22,.0004665,.0180862,.0266159,3,3,2,2
2,180,.0073305,.0122976,.0001248,2.807043,.3265137,.0013323,.7251281,2.04e-06,0,3,0,3
3,180,.1187717,-.0038985,-.0005749,-2.866327,1.58e-27,.2170984,2.11e-09,.0001382,3,0,3,3
