gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0145403,-.049453,-.0035289,124.6862,.4621048,.0890771,.0813782,.0462083,0,1,1,2
2,10,.0189821,.0214241,.0004063,-379.9487,.5212084,.4219076,.6801657,.05793,0,0,0,1
3,10,.0684805,.0038982,.0004912,849.9819,.0125491,.8463733,.5073488,3.61e-13,2,0,0,3
1,20,.0257028,-.0651089,-.0039495,57.47139,.2485922,.0325171,.0125845,.2964789,0,2,2,0
2,20,.0289443,.0117553,.0005599,-218.2331,.4709516,.7372366,.5158959,.1677949,0,0,0,0
3,20,.0585072,.0109082,.0003737,643.2853,.0682729,.6337862,.6068475,3.80e-06,1,0,0,3
1,30,.0577035,-.1090298,-.00381,-29.11811,.0087585,.0003016,.0028767,.503648,3,3,3,0
2,30,.0346902,.0047964,.000717,-35.30241,.3372932,.8814057,.35063,.8157217,0,0,0,0
3,30,.0306791,.0300394,.0002745,202.7845,.4170876,.2383451,.6874245,.2151373,0,0,0,0
1,60,.0661133,-.130805,-.0039151,32.99174,.0140981,.000949,.0015429,.5387464,2,3,3,0
2,60,.0225582,.0064891,.0002125,77.21651,.4915058,.8299672,.7384685,.562438,0,0,0,0
3,60,.0624952,-.0003414,-.0008243,-281.2644,.1320331,.9896128,.1444466,.3455561,0,0,0,0
1,90,-.0455852,.0357176,-.0029435,72.75343,.1874734,.4498969,.0025544,.2252782,0,0,3,0
2,90,.0305613,-.0069222,.0005048,-30.98924,.3888473,.8305295,.3314999,.7560925,0,0,0,0
3,90,.0606831,-.0077347,-.0002429,-116.0155,.1146176,.751384,.6351158,.8364114,0,0,0,0
1,120,-.2265878,.286063,-.0020061,41.92504,.7150713,.7255555,.0127597,.3268915,0,0,2,0
2,120,.0090728,.0077178,.0002804,-84.31371,.6492366,.6909885,.552324,.4474161,0,0,0,0
3,120,.065472,-.0126646,.0001719,-443.5835,.0284406,.5147814,.6939718,.1784015,2,0,0,0
1,150,.258659,-.318439,-.0011886,41.15849,.5129293,.5116149,.0608639,.1651985,0,0,1,0
2,150,.0202324,-.0025499,-.0001753,-88.6607,.134196,.8621414,.6364854,.3177512,0,0,0,0
3,150,.0403585,-.0025069,.0002118,-280.0266,.0788299,.8739533,.538259,.0905304,1,0,0,1
1,180,-.1000037,.1252556,-.0007102,39.0014,.7880212,.7747517,.2095781,.0925335,0,0,0,1
2,180,.02327,-.0042764,-.0003378,-112.9442,.0588905,.7567111,.3388608,.2054277,1,0,0,0
3,180,.0084655,.0132826,.0002392,-99.14764,.7170899,.4286911,.5039566,.0265669,0,0,0,2
