gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1891694,.0343655,-.0001769,-.2226291,4.82e-12,3.60e-14,.6684558,.1486374,3,3,0,0
2,10,.3381375,-.0085994,-.0068916,-2.420017,6.07e-17,.4515963,.0003929,9.74e-06,3,0,3,3
3,10,.1151226,.05738,-.0045343,-.7125444,9.21e-06,6.89e-10,.0005194,.0084048,3,3,3,3
1,20,.1476058,.0337704,.0004803,-.1163777,1.08e-15,2.20e-23,.0433954,.2559647,3,3,2,0
2,20,.3456846,-.0378442,-.0048268,-.8278825,4.53e-32,8.08e-06,.000758,.0251808,3,3,3,2
3,20,.0987316,.0477134,-.0030969,-.3715259,.000013,4.93e-10,.0031289,.0596336,3,3,3,1
1,30,.1245475,.0336464,.000664,-.1060661,9.48e-21,9.19e-34,.000381,.1936237,3,3,3,0
2,30,.3171485,-.0394831,-.0045439,-.3580766,2.74e-34,1.16e-07,.0001784,.1771773,3,3,3,0
3,30,.070467,.0485019,-.0025078,-.2537141,.0000777,1.57e-13,.0029989,.0573289,3,3,3,1
1,60,.0841696,.0307389,.0009864,-.0622396,8.84e-26,0,3.40e-14,.1830287,3,3,3,0
2,60,.3007736,-.0450881,-.0026669,-.3333691,5.86e-35,2.88e-13,.0000308,.0287315,3,3,3,2
3,60,.0681052,.0351232,-.001215,-.0630617,3.05e-06,2.18e-12,.0393875,.4497049,3,3,2,0
1,90,.0720351,.0248729,.0011882,-.0204522,7.18e-28,0,2.20e-25,.574671,3,3,3,0
2,90,.3136208,-.0550085,-.0013769,-.5179431,1.68e-31,2.09e-16,.0071146,.0001822,3,3,3,3
3,90,.0743828,.0243033,-.0002599,.0184409,1.99e-07,4.64e-08,.5992344,.7745464,3,3,0,0
1,120,.0578164,.0226018,.0011904,-.001496,8.56e-22,5.47e-38,5.03e-28,.961489,3,3,3,0
2,120,.2592532,-.0423821,-.0011097,-.4222135,6.70e-19,6.27e-08,.0609495,.0000668,3,3,1,3
3,120,.0617278,.0225584,-.0002709,.0662267,3.57e-06,7.18e-08,.509279,.2070209,3,3,0,0
1,150,.0483739,.0212077,.0011438,.0050666,4.22e-18,6.31e-37,5.47e-30,.8570342,3,3,3,0
2,150,.1339418,-.0074168,-.0017925,-.1359293,4.10e-06,.3911335,.0018146,.1230678,3,0,3,0
3,150,.0595445,.0203327,-.0003087,.0818791,1.99e-06,1.55e-07,.3602125,.0574804,3,3,0,1
1,180,.0452347,.0191274,.0010653,.0068711,1.60e-17,1.42e-35,2.63e-30,.7903046,3,3,3,0
2,180,.0530776,.0140014,-.0020493,.071989,.0331412,.0822292,.0000829,.4122466,2,1,3,0
3,180,.0520512,.0195228,-.0003257,.0879637,.0000326,3.49e-07,.2714373,.0228043,3,3,0,2
