gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1753035,.0373963,-.0004125,-2.949335,.0013203,.0000727,.3906534,.05681,3,3,0,1
2,10,.3222573,-.037242,-.0038079,-10.99857,7.77e-21,.0002351,.0226999,3.46e-06,3,3,2,3
3,10,.2759621,-.0027019,-.0012352,-.9693802,4.41e-14,.7581706,.0576797,.6187928,3,0,1,0
1,20,.161269,.028618,-.0005339,-1.929882,.0000178,.0000202,.1242344,.0363129,3,3,0,2
2,20,.2927561,-.0350857,-.0042522,-5.732309,4.70e-34,2.67e-08,.0000158,2.45e-07,3,3,3,3
3,20,.2751068,-.0027585,-.0004491,-.1014876,1.38e-24,.6218359,.2825057,.9396831,3,0,0,0
1,30,.1004921,.0347886,-.0002703,-1.067777,.0004481,3.18e-10,.2715723,.1141163,3,3,0,0
2,30,.2400373,-.0228163,-.0049752,-2.119509,1.09e-29,.0000929,1.97e-06,.0192479,3,3,3,2
3,30,.2527184,-.0009293,-.0002821,.2586401,6.02e-29,.8356124,.3455289,.7619221,3,0,0,0
1,60,.0224977,.0428644,-.0006153,-.1573944,.2534407,1.10e-21,.0001113,.6997587,0,3,3,0
2,60,.1650003,-.0086376,-.0027269,-1.494427,1.39e-19,.0747998,.0012071,.0194454,3,1,3,2
3,60,.1936882,.0029418,.0001373,.700156,4.11e-26,.4108376,.4607195,.200355,3,0,0,0
1,90,-.0132162,.0445203,-.0007625,-.587329,.3329639,2.55e-33,5.80e-11,.0928142,0,3,3,1
2,90,.1245473,-.0015353,-.0024316,-1.497095,9.41e-22,.6657484,.0006278,.000932,3,0,3,3
3,90,.1538605,.0059604,.000178,-.0062716,3.10e-26,.0364938,.2108202,.9873849,3,2,0,0
1,120,-.0457366,.046901,-.000757,-.9707276,.0000191,0,2.63e-14,.006018,3,3,3,3
2,120,.1040428,.0015119,-.0018685,-1.926791,1.17e-21,.6332291,.0041501,5.98e-10,3,0,3,3
3,120,.1199994,.0103381,.0001907,-.5710838,2.30e-24,.000047,.0917245,.2135883,3,3,1,0
1,150,-.0660977,.0474719,-.000699,-.8012205,4.90e-11,0,1.01e-15,.0079547,3,3,3,3
2,150,.0819845,.0065161,-.0014431,-1.930549,6.51e-12,.1215795,.0318314,.0000104,3,0,2,3
3,150,.0964921,.0129628,.0001647,-.5298343,3.37e-20,6.78e-08,.1048035,.1734244,3,3,0,0
1,180,-.069728,.0456941,-.0006554,-.8168581,2.02e-12,0,2.74e-16,.0048406,3,3,3,3
2,180,.0597164,.0119988,-.0014676,-1.871865,3.06e-06,.0129798,.0200316,.0000455,3,2,2,3
3,180,.0843552,.0125463,.0001782,-.3430594,2.66e-16,1.63e-07,.0457135,.3158907,3,3,2,0
