gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0346183,-.0014018,-.0001719,.4756631,.7565932,.8331044,.7663974,.7730665,0,0,0,0
2,10,.0491525,.0114545,-.001301,-4.608825,.6943365,.2043551,.434989,.1584555,0,0,0,0
3,10,-.0074603,.0002639,.0001785,-.1389047,.9468049,.9599374,.8532773,.9045689,0,0,0,0
1,20,.068585,.0002423,-.0000204,-.0153269,.664688,.9529566,.9542753,.9877771,0,0,0,0
2,20,.1579142,.004182,.0000714,-1.915778,.1591789,.4345166,.9379486,.3284171,0,0,0,0
3,20,.1897226,.0010932,.0001476,-.3687048,.0715086,.6779146,.8172595,.4891939,1,0,0,0
1,30,.0734051,.0006115,-.0000237,-.1071844,.6291727,.8322607,.919479,.874949,0,0,0,0
2,30,.1937259,.0036485,-.0002591,-1.525908,.1194299,.2721008,.6264973,.2201544,0,0,0,0
3,30,.1985383,.0014438,-.0000427,-.3380186,.1923637,.4835085,.9237714,.5142396,0,0,0,0
1,60,-.1220379,-.0009296,-.0000217,.2440766,.5567377,.4953505,.8583317,.4123111,0,0,0,0
2,60,.0249349,.0013909,-.0002752,-.5512927,.8311044,.4806368,.3335726,.4918291,0,0,0,0
3,60,.2262709,.0005542,-1.69e-06,-.1375727,.0276803,.6250989,.9933037,.619428,2,0,0,0
1,90,-.1012207,-.0002653,-.0000204,.0839661,.6327944,.7861993,.8116301,.694274,0,0,0,0
2,90,.0315039,.0012763,-.0002607,-.4766292,.8147061,.4187115,.2421473,.4528067,0,0,0,0
3,90,.1631141,.0002234,-.0000529,-.018292,.1478242,.6975206,.6547591,.8895139,0,0,0,0
1,120,-.1729934,.0000261,-7.86e-06,.0079699,.4334889,.9731307,.9135717,.9642048,0,0,0,0
2,120,-.0408115,.0008566,-.0001659,-.332266,.7960555,.4531401,.3518056,.4814271,0,0,0,0
3,120,-.0000424,.0001178,.0000138,-.0318758,.9998394,.8849842,.901491,.8773199,0,0,0,0
1,150,-.0979693,.0001239,-.0000155,-.0138623,.6360882,.8574494,.8169639,.9331808,0,0,0,0
2,150,-.0046049,.0003257,-.0001111,-.1270068,.9744119,.7323453,.445722,.7459376,0,0,0,0
3,150,.0220783,.0001777,9.90e-06,-.0458237,.8312013,.7365867,.9059995,.7347952,0,0,0,0
1,180,-.1219397,.0001483,-8.77e-06,-.0250735,.5553058,.7995134,.8926656,.8681639,0,0,0,0
2,180,.1619673,.0002692,-.000076,-.1204363,.2851582,.7474969,.5529944,.7230164,0,0,0,0
3,180,-.1105711,.0000316,.0000133,-.0080051,.4080669,.9425828,.8851197,.9455494,0,0,0,0
