gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.132004,.0565878,.0000661,-41.20451,.1419875,.0035968,.8354166,.0002372,0,3,0,3
2,10,.1234233,-.014183,-.0057345,74.02537,.4267599,.7931343,.0500149,.534701,0,0,1,0
3,10,-.1509624,.093674,-.0005136,-14.29364,.0078462,3.86e-07,.5650936,.1029977,3,3,0,0
1,20,.0449924,.0649495,-.0000257,-31.63703,.2339483,1.32e-09,.9320387,.000206,0,3,0,3
2,20,.1496602,-.0234333,-.0033493,101.5077,.3210797,.6693184,.1312785,.290626,0,0,0,0
3,20,-.0998227,.0857053,-.0010624,-15.94263,.116299,.0000569,.1825646,.0535154,0,3,0,1
1,30,.0307437,.0599454,-.0000401,-24.84605,.2840473,4.57e-12,.8834714,.0000734,0,3,0,3
2,30,.2337249,-.034856,-.0048466,68.07733,.0192899,.3739616,.0015352,.3868744,2,0,3,0
3,30,-.0094955,.0667615,-.001216,-18.06927,.8812978,.0014041,.07175,.0099581,0,3,1,3
1,60,.042833,.0387552,-.0000801,-6.698959,.0242221,1.92e-12,.5895103,.0068102,2,3,0,3
2,60,.1771084,-.0191495,-.0016542,-4.263746,.000018,.2659748,.0561046,.8535595,3,0,1,0
3,60,.187567,-.0000805,-.0002025,-3.558681,2.91e-08,.9932933,.4831129,.3226011,3,0,0,0
1,90,.0062434,.0382627,-.0001393,-.7620264,.6051811,1.64e-20,.1092622,.5788962,0,3,0,0
2,90,.1638038,-.0207439,-.0003614,-9.744858,7.67e-13,.0127992,.2858625,.4492354,3,2,0,0
3,90,.1405524,.0037863,-.0004002,-1.23518,4.40e-09,.5374767,.0106086,.5565861,3,0,2,0
1,120,.0060192,.0313959,-.0001444,2.430258,.2726621,0,.0012922,.0462343,0,3,3,2
2,120,.1394143,-.0213091,-.0001268,-2.035675,1.34e-20,.0000266,.5786097,.7974102,3,3,0,0
3,120,.1412116,-.0040664,-.0002583,.2222436,1.89e-09,.4830967,.0418149,.8814196,3,0,2,0
1,150,-.0023028,.0294797,-.0001279,3.906973,.5247672,0,.0008669,.0004345,0,3,3,3
2,150,.1099186,-.0147774,.0002517,-6.480468,8.20e-12,.014114,.3205534,.5308893,3,2,0,0
3,150,.1276354,-.0058481,-.0001906,.4229529,6.67e-08,.3332888,.0671492,.7548689,3,0,1,0
1,180,-.0038702,.0269846,-.0001172,4.682613,.1922763,0,.0023718,.0001717,0,3,3,3
2,180,.1060733,-.0131317,.0000829,-21.08744,2.30e-10,.043347,.6971745,.0736614,3,2,0,1
3,180,.048635,.0122427,-.0002046,-.8807051,.0151036,.0245316,.0443482,.490464,2,2,2,0
