gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,-.0592579,.0045124,.0000748,-7.951393,.7198033,.4378176,.8109326,.4016791,0,0,0,0
2,10,1.607584,.0057164,.0001762,-9.145092,.0491215,.8370042,.8989194,.844439,2,0,0,0
3,10,-.402561,.0002413,-.0000937,-2.077347,.0517331,.963699,.9021443,.6348087,1,0,0,0
1,20,-.1473692,.0028625,.0000339,-5.166618,.5374337,.5369667,.8963167,.4255214,0,0,0,0
2,20,1.116621,-.0001109,-.0000202,2.530268,.285837,.9960679,.9840525,.939274,0,0,0,0
3,20,-.3151493,.003433,.0002372,-8.521109,.3086034,.3401039,.6795471,.0002589,0,0,0,3
1,30,-.2330314,.0042884,.0001091,-6.896571,.5127942,.3206283,.5668634,.3481586,0,0,0,0
2,30,.5457718,-.0062066,.0000359,20.29681,.6444968,.7288173,.9495453,.452596,0,0,0,0
3,30,-.1951935,.0009395,.0001531,-1.411897,.6040792,.7487301,.7153298,.540014,0,0,0,0
1,60,.7482323,.00298,.0000518,-4.660081,.3829318,.3541647,.6507056,.3723539,0,0,0,0
2,60,-.5727251,-.0014889,.0000476,.0079256,.5077108,.6757797,.8855937,.9992638,0,0,0,0
3,60,-.329338,-.00049,-.0000923,1.057515,.0497691,.6987585,.6040522,.3880838,2,0,0,0
1,90,.7793923,.0021316,.0000658,-2.885579,.3821352,.3546309,.3975833,.3992133,0,0,0,0
2,90,-.8843277,-.000867,6.06e-06,-.2953715,.2457695,.7402607,.9751292,.9603397,0,0,0,0
3,90,-.748365,.0000913,-.0000434,-.4394481,.3428933,.9332078,.8159333,.7129696,0,0,0,0
1,120,.6652982,.0010024,.0000148,-1.404337,.3708745,.4381225,.7804449,.5000005,0,0,0,0
2,120,-.4498979,-.0019809,4.39e-06,5.034407,.4219643,.3687872,.9764178,.2830707,0,0,0,0
3,120,-.0207377,.00045,.0000493,-.745878,.9189329,.4843268,.5737094,.3921288,0,0,0,0
1,150,-.0901605,.0002838,.0000267,-.1428444,.7131475,.6831608,.5189129,.8744285,0,0,0,0
2,150,.1340403,-.0022733,-.0000594,7.373027,.7517495,.3117924,.6402716,.2212639,0,0,0,0
3,150,.0995114,.0004835,.0000344,-.9818388,.690109,.4750779,.7371956,.1036938,0,0,0,0
1,180,-.4090994,.0001869,.0000358,.0200685,.0133223,.7506979,.3394723,.9767161,2,0,0,0
2,180,.041193,-.0019995,-.0000732,6.956815,.9086226,.3928077,.5314803,.3410475,0,0,0,0
3,180,-.366531,.0002643,.0000314,-.4654645,.3337866,.6467842,.7384285,.2164075,0,0,0,0
