gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0650561,.0590234,-.0007815,-5.802855,.2035136,2.51e-11,.290085,.0011592,0,3,0,3
2,10,.2784179,.0015845,-.0061146,-2.80066,5.24e-10,.883498,.00005,.3150134,3,0,3,0
3,10,.0426923,.0463953,-.0018202,-3.919225,.6093115,.0021196,.1036271,.1494198,0,3,0,0
1,20,.1020127,.0470688,-.0008402,-6.531431,.0171245,1.94e-10,.1166805,.0000299,2,3,0,3
2,20,.2220777,.0166191,-.0059691,-7.632341,8.76e-19,.01745,5.89e-08,.0045349,3,2,3,3
3,20,-.0479173,.0667381,-.0009223,-11.06904,.4706313,7.22e-08,.1761086,.0009964,0,3,0,3
1,30,.1385563,.0337877,-.0011426,-6.109592,.0000293,2.58e-09,.0124993,2.34e-06,3,3,2,3
2,30,.1651374,.0262099,-.0067236,-6.415394,1.20e-14,.0000249,1.90e-11,.0053298,3,3,3,3
3,30,.0139152,.0557421,-.0006222,-11.75337,.8057933,2.47e-07,.1884281,.0002127,0,3,0,3
1,60,.1021772,.0245968,-.0007547,-2.88674,.0000382,2.48e-08,.0214544,.0006547,3,3,2,3
2,60,.2064224,-.0045639,-.0027672,-4.27397,3.39e-22,.3119346,2.02e-06,.0001702,3,0,3,3
3,60,.401629,-.0285359,-.0003925,-8.085271,1.28e-21,.0000233,.0883666,.0000311,3,3,1,3
1,90,-.0431726,.0366444,-.00018,-1.983218,.0266199,9.51e-19,.5346526,.0002741,2,3,0,3
2,90,.2050969,-.0173145,-.0005517,-2.34444,8.25e-35,3.95e-07,.1863933,1.50e-07,3,3,0,3
3,90,.3373229,-.0303247,-.0001412,-4.581086,6.70e-20,3.43e-07,.4494046,.000014,3,3,0,3
1,120,-.0863498,.0371532,.0000731,-1.754369,6.90e-06,1.01e-19,.7893972,.000706,3,3,0,3
2,120,.1820641,-.0170301,-.0002321,-2.242956,4.80e-30,1.09e-06,.5692589,3.40e-08,3,3,0,3
3,120,.3449744,-.0380103,-.0000884,-4.366477,7.81e-19,3.56e-09,.6154014,.0000149,3,3,0,3
1,150,-.1306907,.0398803,.0001885,-1.580856,2.04e-10,1.18e-20,.4694283,.0014428,3,3,0,3
2,150,.200453,-.0274626,-.0003989,-1.880104,1.75e-25,1.12e-10,.28032,6.87e-06,3,3,0,3
3,150,.3641581,-.0478121,.000022,-3.268512,5.14e-22,6.70e-14,.8985966,.0000772,3,3,0,3
1,180,-.1856957,.0450357,.0002829,-1.556379,8.05e-16,2.86e-23,.2528092,.000486,3,3,0,3
2,180,.1897898,-.0301824,-.0003092,-1.079112,2.11e-22,1.13e-10,.3860887,.0030968,3,3,0,3
3,180,.3099452,-.0428416,.0000202,-2.583974,5.60e-16,1.65e-10,.9034677,.0001773,3,3,0,3
