gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1707621,.0543337,-.0004596,-5.204233,.0004551,6.99e-10,.3063506,.0036032,3,3,0,3
2,10,.2900061,-.015788,.0008538,-6.081322,1.99e-07,.3615847,.3249899,.0085834,3,0,0,3
3,10,.0170677,.0817639,-.0029054,-10.18212,.6838197,2.14e-11,5.19e-06,.0000215,0,3,3,3
1,20,.1375123,.0490499,.0001012,-5.373553,.0000502,2.98e-12,.7515894,2.06e-06,3,3,0,3
2,20,.2075152,-.0031997,.000723,-4.67495,4.72e-14,.7340799,.216702,.0012992,3,0,0,3
3,20,.0781675,.0623211,-.0017134,-8.79183,.0066893,1.24e-11,.0001154,8.17e-09,3,3,3,3
1,30,.0931787,.0475341,.0001793,-4.306495,.0007342,1.41e-14,.5087413,.0000675,3,3,0,3
2,30,.1755378,.0032206,.0008609,-2.997505,2.14e-16,.6759155,.1159474,.0070527,3,0,0,3
3,30,.1200339,.0381225,-.001143,-5.552531,.0000168,2.85e-06,.0004802,1.07e-07,3,3,3,3
1,60,.0124718,.0490697,-8.39e-06,-3.434216,.4140068,1.87e-31,.9527696,1.41e-08,0,3,0,3
2,60,.168171,-.0088855,.0001422,-.9909009,4.77e-20,.1387897,.7228282,.0863331,3,0,0,1
3,60,.1076242,.0256364,-.0010304,-1.667472,2.68e-09,4.23e-06,1.95e-06,.0291975,3,3,3,2
1,90,-.0384917,.0481925,-.0000227,-2.279399,.0008259,0,.8315827,1.27e-07,3,3,0,3
2,90,.1576906,-.017607,-.0004916,-.310025,1.31e-24,.0003065,.1152402,.3451853,3,3,0,0
3,90,.0585065,.0253288,-.0012204,-.2895565,.0000505,3.10e-08,1.15e-10,.6140304,3,3,3,0
1,120,-.0701768,.0488621,.0001217,-1.852174,1.52e-11,0,.1539321,2.01e-07,3,3,0,3
2,120,.1567887,-.0214287,-.0002724,-.0436792,8.46e-28,2.06e-07,.2435484,.8265341,3,3,0,0
3,120,.0391753,.0247366,-.0012219,-.1135795,.0028257,6.95e-09,3.10e-12,.8341373,3,3,3,0
1,150,-.0887962,.0489011,.0001882,-1.604996,8.23e-18,0,.0154103,5.38e-07,3,3,2,3
2,150,.1588851,-.0244908,-.0004131,-.4844196,2.70e-28,3.44e-09,.0618632,.0168555,3,3,1,2
3,150,.0347514,.0215992,-.0011203,.11218,.0084914,2.00e-07,1.72e-11,.8248572,3,3,3,0
1,180,-.1002021,.0481129,.0001771,-1.405543,5.11e-22,0,.0115944,1.23e-06,3,3,2,3
2,180,.1483057,-.0248022,-.0005043,-.2917131,2.07e-22,8.86e-08,.0268516,.1201629,3,3,2,0
3,180,.0340829,.0173778,-.0010279,.3760327,.0145303,.0000307,1.29e-10,.447001,2,3,3,0
