gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.3143125,.041174,.0011288,40.33694,.0898503,.0307048,.05081,.3290153,1,2,1,0
2,10,.3003184,.0667642,-.0000552,148.1674,.0000223,7.38e-09,.8258221,.0360832,3,3,0,2
3,10,.1136229,.0778494,.000273,13.67026,.0032387,9.97e-24,.0859913,.7754198,3,3,1,0
1,20,.2609027,.0495117,.0012519,30.50083,.0711556,.0025032,.0574977,.5324436,1,3,1,0
2,20,.2397783,.0708782,-.0001973,164.7353,.00023,1.61e-09,.4293513,.0232504,3,3,0,2
3,20,.0557046,.0844466,.0002174,21.20051,.1352428,2.96e-26,.1482448,.655211,0,3,0,0
1,30,.1803094,.0606206,.0011449,24.43578,.1221829,.0000535,.0720584,.6326506,0,3,1,0
2,30,.225824,.0719227,-.0001883,130.0301,4.99e-07,6.54e-14,.4095446,.0416917,3,3,0,2
3,30,-.0096615,.0914799,.0001732,25.17169,.7870696,4.70e-30,.2208047,.5855135,0,3,0,0
1,60,.0692847,.0728732,.0011195,25.43532,.4177901,6.37e-07,.0624492,.5691779,0,3,1,0
2,60,.1713086,.0723114,-.0001767,86.01324,5.08e-20,2.75e-29,.2593903,.0315922,3,3,0,2
3,60,-.072715,.0942179,.0001356,29.05661,.013377,1.06e-38,.2321993,.4235164,2,3,0,0
1,90,.0311133,.0753278,.0010873,29.34072,.7202233,1.84e-07,.0630468,.5054641,0,3,1,0
2,90,.1212972,.0759199,.0000768,55.30474,8.37e-14,0,.5554296,.0730178,3,3,0,1
3,90,-.1348144,.0988547,.0000559,34.15337,7.57e-08,0,.5549913,.2285818,3,3,0,0
1,120,-.0054265,.0772322,.0010971,33.62749,.9563228,4.70e-07,.0590434,.4421428,0,3,1,0
2,120,.1221748,.0719236,3.36e-06,26.29092,5.04e-14,0,.9785847,.2729173,3,3,0,0
3,120,-.2074139,.1050948,-.0000623,37.94603,7.07e-18,0,.4315817,.0898482,3,3,0,1
1,150,.1340212,.0616075,.0014523,22.89966,.2442905,.0001603,.009743,.5859659,0,3,3,0
2,150,.1319373,.0679927,.000038,6.385457,1.50e-13,7.32e-38,.7614194,.755843,3,3,0,0
3,150,-.265327,.1105469,-.0000953,32.06407,2.81e-28,0,.1423067,.0662996,3,3,0,1
1,180,.1812229,.053117,.0016156,25.16095,.0353926,.0011242,.0017961,.5240238,2,3,3,0
2,180,.1180951,.066843,.0000785,8.966592,1.70e-09,5.31e-33,.5464736,.7216477,3,3,0,0
3,180,-.3152411,.1148698,-.0001534,26.27931,0,0,.0049671,.0672918,3,3,3,1
