gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.3535508,.0369767,-.0019861,-4.233166,4.76e-07,.0004136,.0016212,.0096157,3,3,3,3
2,10,.2126194,-.0006592,-.0043651,-.2119734,1.34e-11,.9502968,.0020973,.9275101,3,0,3,0
3,10,.3828093,.0051524,.0010881,-3.986907,2.46e-12,.6107553,.0421019,.0666554,3,0,2,1
1,20,.3234899,.0230377,-.0020332,-2.432228,9.16e-10,.0050835,.0000403,.0405474,3,3,3,2
2,20,.1948519,-.0031282,-.0029378,.3377956,2.56e-16,.675693,.0032072,.8355891,3,0,3,0
3,20,.3241509,.003255,.0001789,-.6557395,7.96e-15,.6676843,.6204906,.5915526,3,0,0,0
1,30,.2710323,.0196334,-.0015523,-2.077616,2.93e-11,.0023343,.000121,.0113668,3,3,3,2
2,30,.1993596,-.001133,-.0033435,-.0200414,9.82e-21,.8720598,.0001833,.9902867,3,0,3,0
3,30,.3359632,-.0038405,.0005444,-.4254256,3.45e-18,.5733199,.0596595,.6191865,3,0,1,0
1,60,.1552454,.0214476,-.0008377,.0812772,8.76e-09,.0000163,.0002385,.8407469,3,3,3,0
2,60,.1908349,-.0092468,-.0018835,.4806451,6.68e-27,.0219526,.0026477,.6317537,3,2,3,0
3,60,.3198175,-.0144348,.0003031,1.838414,1.00e-23,.0098815,.0733753,.000099,3,3,1,3
1,90,.0755166,.0288848,-.0004495,-.0064748,.0000833,3.58e-13,.0073606,.9828311,3,3,3,0
2,90,.1607169,-.0049579,-.0017298,.154769,4.51e-23,.0969169,.0029452,.8475496,3,1,3,0
3,90,.3292845,-.0260608,.0005385,1.241667,4.32e-30,7.15e-08,.000015,.0032854,3,3,3,3
1,120,.0322453,.0309499,-.0003162,.0552326,.042465,3.87e-17,.0254294,.8385297,2,3,2,0
2,120,.1127656,-.0017558,-.0010033,1.767824,5.10e-12,.5537169,.0904928,.0958587,3,0,1,1
3,120,.3034393,-.0256725,.0006664,.8739642,2.84e-28,8.12e-08,4.38e-08,.0576008,3,3,3,1
1,150,.0069287,.0312827,-.0002365,.0829381,.678115,3.57e-16,.0846754,.7577115,0,3,1,0
2,150,.0471081,.0038979,-.0002206,4.165932,.002206,.1910789,.6808618,.0005657,3,0,0,3
3,150,.2800994,-.0256682,.0007842,.955426,1.71e-22,1.74e-06,1.18e-09,.0185813,3,3,3,2
1,180,.0120835,.0269471,-.0002673,.2140737,.4406883,7.45e-14,.0323284,.4129746,0,3,2,0
2,180,.007579,.0092392,.0000786,5.076804,.6012508,.0031123,.871173,.000014,0,3,0,3
3,180,.2243788,-.0162659,.000687,.4469894,7.53e-15,.0037112,3.06e-07,.2143599,3,3,3,0
