gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2292825,.0579612,-.0003414,-22.24883,.000738,1.95e-06,.2896991,.0127792,3,3,0,2
2,10,.27174,-.0212864,-.0009707,143.6228,.0000429,.3939379,.4752479,.1086069,3,0,0,0
3,10,.0515944,.1279116,-.0029105,-136.5213,.5143125,5.48e-09,.0002595,.0107739,0,3,3,2
1,20,.1357445,.0481383,-.0005126,-9.239145,.0018343,1.56e-08,.0351,.1153558,3,3,2,0
2,20,.2177684,-.022932,-.0013537,155.2325,.0000116,.1706974,.1809563,.0101931,3,0,0,2
3,20,.0086806,.0989735,-.0019666,-62.22697,.8995359,9.93e-08,.0003145,.0789114,0,3,3,1
1,30,.1462622,.0320772,-.0002588,-6.418793,.0002827,.0000124,.2005721,.1531393,3,3,0,0
2,30,.1559362,-.0110862,-.0006219,132.6542,8.76e-07,.3728437,.370406,.0013593,3,0,0,3
3,30,.1254076,.0518279,-.001108,-13.63225,.005672,.000047,.0019918,.5550396,3,3,3,0
1,60,.1315923,.0203521,.0001973,.062937,1.17e-06,.0000236,.068002,.9699566,3,3,1,0
2,60,.1358107,.0056439,-.0016419,71.73993,1.85e-10,.549126,.0012736,.0061814,3,0,3,3
3,60,.2020718,.0177609,.0000348,.8401335,4.91e-11,.0045072,.8371791,.9432989,3,3,0,0
1,90,.0726041,.0218621,.0004021,2.40172,.0002148,1.71e-08,1.86e-06,.1000341,3,3,3,0
2,90,.1346813,.0002513,-.0021787,67.67979,4.41e-10,.9777281,7.99e-06,.0020962,3,0,3,3
3,90,.2645161,-.0048904,.0002931,-8.311109,7.39e-11,.529256,.0439328,.3500488,3,0,2,0
1,120,.031832,.0228084,.0004121,4.245067,.066562,4.95e-10,1.96e-08,.0085219,1,3,3,3
2,120,.1348507,-.0096775,-.0019746,79.28025,1.93e-10,.3028116,.0000266,.0001057,3,0,3,3
3,120,.305752,-.0235129,.0003926,-1.74259,3.06e-13,.0043611,.0015964,.8123487,3,3,3,0
1,150,-.0061234,.0252907,.000424,6.175608,.7210741,1.60e-11,1.36e-09,.0010821,0,3,3,3
2,150,.1284787,-.0135421,-.0018547,79.40639,2.33e-07,.2169507,.0000353,.0001595,3,0,3,3
3,150,.1922992,-.0057813,.0003763,7.065243,2.14e-06,.4995438,.0012328,.3153309,3,0,3,0
1,180,-.017867,.0240289,.0004226,6.965363,.2686745,8.16e-12,9.80e-11,.0002703,0,3,3,3
2,180,.146049,-.0219677,-.0020066,75.91124,6.27e-08,.0614722,1.40e-06,.0002771,3,1,3,3
3,180,.09922,.0078845,.0003757,16.17841,.0308857,.4339725,.0003948,.016737,2,0,3,2
