gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2157882,.0682816,-.000278,-28.37826,4.00e-06,1.02e-10,.4756464,5.05e-09,3,3,0,3
2,10,.2233031,.0285723,-.0011007,-45.3528,1.31e-06,.0470979,.260213,.001059,3,2,0,3
3,10,.0921351,.0719809,-.000215,-19.94459,.1328806,3.43e-06,.7561697,.0004267,0,3,0,3
1,20,.1960448,.0473865,-.0000262,-23.88875,1.49e-06,9.90e-08,.923916,2.51e-11,3,3,0,3
2,20,.1892718,.0305639,-.0015807,-39.0514,7.00e-18,.0001339,.0151438,.0000277,3,3,2,3
3,20,.206002,.0376021,-.0009328,-17.31183,1.67e-06,.0005369,.0571837,.0000485,3,3,1,3
1,30,.1644347,.0394705,-.0001516,-19.30172,4.56e-08,2.12e-09,.4768071,2.58e-08,3,3,0,3
2,30,.1517025,.0315384,-.0022125,-24.25754,5.48e-11,.0000271,.0003805,.0002356,3,3,3,3
3,30,.1862951,.0338848,-.0010605,-12.09352,1.56e-06,.0007397,.004967,.0006156,3,3,3,3
1,60,.1610512,.0187344,-.0002956,-6.839956,1.75e-18,1.78e-07,.0106625,3.15e-08,3,3,2,3
2,60,.1611377,.0035914,-.0016646,-4.561985,2.73e-32,.3622028,4.71e-07,.1013444,3,0,3,0
3,60,.3517837,-.0264869,-.0008178,-4.439382,7.73e-26,.0001711,.000053,.0924478,3,3,3,1
1,90,.1287331,.0141187,-.0002974,-2.620687,3.52e-21,1.13e-07,.0006587,.0019147,3,3,3,3
2,90,.1456176,-.0027549,-.0008219,1.860125,2.47e-28,.4588102,.006457,.3959478,3,0,3,0
3,90,.2630473,-.0196269,-.0005118,-.0436153,1.22e-24,.0001846,.0008571,.983241,3,3,3,0
1,120,.1131253,.0107868,-.0002651,-1.052099,1.80e-18,.0000154,.0009016,.1512726,3,3,3,0
2,120,.1241229,-.0001786,-.0010405,1.648729,1.69e-24,.9598946,.0028473,.5690823,3,0,3,0
3,120,.2487191,-.0230377,-.0004484,.3112866,9.91e-25,7.04e-06,.0030132,.8783656,3,3,3,0
1,150,.1097808,.0062962,-.0001839,.1920017,1.12e-17,.0120133,.01122,.806706,3,2,2,0
2,150,.1165076,-.0023151,-.0010586,1.218716,4.27e-23,.5235319,.0001413,.6669914,3,0,3,0
3,150,.2862849,-.0376297,-.0003239,.9208354,1.43e-26,2.24e-10,.0166653,.6370283,3,3,2,0
1,180,.1079128,.003185,-.0001347,.438284,2.07e-19,.1561277,.0322356,.5520396,3,0,2,0
2,180,.1033429,-.0050092,-.0009955,5.713659,2.86e-18,.2258529,.0000499,.0671372,3,0,3,1
3,180,.2553963,-.0351705,-.0002208,1.768348,5.37e-20,3.29e-08,.0518133,.3007301,3,3,1,0
