gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1782099,.0506239,-.0022736,-.5815624,.0004255,1.96e-07,4.15e-08,.4106427,3,3,3,0
2,10,.4212043,.0036263,-.0001501,-3.371696,1.65e-13,.7599496,.9162011,.0000987,3,0,0,3
3,10,.2089985,.0240279,.003766,.618477,2.21e-07,.0155904,.0002379,.450573,3,2,3,0
1,20,.160661,.0410209,-.0021485,-.8112909,4.13e-07,3.68e-10,2.18e-12,.0715041,3,3,3,1
2,20,.3319472,.0155593,-.0007758,-2.499988,1.34e-16,.0338673,.4159858,5.76e-06,3,2,0,3
3,20,.1710037,.0435652,.0014117,.0889327,1.52e-08,5.31e-09,.0285403,.8427126,3,3,2,0
1,30,.156556,.0305578,-.001884,-.2716087,7.82e-09,7.25e-09,5.52e-14,.433552,3,3,3,0
2,30,.2261824,.0265078,-.001273,-1.169696,9.80e-20,6.17e-06,.0840579,.0086357,3,3,1,3
3,30,.1551558,.0530532,.0014652,-.3645836,4.70e-11,1.50e-17,.0016266,.2446424,3,3,3,0
1,60,.0064729,.0440034,-.0011164,.4058494,.0578995,0,6.50e-14,.0908105,1,3,3,1
2,60,.1926414,.0147954,-.0012928,-.6583635,9.01e-22,.0001092,.0056892,.0217767,3,3,3,2
3,60,.1000638,.0523294,.0001022,.0784532,2.57e-15,7.29e-33,.711691,.6502659,3,3,0,0
1,90,-.0010719,.0378673,-.0007972,.3696172,.6082598,0,1.10e-12,.050475,0,3,3,1
2,90,.1648586,.0007735,-.0001249,.0836159,7.97e-29,.7970948,.6973935,.7301716,3,0,0,0
3,90,.0845401,.0437635,-.0001154,.2078589,4.55e-15,2.73e-33,.5949891,.1091418,3,3,0,0
1,120,-.0082294,.0346061,-.000616,.2054929,.0196361,0,3.43e-10,.1831808,2,3,3,0
2,120,.1364114,-.0033348,.0004896,.4574412,6.83e-21,.2414982,.1402866,.0555425,3,0,0,1
3,120,.0672949,.0392024,-.0001063,.2424816,5.62e-12,1.07e-31,.5755517,.0255712,3,3,0,2
1,150,-.0119555,.0331351,-.0004482,.0920081,.0103334,0,9.98e-08,.4503716,2,3,3,0
2,150,.0950709,.0017961,.0002173,.6696972,6.86e-08,.6037108,.5482308,.0225901,3,0,0,2
3,150,.0394739,.040941,-.0002821,.2468032,2.28e-06,1.99e-36,.0716255,.0085291,3,3,1,3
1,180,-.0158031,.0311197,-.0003293,.0855846,.0037928,0,7.16e-06,.4062148,3,3,3,0
2,180,.0441954,.0106021,-.0001245,.910449,.0296936,.0193192,.7479719,.0015311,2,2,0,3
3,180,.0219811,.0402485,-.0003331,.2535832,.0023714,0,.015981,.0018708,3,3,2,3
