gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0294978,-.0116804,.0008838,0,.9098025,.6040536,.6145223,,0,0,0,0
2,10,-.147837,.0017162,-.0000592,-1302.944,.4917193,.886953,.9459995,.259277,0,0,0,0
3,10,.1298586,.001151,-.0003942,-2213.148,.3118252,.8447285,.3526059,1.27e-26,0,0,0,3
1,20,-.1583707,-.0107367,.0005588,0,.7450514,.5990472,.7402629,,0,0,0,0
2,20,-.0911763,.000816,-.0001915,-854.5341,.7600051,.9407921,.7943839,.2624702,0,0,0,0
3,20,.2784679,.0012945,-.0004253,-2329.832,.1784551,.8138416,.2928767,3.70e-20,0,0,0,3
1,30,.2445817,-.0050886,.0005905,0,.6606787,.7688184,.7116636,,0,0,0,0
2,30,-.4943637,-.0010704,-.0004125,-179.8233,.2823837,.9184146,.5549737,.6354032,0,0,0,0
3,30,.4687618,.0010367,-.0003988,-2324.656,.1953523,.8339761,.2781377,9.75e-15,0,0,0,3
1,60,-.1464503,.0021179,.000297,0,.7769307,.8666915,.7673091,,0,0,0,0
2,60,-.7118369,-.000993,-.0002072,58.55627,.4361704,.9098576,.6915123,.8383977,0,0,0,0
3,60,.9255859,.0001224,-.000256,-2038.105,.1397942,.9740239,.3086991,1.48e-14,0,0,0,3
1,90,-.2567962,.0050121,.0004085,0,.655772,.6482869,.5593472,,0,0,0,0
2,90,-.0976836,-.00004,-.0000175,-79.93185,.9200564,.9949312,.9645274,.7088526,0,0,0,0
3,90,.7109015,.0004897,-.0000847,-1345.068,.2419287,.8521874,.6067469,1.43e-13,0,0,0,3
1,120,1.09971,.0037429,.0005371,0,.5920073,.7140865,.4730624,,0,0,0,0
2,120,-.828056,-.0006231,.0000883,39.61766,.2762801,.8909659,.7403703,.7857558,0,0,0,0
3,120,1.248107,.0001167,-.0001192,-972.5398,.0040658,.9559384,.3281808,6.14e-18,3,0,0,3
1,150,-1.403959,.0068495,.0001919,0,.5223868,.519982,.814241,,0,0,0,0
2,150,.1666884,.000343,.0001077,-88.77694,.8174767,.9228382,.6402207,.4979529,0,0,0,0
3,150,.9996792,-.0001078,-.0000739,-424.8754,.0019494,.9546466,.4934431,1.35e-15,3,0,0,3
1,180,-1.314242,.0066781,.0001432,0,.3505115,.4653387,.8478705,,0,0,0,0
2,180,.325663,.0004273,.0001235,-122.902,.6592103,.8901708,.5526943,.4516931,0,0,0,0
3,180,.6069589,-.0002488,-.0000636,18.72221,.0427473,.8931009,.5411801,.5376158,2,0,0,0
