gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.094572,-.0714182,.0018068,-35.57587,.0000209,.0000268,.1671704,.0000344,3,3,0,3
2,10,-.0193921,.0024996,-.0102346,-.4028535,.3787307,.8922035,.0002101,.3908847,0,0,3,0
3,10,.0291655,.0508587,-.0001096,-2.006692,.0224755,1.43e-07,.8675707,2.70e-06,2,3,0,3
1,20,.1764134,-.1360931,.0026292,-33.27002,.0021491,.0001247,.1192149,.0016499,3,3,0,3
2,20,-.0032018,.0006037,-.0075229,-.6118464,.9337718,.9789294,.0022449,.0808654,0,0,3,1
3,20,.0271228,.0415007,-.0001908,-2.063954,.0029704,1.61e-08,.6411211,2.10e-13,3,3,0,3
1,30,.1423506,-.1132031,.0001027,-26.02398,.0004646,3.59e-06,.9232323,.0020441,3,3,0,3
2,30,.008431,-.0520405,.0014381,.0702779,.7731509,.2233688,.7860831,.84502,0,0,0,0
3,30,.049328,.0211199,-.0005548,-1.901903,2.03e-08,.0007541,.0737951,9.87e-17,3,3,1,3
1,60,.069302,-.0686433,.0008152,-13.42404,1.18e-09,1.17e-12,.3982963,.0009571,3,3,0,3
2,60,.0234327,-.0107143,.004515,-.8799549,.7877999,.8399255,.2579925,.1328566,0,0,0,0
3,60,.0681285,-.0002077,-.0006686,-1.651261,8.83e-16,.9696814,.007309,6.28e-19,3,0,3,3
1,90,.0366286,-.0439118,.0006165,-8.577205,7.18e-12,2.78e-14,.2889413,.001754,3,3,0,3
2,90,.0613476,-.0513875,.0029617,-.4816183,.4679733,.4382057,.3257875,.1091393,0,0,0,0
3,90,.0749235,-.011066,-.0003148,-1.347544,3.83e-24,.0116175,.0617616,3.47e-19,3,2,1,3
1,120,.0226615,-.0330531,.0007538,-6.591829,2.18e-10,1.12e-20,.0514184,.0021296,3,3,1,3
2,120,.0138255,-.0121332,.0000334,-.1842308,.8987275,.8980598,.9742228,.0125261,0,0,0,2
3,120,.0679831,-.0097211,.0000564,-1.306123,3.38e-23,.0154494,.686705,7.25e-21,3,2,0,3
1,150,.0275041,-.0330598,.0005811,-5.764018,2.30e-12,3.82e-24,.1157965,.001724,3,3,0,3
2,150,.034951,-.0281974,-.0003198,-.1562759,.7692549,.7892654,.6030124,.0039204,0,0,0,3
3,150,.0711736,-.0135335,.000301,-1.376405,2.30e-24,.0007637,.0329568,1.65e-22,3,3,2,3
1,180,.0367635,-.0339456,.0001114,-4.413453,7.02e-19,5.20e-28,.7369205,.0002499,3,3,0,3
2,180,.0453027,-.0334951,-.0001926,-.2205659,.2558041,.3239678,.7597417,6.62e-08,0,0,0,3
3,180,.0683385,-.0132611,.0004139,-1.41787,4.32e-22,.0012051,.002963,5.17e-20,3,3,3,3
