gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1333646,.0478912,-.0044099,-1.67877,4.90e-09,4.36e-14,2.48e-11,8.31e-14,3,3,3,3
2,10,.2597114,-.0176052,-.007508,-2.879576,9.56e-22,.0419215,.0030685,1.19e-12,3,2,3,3
3,10,.112825,.0295771,-.0057276,-.3567736,1.76e-07,.0002032,2.67e-08,.0623607,3,3,3,1
1,20,.0970018,.0445812,-.0034184,-1.322741,6.26e-13,4.01e-23,2.41e-12,5.30e-21,3,3,3,3
2,20,.2180945,-.017839,-.0072878,-1.974152,0,.0002851,2.96e-09,1.07e-14,3,3,3,3
3,20,.0961703,.0207626,-.00498,-.0339523,3.25e-09,.000291,3.02e-15,.7985491,3,3,3,0
1,30,.0721118,.0424482,-.0022674,-1.095644,3.22e-12,2.14e-28,4.15e-12,4.10e-21,3,3,3,3
2,30,.2015325,-.0230987,-.0060851,-1.3935,0,1.42e-08,2.45e-10,3.50e-12,3,3,3,3
3,30,.1030792,.0116609,-.0039426,-.0086856,4.13e-12,.0112179,5.67e-16,.9420594,3,2,3,0
1,60,.042078,.0381324,-.0010577,-.8670537,4.71e-11,2.57e-38,6.21e-10,4.36e-25,3,3,3,3
2,60,.1870878,-.0334775,-.0043786,-.8460177,7.68e-38,2.05e-15,7.05e-07,1.21e-11,3,3,3,3
3,60,.1113223,.0005033,-.0034001,-.1156584,4.05e-20,.8824272,6.85e-21,.1571385,3,0,3,0
1,90,.0226469,.0353206,-.0006294,-.674545,.0000136,0,1.79e-07,3.36e-27,3,3,3,3
2,90,.1690168,-.0326174,-.0034081,-.7412689,4.79e-32,1.63e-13,.0000777,6.71e-13,3,3,3,3
3,90,.1049351,-.0036069,-.0025349,-.1351839,4.64e-24,.2273711,1.10e-19,.0256861,3,0,3,2
1,120,.0152222,.0326914,-.0004637,-.5930448,.0009195,0,3.09e-06,2.23e-27,3,3,3,3
2,120,.1610331,-.0358976,-.002687,-.4557503,6.08e-27,2.56e-12,.0054992,7.83e-08,3,3,3,3
3,120,.1005784,-.0050597,-.001994,-.1854731,9.55e-27,.0679656,1.54e-19,.0002052,3,1,3,3
1,150,.0061208,.0318176,-.0003537,-.5211048,.1331653,0,.0000354,2.77e-26,0,3,3,3
2,150,.1451381,-.0338538,-.0027558,-.2716502,3.37e-20,8.24e-09,.0041036,.0003384,3,3,3,3
3,150,.1058324,-.0091185,-.0014509,-.22154,8.03e-30,.0010365,1.11e-16,2.44e-07,3,3,3,3
1,180,-.0010295,.0311211,-.00026,-.4646634,.7963578,0,.0005245,5.27e-25,0,3,3,3
2,180,.1427306,-.0318614,-.0029722,-.4884122,1.22e-18,2.97e-08,.0004921,7.04e-07,3,3,3,3
3,180,.1039805,-.0117309,-.001051,-.199491,1.25e-35,9.31e-07,7.64e-13,2.55e-08,3,3,3,3
