gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2986176,.0477192,.0006526,.3674496,5.99e-06,3.55e-10,.0302852,.6837954,3,3,2,0
2,10,.2622759,.100687,.0016384,-1.195696,.000085,8.53e-10,.2127642,.4047356,3,3,0,0
3,10,-.1855943,.0160859,.0030092,3.978503,.02913,.2837854,.0442903,.0000351,2,0,2,3
1,20,.162421,.0486406,.0004722,1.256168,.0000438,5.76e-15,.0919149,.0516799,3,3,1,1
2,20,.20952,.1029646,.0005231,-.9076896,9.74e-11,6.79e-20,.4753056,.2560793,3,3,0,0
3,20,-.2033122,.0299407,.0021794,4.067208,.0002241,.0018082,.0192557,9.09e-11,3,3,2,3
1,30,.1199732,.0467188,.0000782,1.885788,.0000431,9.78e-20,.6889129,.0001385,3,3,0,3
2,30,.1743214,.1100127,-.0003232,-1.129825,6.91e-13,2.32e-30,.5741825,.0553958,3,3,0,1
3,30,-.2368816,.0491551,.0015953,3.761222,1.45e-08,3.14e-11,.0199317,1.57e-15,3,3,2,3
1,60,.0237906,.0622569,-.0003984,1.868121,.1616121,0,.0017503,2.72e-10,0,3,3,3
2,60,.1405175,.0973184,-.0004856,-.9585773,1.95e-19,0,.1715159,.0016554,3,3,0,3
3,60,-.2492821,.0762286,.0011496,2.732458,5.04e-18,2.69e-37,.0061887,9.46e-23,3,3,3,3
1,90,.0008741,.0716442,-.000357,.797433,.9044681,0,.0001562,1.79e-06,0,3,3,3
2,90,.1125808,.0821388,-.0002064,-.4853264,1.01e-21,0,.4084909,.0385149,3,3,0,2
3,90,-.2345818,.0836896,.0008449,1.996092,2.41e-27,0,.0083955,2.67e-24,3,3,3,3
1,120,-.0086964,.0709841,-.0002982,.328952,.3131772,0,.0001155,.0096616,0,3,3,3
2,120,.1209397,.0657821,.0000991,-.3167157,1.01e-29,4.50e-37,.5740857,.0861589,3,3,0,1
3,120,-.2277321,.0849201,.0008074,1.574213,1.98e-37,0,.0011407,1.61e-26,3,3,3,3
1,150,-.014347,.0681372,-.0002371,.0697078,.0972447,0,.0002927,.5025809,1,3,3,0
2,150,.1232688,.0549448,.0003914,-.2303852,6.18e-28,1.86e-32,.0112543,.1376417,3,3,2,0
3,150,-.2251332,.0838197,.0007273,1.343362,0,0,.0001765,5.34e-28,3,3,3,3
1,180,-.0128436,.0634692,-.0001822,-.0631975,.0684694,0,.0016966,.4807556,1,3,3,0
2,180,.1061059,.0535858,.0003928,-.3307152,1.28e-17,7.51e-30,.0086807,.0242302,3,3,3,2
3,180,-.2184667,.0848146,.0004747,1.013415,0,0,.0016414,5.70e-25,3,3,3,3
