gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.2413313,.0273715,-.000179,.8863641,.0003542,2.09e-07,.7258573,.0166685,3,3,0,2
2,10,.151712,.0471712,-.0007065,2.380926,.009662,.0000417,.6127626,.0004143,3,3,0,3
3,10,.3024889,.1008533,.005723,-2.925422,.0059659,5.64e-21,.0008672,2.99e-06,3,3,3,3
1,20,.0467714,.0197374,-.0005633,1.822536,.3487849,1.08e-06,.1642193,4.86e-10,0,3,0,3
2,20,.0424039,.0535293,.0003737,3.195924,.3764459,4.74e-09,.7364853,1.89e-07,0,3,0,3
3,20,.2273397,.0885804,.0042184,-1.91094,.0040286,3.83e-24,.0004369,.000013,3,3,3,3
1,30,.0089526,.0182731,-.0002942,1.915606,.8301218,.0000236,.3521068,1.26e-13,0,3,0,3
2,30,-.0138792,.0606601,.0005293,3.332624,.7336624,4.17e-15,.5437213,1.22e-09,0,3,0,3
3,30,.1366296,.0928826,.0033363,-1.362893,.0369262,1.62e-31,.0003178,.0000919,2,3,3,3
1,60,.041156,.0233574,.0000265,1.590993,.0983359,1.09e-14,.8966356,1.67e-20,1,3,0,3
2,60,.0206303,.0773087,.0000633,1.750509,.1705336,0,.8882514,2.19e-11,0,3,0,3
3,60,-.0835936,.1048041,.0020911,-.4508134,.0994682,0,.0007205,.0453964,1,3,3,2
1,90,-.0465693,.0394657,-.0000653,1.470711,.063831,4.59e-17,.7759777,1.12e-23,1,3,0,3
2,90,.0373379,.083951,-.0000712,.8612297,.0080662,0,.8457987,2.30e-06,3,3,0,3
3,90,-.1675503,.1156031,.0018019,-.4062518,.000016,0,.0002921,.0139162,3,3,3,2
1,120,-.0666487,.0480202,.0000889,1.161893,.00003,0,.6690353,4.15e-20,3,3,0,3
2,120,.0771726,.0789427,.0000371,.3498927,1.89e-09,0,.8992276,.0141198,3,3,0,2
3,120,-.2627835,.1222124,.00167,-.2494733,2.30e-15,0,.000029,.0507438,3,3,3,1
1,150,-.0886087,.0559897,.0004104,.7934076,1.17e-08,0,.0007852,4.49e-18,3,3,3,3
2,150,.0736556,.0750379,-.0001003,.2549917,3.07e-12,0,.6846389,.0223185,3,3,0,2
3,150,-.3682138,.1239798,.0013586,.1303024,8.26e-31,0,.0000213,.1883688,3,3,3,0
1,180,-.108287,.0583855,.0004417,.661518,9.59e-13,0,.0000693,9.32e-16,3,3,3,3
2,180,.0595859,.0727959,-.0002122,.1990691,2.26e-09,0,.346214,.034754,3,3,0,2
3,180,-.4208155,.1257896,.0009212,.2307429,0,0,.0002501,.0018265,3,3,3,3
