gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,-.0819387,-.090768,.0031341,-11.45004,2.91e-06,3.14e-23,1.82e-07,7.07e-06,3,3,3,3
2,10,-.1688532,-.1326219,.0028746,4.366182,.0000432,5.00e-11,.1256865,.0013898,3,3,0,3
3,10,-.0878422,-.1427167,-.0018523,2.730231,.0010583,1.07e-19,.0019236,3.12e-11,3,3,3,3
1,20,-.0522757,-.0920489,.0027464,-13.52159,.0004361,3.78e-28,2.46e-07,5.50e-09,3,3,3,3
2,20,-.1122287,-.1363326,-.0004413,4.868731,4.36e-08,2.07e-22,.7474607,6.15e-09,3,3,0,3
3,20,.0188717,-.1869387,-.002448,1.881082,.3816972,5.46e-27,1.94e-06,4.45e-10,0,3,3,3
1,30,-.0195826,-.098589,.0022834,-13.65665,.1085124,1.43e-34,7.89e-07,1.47e-11,0,3,3,3
2,30,-.0833726,-.1377466,.0001892,5.752335,1.34e-08,2.68e-37,.8667109,8.15e-06,3,3,0,3
3,30,.040255,-.1972162,-.0019235,1.909426,.0530298,2.61e-33,1.28e-06,9.72e-10,1,3,3,3
1,60,.019648,-.1115753,.0012617,-8.689999,.0268133,0,.0001089,5.52e-10,2,3,3,3
2,60,-.0496073,-.1070789,-.0016122,2.625869,2.02e-12,1.28e-35,.325865,.000083,3,3,0,3
3,60,.045784,-.1595685,-.0016476,1.047174,.0104685,6.68e-28,1.00e-06,8.76e-09,2,3,3,3
1,90,.0151941,-.1042762,.0007579,-5.554245,.0418019,0,.0041276,7.54e-08,2,3,3,3
2,90,-.058688,-.0873019,-.0008144,2.115452,2.26e-19,1.08e-28,.4156891,.0000557,3,3,0,3
3,90,.0280109,-.1335207,-.0007606,.8501835,.0044191,0,.0000108,2.04e-16,3,3,3,3
1,120,-.0015657,-.0934139,.0006587,-3.050614,.8096211,0,.001193,.0000131,0,3,3,3
2,120,-.0674526,-.0680034,-.0004132,1.581503,1.23e-27,7.70e-32,.3637159,8.57e-07,3,3,0,3
3,120,.0277871,-.1194145,-.0004172,.6341822,.0000104,0,.0027548,1.23e-13,3,3,3,3
1,150,-.0083827,-.082969,.0005993,-2.412185,.1941965,0,.00096,.0000558,0,3,3,3
2,150,-.0639587,-.0601725,-.0004969,1.410115,1.94e-19,2.52e-26,.1818985,1.79e-07,3,3,0,3
3,150,.0324663,-.1099054,-.0001043,.4101797,.0001329,0,.4627622,.0000207,3,3,0,3
1,180,-.0006879,-.0783411,.0004274,-2.507999,.9182745,1.80e-34,.0172641,.0001713,0,3,2,3
2,180,-.0599139,-.0546742,-.0009557,1.582738,6.15e-13,1.34e-18,.0477282,5.71e-06,3,3,2,3
3,180,.0412527,-.1053971,.0001694,.2039092,7.68e-06,0,.2112064,.0338172,3,3,0,2
