gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.0903049,.0944019,-.0001935,6.359541,6.37e-06,7.40e-20,.7805441,1.10e-06,3,3,0,3
2,10,.0843727,.2127596,-.0006168,-4.548501,2.36e-10,5.72e-31,.4707474,3.92e-07,3,3,0,3
3,10,.0805686,.1872342,.0027472,-4.488208,.000078,1.30e-31,.0001542,2.13e-09,3,3,3,3
1,20,.0507327,.0958796,-.0000846,5.813751,.0000243,1.32e-33,.867879,1.25e-09,3,3,0,3
2,20,.0574231,.1979098,-.0010534,-4.045405,3.49e-07,0,.0827057,3.92e-12,3,3,1,3
3,20,-.0024244,.1824448,.0030868,-2.255191,.8750902,0,1.26e-08,4.41e-06,0,3,3,3
1,30,.0109649,.1043506,-.0001715,5.131323,.2520734,0,.6686186,1.73e-12,0,3,0,3
2,30,.0391451,.1757092,-.0009047,-3.188968,.0004223,1.66e-38,.1053075,2.86e-09,3,3,0,3
3,30,-.0380708,.165801,.0034641,-.8924578,.0039137,0,1.02e-13,.0272302,3,3,3,2
1,60,.0006531,.099814,-.000326,2.802608,.9110941,0,.1468557,1.07e-10,0,3,0,3
2,60,.0422626,.1381206,-.001434,-2.622076,1.49e-11,0,.0000393,1.10e-16,3,3,3,3
3,60,-.0462173,.1369789,.0027151,-.273069,1.61e-06,0,1.55e-16,.2853,3,3,3,0
1,90,.0040293,.0864922,.0000336,1.996901,.4700012,0,.84062,4.07e-11,0,3,0,3
2,90,.0428517,.1089186,-.0011568,-1.798806,2.38e-17,0,.0112601,1.32e-13,3,3,2,3
3,90,-.03577,.1176072,.0020299,-.2469774,1.22e-07,0,1.82e-18,.1791838,3,3,3,0
1,120,.0103162,.0756661,.0000663,1.35151,.0138794,0,.6072577,8.55e-10,2,3,0,3
2,120,.050398,.0825679,-.0009103,-1.358184,8.77e-27,1.43e-38,.0091435,7.02e-14,3,3,3,3
3,120,-.0406131,.1030731,.0017108,.0940851,2.53e-12,0,1.05e-20,.4981216,3,3,3,0
1,150,.0134204,.0673836,.0000458,.8422805,.0000941,0,.6730651,3.58e-06,3,3,0,3
2,150,.049054,.0688031,-.0008098,-1.137878,1.17e-22,1.16e-33,.001185,2.79e-15,3,3,3,3
3,150,-.0435918,.0941236,.0012579,.2430766,6.23e-17,0,1.65e-17,.0403785,3,3,3,2
1,180,.0124497,.0619177,.0001028,.5230983,.0000841,0,.3161128,.0010479,3,3,0,3
2,180,.0467674,.059431,-.0006135,-1.001771,5.93e-15,2.54e-25,.0036051,4.65e-15,3,3,3,3
3,180,-.0493072,.0893143,.0008509,.3531251,1.53e-23,0,2.22e-12,.0004429,3,3,3,3
