gruppo,ttm,vol,c,smt,ac,Svol,Sc,Ssenstiment,Sac,starsvol,starsc,starsmt,starsac
1,10,.1880992,.0048796,-.0047181,-1.332339,1.13e-16,.477321,.0000582,1.66e-13,3,0,3,3
2,10,.1086531,.0389501,-.0160804,-1.246452,1.77e-07,.0057791,.000591,1.74e-09,3,3,3,3
3,10,-.0871655,.205234,-.0155751,-.8779802,.0001042,5.44e-31,4.54e-14,9.61e-30,3,3,3,3
1,20,.1575628,.0053428,-.0047467,-.8465635,2.30e-16,.3955213,1.34e-06,3.71e-11,3,0,3,3
2,20,.1059947,.0156035,-.0138305,-.9376909,5.99e-14,.0970243,.0000104,5.64e-11,3,1,3,3
3,20,-.0596061,.1536901,-.0113683,-.5662628,.0023584,1.07e-27,8.40e-14,2.47e-24,3,3,3,3
1,30,.1623202,-.0003388,-.0037651,-.6760279,3.18e-19,.9527079,.0000173,4.30e-09,3,0,3,3
2,30,.0851294,.0136836,-.0139686,-.7303379,3.13e-11,.1040718,3.14e-07,4.61e-11,3,0,3,3
3,30,-.0454356,.1255363,-.0089155,-.4040476,.0064696,2.60e-27,4.73e-13,5.36e-21,3,3,3,3
1,60,.177122,-.0144665,-.0030339,-.4133108,2.85e-22,.0085005,.000021,4.63e-06,3,3,3,3
2,60,.0818967,-.0121628,-.0073048,-.4168688,3.38e-12,.1001765,.0000124,8.10e-14,3,0,3,3
3,60,-.0195988,.0827739,-.0058173,-.2148035,.0710115,9.21e-27,9.67e-12,3.18e-14,1,3,3,3
1,90,.1839291,-.023803,-.0022981,-.2896674,6.30e-26,3.26e-06,.0001842,.0001279,3,3,3,3
2,90,.0632757,-.0094185,-.0061684,-.3163942,7.80e-10,.1652722,6.02e-06,1.33e-12,3,0,3,3
3,90,-.0059874,.0599777,-.0042727,-.1363804,.4855372,1.73e-22,3.29e-10,7.63e-11,0,3,3,3
1,120,.1692394,-.0232043,-.0022297,-.2142435,3.76e-29,7.37e-08,.0000308,.0016916,3,3,3,3
2,120,.0319094,.0059463,-.0068841,-.2581514,.0013599,.4069959,3.08e-09,1.97e-11,3,0,3,3
3,120,-.0066901,.0500972,-.0033949,-.088763,.4038572,9.61e-20,7.23e-09,1.92e-07,0,3,3,3
1,150,.156749,-.0218188,-.0022901,-.1780128,2.69e-30,5.62e-09,1.98e-06,.0035882,3,3,3,3
2,150,-.004273,.0278666,-.006893,-.2535737,.6326155,.0000553,4.67e-16,1.13e-12,0,3,3,3
3,150,.0044409,.0379528,-.0028892,-.0632804,.5744386,5.81e-14,9.71e-09,.0000108,0,3,3,3
1,180,.1327654,-.0160865,-.0021505,-.129754,1.62e-26,1.07e-06,8.60e-07,.0213695,3,3,3,2
2,180,-.0172182,.0322784,-.0063344,-.2134355,.1413342,.0001449,5.98e-19,1.78e-11,0,3,3,3
3,180,.0101276,.0295103,-.0023997,-.0401694,.2209426,3.89e-09,4.39e-08,.0016402,0,3,3,3
