gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0957547,.0443721,-.0001605,-15.75726,1.018635,.0384578,5.56e-08,.6900773,.1768283,.4868438,2,3,0,0,0
2,10,.2108816,.0196393,.0006481,71.47954,-10.99241,.0000773,.1401567,.6764709,.3809954,.4471773,3,0,0,0,0
3,10,.2242868,.0414521,-.0004089,-27.63933,-.2271537,3.13e-09,1.56e-06,.6658891,.2098715,.9670218,3,3,0,0,0
1,20,.11622,.0378507,-.0000431,-7.889147,.3196224,.0025053,3.94e-08,.8998719,.333181,.7764173,3,3,0,0,0
2,20,.1903637,.0221326,.000157,44.62267,-7.445433,2.11e-06,.0377088,.8931083,.4032723,.4287595,3,2,0,0,0
3,20,.2432506,.0303824,-.0000928,-7.794044,-1.088607,3.16e-13,.000054,.8981023,.6384473,.7758037,3,3,0,0,0
1,30,.1288093,.0319749,-.0000267,-1.776553,-.1695569,5.81e-06,1.61e-10,.9226349,.6991264,.8264436,3,3,0,0,0
2,30,.1866422,.0194985,-.0002629,19.88916,-3.107611,2.12e-10,.0171539,.7551091,.5160991,.5558072,3,2,0,0,0
3,30,.2226614,.029463,-.0002728,.3310338,-.9880999,6.20e-17,8.87e-07,.6090251,.9792662,.7147012,3,3,0,0,0
1,60,.0897497,.0307418,-.0002458,.1517027,-.1270746,3.75e-06,7.46e-16,.0653171,.9089182,.7607896,3,3,1,0,0
2,60,.1873215,.0097618,-.0000739,16.38291,-2.147523,5.90e-19,.0603326,.8907392,.3303528,.4824136,3,1,0,0,0
3,60,.2260341,.0173495,-.0003546,3.078453,.3643438,1.52e-31,1.77e-06,.2274451,.6694767,.8134527,3,3,0,0,0
1,90,.091374,.0252465,-.000176,-1.428985,-.1515657,1.81e-09,3.84e-17,.0438324,.2217232,.5808913,3,3,2,0,0
2,90,.1514187,.018566,.0006863,-24.72013,-5.878135,9.11e-18,.000037,.0819134,.1105637,.0089269,3,3,1,0,3
3,90,.2063302,.0123271,-.0001417,8.625083,-.3457001,6.91e-38,.000024,.5768554,.2134147,.8103146,3,3,0,0,0
1,120,.073295,.0239338,-.0001881,-1.682045,-.0468451,1.49e-10,1.93e-22,.0025689,.0734859,.8188198,3,3,3,1,0
2,120,.1423159,.0121086,.000272,-3.817404,-3.055853,2.68e-20,.0012431,.30382,.7641414,.0505755,3,3,0,0,1
3,120,.1784825,.0118109,-.0001199,10.4999,-.6233289,1.56e-36,5.41e-06,.6172172,.0958719,.6354319,3,3,0,1,0
1,150,.0495445,.0248648,-.0001811,-1.540969,.0158676,2.64e-07,8.17e-27,.0002071,.0170702,.9184054,3,3,3,2,0
2,150,.1369125,.0076006,-.0002082,5.841653,.5826057,3.37e-20,.0322914,.3495531,.5912549,.6655487,3,2,0,0,0
3,150,.1540658,.0124839,-.0000366,11.3938,-1.420265,2.29e-35,2.43e-08,.861828,.0354532,.2043483,3,3,0,2,0
1,180,.0368701,.0247999,-.0001419,-1.913921,-.0447579,.0000179,5.29e-29,.0002605,.0041188,.6860069,3,3,3,3,0
2,180,.109626,.0101884,-.0004524,21.23344,1.729,2.19e-14,.0044425,.0306162,.0196435,.1588617,3,3,2,2,0
3,180,.1257341,.0146469,-.0000572,14.95095,-1.260933,2.25e-26,5.27e-09,.7948385,.0096249,.2883725,3,3,0,3,0
