gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.3047805,.0218298,.001655,-.8547684,-.1221813,2.85e-08,.0123322,.2066506,.0000223,.0221334,3,2,0,3,2
2,10,.371636,.0476476,-.0076943,-2.157727,.1670562,2.33e-13,.0010863,.0929693,4.26e-11,.1225132,3,3,1,3,0
3,10,.2270666,.0459977,-.0021173,-.3351501,.000463,3.09e-07,.0000336,.5489201,.2295467,.9957477,3,3,0,0,0
1,20,.332467,.0021276,.000417,-.6005419,-.0606426,1.03e-18,.7010211,.6145893,2.18e-06,.0744517,3,0,0,3,1
2,20,.3594876,.024911,-.0092031,-1.825969,.1769473,3.03e-23,.0129833,.0044572,1.53e-17,.0152305,3,2,3,3,2
3,20,.2412176,.0477751,.0012924,-.6027985,-.081727,1.23e-12,7.10e-09,.5943474,.0017521,.1766869,3,3,0,3,0
1,30,.3041795,-.0025096,.0002098,-.3097217,-.0439556,1.85e-23,.5653679,.7246978,.0006712,.0672591,3,0,0,3,1
2,30,.3066205,.0255569,-.0089693,-1.559149,.1580431,1.33e-27,.0053652,.0016751,4.69e-17,.0158214,3,3,3,3,2
3,30,.2600162,.0305761,-.0004156,-.3944232,-.0353666,2.70e-20,5.05e-06,.8217207,.0123131,.4416948,3,3,0,2,0
1,60,.0227048,.0280796,-.0006304,.0985728,-.0055908,.0083894,6.26e-25,.0601422,.1118252,.6984349,3,3,1,0,0
2,60,.2679807,.001871,-.0082481,-1.001848,.112417,2.59e-29,.8108117,8.86e-06,2.31e-13,.0057397,3,0,3,3,3
3,60,.2594293,.0109136,.0014317,-.2313606,-.0711593,1.23e-33,.0220474,.2026369,.0114087,.0120166,3,2,0,2,2
1,90,.015332,.0226629,-.0007254,.1007914,-.0021853,.0123615,1.77e-28,.0008066,.0189846,.7971424,2,3,3,2,0
2,90,.2794233,-.0316825,-.0016257,-.4651583,-.0052953,2.57e-26,.0002165,.2849307,5.65e-06,.8803047,3,3,0,3,0
3,90,.252988,-.0033063,.0011814,-.1059284,-.0616083,1.91e-37,.4024052,.1361738,.1018426,.0027826,3,0,0,0,3
1,120,.0090386,.0205239,-.0007472,.0611097,.0036717,.013603,4.34e-36,.0000352,.0714202,.5819199,2,3,3,1,0
2,120,.3002373,-.0495421,-.0014475,-.3343017,.0063293,8.40e-20,1.74e-06,.2398611,.0000793,.8162611,3,3,0,3,0
3,120,.2256901,-.0076752,.0006892,-.0111503,-.0444045,2.47e-34,.0554086,.3252888,.8420105,.0170588,3,1,0,0,2
1,150,.0061948,.0187897,-.0008164,.0492532,.0082275,.0159755,0,5.32e-07,.0804436,.1437976,2,3,3,1,0
2,150,.2507887,-.0358302,-.0036253,-.37969,.0502281,.0000145,.0595266,.001536,1.90e-07,.0272143,3,1,3,3,2
3,150,.2029742,-.0065936,.0000309,-.0303074,-.0235688,1.39e-35,.0641065,.9607316,.5700184,.1569227,3,1,0,0,0
1,180,.0045465,.0168668,-.0008334,.0470188,.00961,.0271013,0,2.52e-08,.0565786,.0499091,2,3,3,1,2
2,180,.1019361,.0095579,-.0045245,-.3817821,.0477032,.108841,.6395329,.0000386,2.29e-08,.0373068,0,0,3,3,2
3,180,.1790347,-.0056139,.0006115,-.0258352,-.0324876,1.63e-34,.0728143,.262877,.5677267,.0262579,3,1,0,0,2
