gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0981576,.039802,-.0005759,5.894428,-.7936315,4.19e-09,9.24e-15,.1465922,.1036079,.2257455,3,3,0,0,0
2,10,.1297451,.0487571,-.0015697,-48.98716,16.27247,2.80e-09,3.09e-06,.312918,.0045167,.0056294,3,3,0,3,3
3,10,.0177864,.0715246,-.0002336,-27.45234,-.1237841,.3124696,1.15e-14,.8221945,.0421362,.9675493,0,3,0,2,0
1,20,.0842156,.0358405,-.000332,2.374202,-.4430297,1.86e-11,2.05e-16,.3431359,.2274687,.3234528,3,3,0,0,0
2,20,.0732684,.0524376,-.000419,-17.36706,6.432289,5.60e-08,8.90e-13,.6156387,.0333647,.0210656,3,3,0,2,2
3,20,.0441161,.0562616,.0000672,-29.44449,1.965806,.0006179,7.53e-15,.8902649,.0076257,.156021,3,3,0,3,0
1,30,.0658842,.0365719,-.0001814,1.304183,-.6128865,1.16e-09,1.34e-19,.565756,.4781073,.1234368,3,3,0,0,0
2,30,.0657106,.0507439,-.0011275,-20.75645,7.134979,1.23e-12,3.78e-18,.0877623,.0014638,.0015885,3,3,1,3,3
3,30,.0625685,.042471,-.000125,-22.51169,2.055197,4.89e-08,1.42e-12,.7379022,.0066851,.0255742,3,3,0,3,2
1,60,.0390252,.0362409,-.0001641,.5760415,-.3251132,2.32e-08,5.32e-29,.415957,.5066475,.1898115,3,3,0,0,0
2,60,.0712108,.0322845,-.0003865,-12.43726,3.944001,1.40e-21,1.75e-16,.3550861,.0022281,.0043446,3,3,0,3,3
3,60,.1091176,.0146001,-.0000931,-12.07147,1.441071,3.22e-25,.000188,.6774259,.0170046,.0121402,3,3,0,2,2
1,90,.028791,.0331983,-.0001031,.5870734,-.4115123,1.22e-09,0,.4593967,.3530387,.0308197,3,3,0,0,2
2,90,.0822655,.0158698,-.0002688,-1.601905,1.929485,5.73e-34,6.35e-08,.4465891,.6648829,.1219593,3,3,0,0,0
3,90,.0989513,.0110809,-.0002372,-5.88996,1.195169,1.34e-30,.0001331,.1602325,.0267018,.0005003,3,3,0,2,3
1,120,.0162619,.0330893,.0000184,.130009,-.4230201,1.34e-06,0,.8499198,.7790615,.0024496,3,3,0,0,3
2,120,.0935771,.0030903,-.0001729,1.018897,.6449226,0,.2151221,.5288244,.706656,.4836539,3,0,0,0,0
3,120,.0885384,.0111826,-.0002987,-6.494529,1.003551,3.57e-30,.0000221,.0569473,.0107869,.0015398,3,3,1,2,3
1,150,.0104522,.0320649,.000107,-.2615243,-.4109864,.0001625,0,.1416971,.5274335,.0001977,3,3,0,0,3
2,150,.1077187,-.0087966,-.0003509,.6928063,.4242651,0,.0002774,.099932,.7195767,.526439,3,3,1,0,0
3,150,.0859002,.0084751,-.0002203,-5.301479,.8021742,3.18e-31,.0003877,.1074815,.0174397,.004232,3,3,0,2,3
1,180,.0101373,.0298729,.0001896,-.3851068,-.423563,.000264,0,.0046384,.3371901,.0000102,3,3,3,0,3
2,180,.1129306,-.014437,.0003174,2.549857,-.9206706,0,5.90e-10,.0892143,.1817346,.1635181,3,3,1,0,0
3,180,.0823498,.0067906,-.0001014,-4.39286,.5021082,1.54e-34,.0006947,.3854426,.0171315,.0378573,3,3,0,2,2
