gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2004811,.0191443,-.0000256,-.1096426,-.0465256,4.92e-19,.0000158,.9849949,.5770907,.4340209,3,3,0,0,0
2,10,.2180886,.0225413,.0046645,-3.842318,.6972715,.0008568,.1404104,.5927028,4.93e-07,.2697721,3,0,0,3,0
3,10,.1506296,.0507859,-.0003535,-1.093904,.0181383,1.03e-13,9.43e-13,.8763996,1.25e-06,.8410073,3,3,0,3,0
1,20,.1298615,.0271538,.0015339,.0614911,-.1085933,5.96e-21,1.07e-15,.0664659,.5914147,.002844,3,3,1,0,3
2,20,.2096164,.0018991,.0091642,-2.362166,.1573341,.0000467,.8719304,.0968661,8.06e-06,.6949167,3,0,1,3,0
3,20,.1529893,.0399067,-.0010419,-.7875825,.0248405,2.17e-20,2.92e-14,.5223446,3.68e-06,.6956722,3,3,0,3,0
1,30,.091934,.0321242,.0012152,.0620405,-.0933671,3.05e-21,3.31e-26,.0448135,.4404714,.0003238,3,3,2,0,3
2,30,.1500506,.0034705,.0082016,-1.426715,.2728097,.0000729,.7054657,.0519772,.0009075,.3860662,3,0,1,3,0
3,30,.1454239,.0329962,-.000738,-.5335195,.0056496,3.64e-23,7.73e-14,.5368565,.0000328,.9023717,3,3,0,3,0
1,60,.0523318,.0318474,.0008279,.028537,-.0667498,2.81e-19,0,.0227594,.5380911,.0000289,3,3,2,0,3
2,60,.0461748,.0167125,.0065788,-.4960073,.3263999,.1539264,.0166059,.0364293,.1965154,.214224,0,2,2,0,0
3,60,.127023,.0227073,.0000231,-.2778364,-.002041,7.75e-25,1.72e-12,.9756495,.0012114,.9434131,3,3,0,3,0
1,90,.0405734,.0277466,.0008083,-.0025222,-.0554464,7.06e-19,0,.0059732,.9424711,.0000121,3,3,3,0,3
2,90,-.0191064,.0264957,.003639,-.0569484,.3441401,.4896794,.0000223,.1557245,.8451602,.107298,0,3,0,0,0
3,90,.1126869,.0164443,.0005208,-.1320532,-.0232583,2.61e-28,1.13e-11,.3106543,.0221487,.2222556,3,3,0,2,0
1,120,.0332309,.0250039,.0008618,-.02905,-.0498328,1.22e-15,0,.0004633,.3031377,1.33e-06,3,3,3,0,3
2,120,-.0933635,.043168,.0010147,.2306728,.3343836,.0102658,6.08e-07,.6590974,.3738224,.0548787,2,3,0,0,1
3,120,.0954388,.0154887,.0003009,-.0978906,-.0120828,1.64e-26,2.00e-13,.4599524,.0475744,.4324151,3,3,0,2,0
1,150,.0340357,.0223575,.0008834,-.0668621,-.0431614,2.09e-17,0,.0000257,.0064028,1.32e-06,3,3,3,3,3
2,150,-.2112492,.0744717,-.0009054,.4361497,.2704936,4.99e-09,4.37e-14,.6433911,.0199452,.0419307,3,3,0,2,2
3,150,.0943399,.0122838,.0004619,-.0845618,-.0143227,8.68e-31,6.84e-13,.1614248,.0697246,.2509427,3,3,0,1,0
1,180,.0408196,.0191838,.0007332,-.1099766,-.0340748,1.47e-22,0,.0000368,9.87e-07,7.66e-06,3,3,3,3,3
2,180,-.2534507,.0874531,-.0019629,.2663958,.2343503,1.78e-13,4.33e-18,.1964626,.0379179,.0224016,3,3,0,2,2
3,180,.0882598,.0107079,.0003235,-.1154412,-.0057629,8.58e-30,3.09e-13,.261719,.0079604,.6095449,3,3,0,3,0
