gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1311705,.0494801,-.0001046,-1.364941,-.3698402,1.06e-06,9.52e-18,.8967535,.0006786,.0001937,3,3,0,3,3
2,10,.1826682,-.0286738,-.0041296,-2.102398,-.2068986,9.70e-31,.0000438,.0469355,1.70e-11,.0321483,3,3,2,3,2
3,10,.1771541,.0289977,.0003753,-2.48101,-.0248491,4.81e-21,.0000162,.7309767,.0007116,.8993496,3,3,0,3,0
1,20,.1311826,.0328754,-.0002799,-.7257477,-.2102796,4.00e-09,5.41e-12,.6305652,.0051707,.0010748,3,3,0,3,3
2,20,.1595826,-.0276847,-.0045561,-1.438483,-.1136238,1.20e-35,1.32e-07,.0034972,4.02e-13,.0339859,3,3,3,3,2
3,20,.1498507,.0303769,.0001631,-2.400687,-.046642,6.11e-26,3.80e-09,.8389631,.0000211,.7548953,3,3,0,3,0
1,30,.1467041,.0224102,-.0005168,-.4920041,-.1387008,5.47e-14,2.47e-08,.293257,.0112682,.0045004,3,3,0,2,3
2,30,.139981,-.0255236,-.0042996,-1.07033,-.1101024,1.27e-37,3.00e-08,.0005175,1.86e-11,.0092504,3,3,3,3,3
3,30,.1380366,.0283446,.0001726,-2.144791,-.1042071,1.61e-26,4.95e-10,.7985903,3.38e-06,.4160985,3,3,0,3,0
1,60,.0707066,.0312904,-.0004057,-.3124287,-.0653969,3.01e-09,1.92e-23,.2212685,.0043981,.0387696,3,3,0,3,2
2,60,.0956419,-.0137404,-.0031587,-.6344967,-.1028297,1.30e-15,.0034269,.0068497,2.89e-09,.0088052,3,3,3,3,3
3,60,.108584,.0265281,-.000077,-1.995551,-.0970006,1.12e-23,3.29e-12,.8828896,1.14e-07,.3303767,3,3,0,3,0
1,90,.0170927,.0352002,-.000306,-.2314823,-.0329799,.0461775,1.77e-33,.2587473,.0023677,.1670737,2,3,0,3,0
2,90,.0744648,-.0054436,-.0033504,-.5404,-.0595083,4.89e-10,.2387123,.0044801,1.20e-07,.1660495,3,0,3,3,0
3,90,.094688,.0217088,.0000454,-1.772068,-.1057269,1.81e-24,1.49e-11,.91603,1.22e-07,.2174196,3,3,0,3,0
1,120,-.0062311,.0349418,-.0002443,-.18168,-.0290117,.4113149,3.81e-38,.2902686,.0046426,.11174,0,3,0,3,0
2,120,.0501762,.0034446,-.0042094,-.4015594,-.0539908,.0001985,.5114986,.0002571,.0006046,.2246157,3,0,3,3,0
3,120,.0886048,.0169243,.0001286,-1.377933,-.108934,7.42e-25,3.55e-09,.7203838,1.01e-07,.1261732,3,3,0,3,0
1,150,-.0240182,.0351444,-.0002219,-.167268,-.0310593,.0005211,0,.220266,.0022525,.0374428,3,3,0,3,2
2,150,.0070528,.0188617,-.0046248,-.0419793,-.0497474,.5382552,.0001903,.0000299,.6521695,.254313,0,3,3,0,0
3,150,.0916543,.011641,.0003919,-1.15173,-.1453735,2.47e-30,1.33e-06,.2285524,8.14e-08,.0266087,3,3,0,3,2
1,180,-.0420389,.0359047,-.0003516,-.1047667,-.0157909,1.94e-10,0,.0188991,.0217077,.2481235,3,3,2,2,0
2,180,-.0138118,.0268098,-.0044439,.1183945,-.0305836,.0807774,9.16e-11,8.09e-06,.0637289,.4441285,1,3,3,1,0
3,180,.0750054,.0136968,.0003564,-1.061304,-.1379825,5.50e-24,7.26e-09,.2497912,1.87e-07,.0253712,3,3,0,3,2
