gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.213393,.0297,-.0046694,-1.977593,.1739698,1.83e-19,1.61e-07,3.80e-06,8.26e-08,.0238898,3,3,3,3,2
2,10,.4479416,-.0622598,-.0026878,-1.196091,-.3364345,1.14e-08,.0005554,.2699778,.0433603,.0996306,3,3,0,2,1
3,10,-.0469851,.0565655,-.0026215,1.305884,-.1493355,.0050385,2.67e-14,.033617,.0255449,.4143454,3,3,2,2,0
1,20,.1772279,.0238137,-.0032615,-1.543692,.1474885,1.67e-24,2.50e-09,8.95e-07,3.84e-10,.005297,3,3,3,3,3
2,20,.3550295,-.053057,-.0019349,-.2699773,-.17805,8.86e-12,.0000116,.22444,.3627847,.1946719,3,3,0,0,0
3,20,-.019637,.046448,-.0021409,.9640402,-.0588204,.1154477,3.47e-15,.0105474,.0157887,.6282954,0,3,2,2,0
1,30,.1628111,.0202604,-.0022983,-1.397387,.0905837,9.45e-29,2.48e-10,2.17e-06,1.17e-13,.0218215,3,3,3,3,2
2,30,.3414428,-.0540868,-.0016386,.0656785,-.07469,1.47e-11,.0000118,.2116265,.6988754,.4748668,3,3,0,0,0
3,30,-.0085034,.0417282,-.0019716,.7792698,-.0267453,.4118057,6.70e-16,.0017958,.0104749,.7644177,0,3,3,2,0
1,60,.134436,.0138309,-.0007158,-1.071103,.0325245,1.11e-31,1.71e-09,.0347401,1.40e-14,.3066454,3,3,2,3,0
2,60,.4655299,-.0968185,-.0026819,.1301989,.148992,5.46e-21,1.83e-14,.0066559,.2102566,.0394156,3,3,3,0,2
3,60,-.0209518,.0427381,-.0018441,.7267311,.0243731,.0061829,1.51e-22,.0000552,.0004955,.6847223,3,3,3,3,0
1,90,.1121545,.0131303,-.0001958,-1.035014,.0294125,4.92e-30,3.81e-10,.4877866,5.07e-17,.3031759,3,3,0,3,0
2,90,.2794893,-.0478298,-.0010102,.0886936,.0708204,6.96e-07,.0025592,.3091295,.2255124,.1803961,3,3,0,0,0
3,90,-.0316911,.0439289,-.0015535,.5910878,.0170125,3.47e-06,1.14e-27,.000013,.0001141,.7031497,3,3,3,3,0
1,120,.1076973,.0101326,.0000522,-1.022705,.0388647,5.33e-29,7.08e-07,.8292742,8.55e-19,.1297362,3,3,0,3,0
2,120,.0330463,.0209551,-.0013838,.0746372,.0512236,.6412079,.3106204,.0754539,.2043838,.2158049,0,0,1,0,0
3,120,-.0398886,.0450045,-.0013545,.4739622,.0160936,1.08e-11,1.43e-34,3.14e-06,.0000577,.643259,3,3,3,3,0
1,150,.1092978,.00667,.0001243,-.9735803,.0441187,3.57e-30,.0005854,.5545766,2.84e-19,.0549113,3,3,0,3,1
2,150,-.3014188,.114096,-.0015227,.0324015,.0356867,1.07e-07,2.16e-11,.0025867,.5043212,.2764533,3,3,3,0,0
3,150,-.0375337,.0427913,-.001225,.3810436,.023468,1.49e-12,5.13e-36,7.08e-07,.000083,.4123161,3,3,3,3,0
1,180,.1021935,.0063258,.0000391,-.9456409,.052754,1.36e-29,.0005722,.8414657,7.46e-19,.0162138,3,3,0,3,2
2,180,-.4421885,.1514291,-.0010213,.0429845,.0434105,1.36e-16,5.38e-21,.0081331,.2816193,.1096748,3,3,3,0,0
3,180,-.0398719,.0422697,-.00103,.3125622,.0216437,5.63e-17,0,1.09e-06,.0001639,.3701194,3,3,3,3,0
