gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.3073512,.0055796,-.0014441,-1.072775,.0395294,1.36e-07,.5733914,.0524062,.10797,.6666445,3,0,1,0,0
2,10,.3886065,-.0417256,-.0029754,-5.857863,1.324001,1.82e-18,.0016749,.2044242,.0393735,.0107894,3,3,0,2,2
3,10,.4069942,-.0122568,.0008233,-2.024021,.1074037,5.59e-16,.2032915,.5119876,.2868195,.7483971,3,0,0,0,0
1,20,.2502858,.0019773,-.0003656,-.4788776,.0068375,1.26e-08,.8102706,.5105346,.3698405,.9188329,3,0,0,0,0
2,20,.282411,-.0232132,.0007732,-3.945752,.2427844,1.91e-19,.007565,.6030604,.0404402,.4889599,3,3,0,2,0
3,20,.386539,-.0181342,.0007202,-.1731847,.1397974,6.86e-24,.0125036,.3282104,.8680742,.4668195,3,2,0,0,0
1,30,.2247771,.0053123,-7.14e-06,-.659279,-.028603,1.04e-11,.3773998,.9871967,.0814694,.6046801,3,0,0,1,0
2,30,.2791651,-.0183907,.0043734,-4.547707,-.9323346,3.09e-28,.0043155,.0015585,.0084114,.0062869,3,3,3,3,3
3,30,.3473499,-.0189432,.0002802,1.620999,.1589893,8.31e-20,.01568,.6895168,.0876297,.4134466,3,2,0,1,0
1,60,.1242662,.0255851,.0005527,-.8595926,-.0544035,4.16e-12,2.09e-10,.0392264,.0000195,.076619,3,3,2,3,1
2,60,.1894271,-.0200957,.0017833,1.599933,-.6218201,2.29e-33,3.93e-06,.0303104,.1278996,.0058302,3,3,2,0,3
3,60,.3667051,-.0222156,-.0008786,-.8569134,.3447023,5.73e-33,.0003352,.1302216,.2590437,.0355264,3,3,0,0,2
1,90,.1105257,.0210742,.0004351,-.7263931,-.0420372,2.60e-16,1.53e-11,.0146292,7.16e-07,.0378554,3,3,2,3,2
2,90,.1481035,-.0205504,.0002906,3.104335,-.1358847,9.03e-22,1.22e-08,.6969211,.0182588,.5225351,3,3,0,2,0
3,90,.3926157,-.040911,-.0005143,-.4964904,.2365853,0,1.57e-12,.2586328,.4170036,.0710769,3,3,0,0,1
1,120,.0832266,.0219524,.0005348,-.6238989,-.0447362,1.20e-12,1.64e-13,.0004916,1.40e-06,.0125206,3,3,3,3,2
2,120,.0978338,-.0190488,-.0002064,6.139947,.0367064,9.48e-11,8.24e-08,.7655687,1.83e-07,.8525633,3,3,0,3,0
3,120,.3146195,-.0274695,-.0002812,-.5757387,.1761707,1.75e-38,9.57e-09,.4549391,.2303619,.1025335,3,3,0,0,0
1,150,.0766214,.0186132,.0005556,-.3836528,-.0440061,1.17e-12,1.03e-11,.0000356,.0004785,.0048329,3,3,3,3,3
2,150,.068265,-.0142875,-.0000836,6.880135,.0770121,2.24e-06,.0001372,.8970355,2.09e-11,.6795168,3,3,0,3,0
3,150,.3197842,-.0325397,.0000591,-.5626335,.1068609,2.22e-38,1.69e-11,.8515586,.1894626,.2337244,3,3,0,0,0
1,180,.0696098,.0165618,.0005778,-.2589494,-.0456897,2.99e-11,6.78e-10,1.41e-06,.0120496,.0012702,3,3,3,2,3
2,180,.0484214,-.0128948,.0002388,7.723428,-.0143787,.0005461,.0016488,.7152326,6.33e-13,.9389055,3,3,0,3,0
3,180,.3031089,-.031177,.0003931,-.9634121,.0487044,6.50e-36,3.99e-11,.1663374,.0093437,.5351201,3,3,0,3,0
