gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2870135,.02727,-.0004415,-65.67565,1.346686,.005735,.0149803,.4846117,.039729,.7591426,3,2,0,2,0
2,10,.3352019,.0119131,-.0008902,123.8847,-10.68003,.0000114,.3616861,.0492547,.1019599,.1004223,3,0,2,0,0
3,10,.2669168,.0473796,.0002173,-66.63832,-14.72719,.0001076,.000046,.6538216,.2161686,.0050846,3,3,0,0,3
1,20,.3241023,.0223321,-.0004714,-65.1307,.8961178,.0000283,.0062672,.4190095,.0290138,.8164807,3,3,0,2,0
2,20,.2571806,.0207978,-.0007799,128.9615,-7.996645,8.01e-13,.004058,.0657768,.028266,.1569851,3,3,1,2,0
3,20,.2624169,.0447861,.0002778,-66.44359,-14.54253,.0003087,.0003523,.5407937,.1923451,.0030355,3,3,0,0,3
1,30,.3211622,.0208113,-.0002852,-56.83655,-.7175295,1.65e-07,.0008388,.6079063,.0441537,.839373,3,3,0,2,0
2,30,.1636197,.0335394,-.0008907,138.5986,-4.123974,4.43e-15,3.07e-09,.0286162,.0040509,.3797739,3,3,2,3,0
3,30,.2161234,.0490768,.0001818,-75.05049,-11.3229,.0079611,.0005049,.6665435,.1119748,.0117557,3,3,0,0,2
1,60,.2277908,.0200967,.0002188,-16.9258,-3.164654,.0000522,.0003122,.6604964,.4920607,.3086585,3,3,0,0,0
2,60,.14372,.033476,-.0007176,60.06247,-.5375666,6.52e-19,1.53e-08,.2138889,.2034448,.9254292,3,3,0,0,0
3,60,.1769381,.0421828,.000116,-5.561741,-5.3362,.0015935,.0000201,.7117128,.8584159,.1135663,3,3,0,0,0
1,90,.1495991,.0174265,.0004167,12.53709,-4.226131,.0013036,.0001712,.3092218,.5282404,.100518,3,3,0,0,0
2,90,.1309529,.0296828,-.0003545,39.84454,-2.370699,1.86e-15,1.82e-09,.364484,.2859351,.5538751,3,3,0,0,0
3,90,.1719391,.0296314,.0003549,32.13367,-5.428335,2.40e-08,7.58e-08,.1762146,.1632146,.0430403,3,3,0,0,2
1,120,.0698658,.0175881,.0004328,35.76078,-4.567065,.0233492,2.82e-06,.1799057,.0205136,.0306908,2,3,0,2,2
2,120,.1135918,.0257922,-.0000581,55.35349,-3.580615,4.97e-14,1.33e-09,.8099688,.0479055,.1913146,3,3,0,2,0
3,120,.1584887,.0197524,.0004455,72.81257,-5.099258,6.41e-07,.0006272,.0859237,.0010284,.0433304,3,3,1,3,2
1,150,.0487501,.0152792,.0004139,41.40165,-4.665571,.0567433,.0000155,.1178401,.0020677,.0115335,1,3,0,3,2
2,150,.100576,.0238738,.0000579,57.29996,-4.474031,1.43e-12,7.82e-09,.8279912,.03868,.1256667,3,3,0,2,0
3,150,.1572805,.0135422,.0004219,78.85571,-4.287818,9.71e-07,.0169304,.1040971,.0002299,.0921476,3,2,0,3,1
1,180,.0448957,.0138444,.0006949,39.9588,-5.938177,.1061523,.0003491,.0439634,.0061106,.0028472,0,3,2,3,3
2,180,.1021034,.0190493,.0000971,56.14081,-4.76593,9.61e-11,.000021,.7149633,.055452,.1117198,3,3,0,1,0
3,180,.1340293,.0124352,.0004094,77.19997,-3.93408,.000026,.027594,.1215516,.000314,.1287279,3,2,0,3,0
