gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2681943,.0255082,-.0002384,-8.455547,.0567911,.0026637,.00536,.576277,.8581934,.9866123,3,3,0,0,0
2,10,.0798595,.0714318,-.0003393,-71.28439,-10.7228,.0378711,.0000858,.7515841,.6182255,.3242045,2,3,0,0,0
3,10,.1709377,.0441056,.0001387,-63.25443,-9.805159,.0055406,.000286,.8327347,.4640511,.09049,3,3,0,0,1
1,20,.2600814,.0258249,-.0001804,-7.329631,-.0881443,.0001159,.0007032,.6564955,.8640597,.9783309,3,3,0,0,0
2,20,.1156386,.0554505,.000078,-75.99046,-9.83885,.0016149,.0007464,.9410504,.562516,.3600746,3,3,0,0,0
3,20,.1598134,.0421788,.0002471,-42.46236,-10.33038,.01243,.0007695,.7031519,.617827,.0754064,2,3,0,0,1
1,30,.2193471,.0292482,-.0000972,.4757093,-.8963535,.0000349,.0000129,.801511,.9904944,.7727301,3,3,0,0,0
2,30,.1465705,.0384016,.0006168,-65.05176,-9.761696,8.57e-08,.0066161,.5298314,.5842134,.3286869,3,3,0,0,0
3,30,.1114799,.0444533,.0001281,-8.67485,-8.574475,.0668581,.0002178,.8264923,.9071098,.0956996,1,3,0,0,1
1,60,.1141745,.0360144,.0000916,6.405465,-1.520086,.0045324,3.57e-10,.7726539,.847803,.5465139,3,3,0,0,0
2,60,.1985384,.0152355,.0007139,-97.4967,-3.692295,1.18e-15,.1662843,.2452564,.2433504,.5569457,3,0,0,0,0
3,60,.1203276,.0280611,5.77e-06,81.14899,-4.530946,.0132385,.0014614,.9879205,.0510471,.1333193,2,3,0,1,0
1,90,.0614884,.0343968,.0001741,8.567863,-1.568294,.0466148,2.78e-12,.5074276,.7499664,.4503261,2,3,0,0,0
2,90,.1962144,-6.46e-06,.0007201,-16.82249,-4.427222,7.37e-10,.9995313,.1639793,.7781751,.3885471,3,0,0,0,0
3,90,.0626584,.0296409,-.0002039,101.5687,-2.944042,.1402517,.000019,.4283535,.0009291,.1145756,0,3,0,3,0
1,120,.02629,.0317196,.0002574,6.533881,-1.57827,.3034505,5.22e-13,.252768,.7685181,.3752394,0,3,0,0,0
2,120,.2151817,-.019347,.0008431,66.1425,-6.99404,1.89e-09,.1327892,.0907829,.2821522,.1600007,3,0,1,0,0
3,120,.0837414,.0164737,-.0002406,114.9907,-1.978737,.02265,.0041741,.3293148,.0000825,.2858949,2,3,0,3,0
1,150,.0132478,.0272788,.0003421,15.65304,-1.556265,.5776497,7.22e-11,.0979338,.4601871,.3275991,0,3,1,0,0
2,150,.220126,-.0228406,.0001245,51.46172,-1.746232,3.34e-08,.0962738,.7963312,.4277598,.730705,3,1,0,0,0
3,150,.1218031,.0020168,-.000287,122.5257,-.6397651,.0024037,.7293584,.2539031,.0000611,.7429155,3,0,0,3,0
1,180,-.0081343,.0262255,.000348,27.97262,-1.65909,.7439609,3.73e-09,.0754647,.2642877,.255691,0,3,1,0,0
2,180,.2426047,-.03123,-.0001171,35.99088,.5235314,7.37e-07,.0519418,.8203626,.5943497,.9226928,3,1,0,0,0
3,180,.131469,-.0061814,-.0002691,132.9624,-.0915879,.0017379,.3170822,.2820995,.0000214,.9623566,3,0,0,3,0
