gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2832482,.0524974,-.0018546,-9.853392,.1978186,4.24e-08,9.54e-09,.0290939,.0002288,.4476274,3,3,2,3,0
2,10,.2000242,.0025215,-.0113254,-6.324402,2.625396,4.07e-06,.8424593,.0046828,.3603891,.066573,3,0,3,0,1
3,10,.1321433,.0283471,-.0009837,5.442635,-.7597272,.0126779,.0410784,.4843585,.3007711,.2504694,2,2,0,0,0
1,20,.2554328,.0339417,-.0015816,-6.677987,.21825,1.50e-09,.0000153,.0118756,.0001125,.230772,3,3,2,3,0
2,20,.2092068,-.0147449,-.0102595,-4.008504,2.267987,6.37e-21,.1820554,.0012802,.3833409,.0849269,3,0,3,0,1
3,20,.1234113,.0367585,-.0015973,.4541409,-.5828168,.0063318,.0024451,.1307352,.9086469,.2303876,3,3,0,0,0
1,30,.1990858,.0411248,-.0014016,-8.344621,.3525273,3.19e-09,8.38e-10,.0025049,7.60e-10,.0065986,3,3,3,3,3
2,30,.1525795,-.0035543,-.0071901,-1.651822,1.503017,6.12e-14,.698907,.0012464,.6480999,.0942625,3,0,3,0,1
3,30,.1174589,.0388551,-.0006294,-1.207283,-.7755763,.0042817,.0008775,.5064139,.7006027,.0942009,3,3,0,0,1
1,60,.1725112,.02567,-.0004758,-4.30214,.1510694,1.16e-17,2.35e-10,.0576394,9.31e-09,.0297201,3,3,1,3,2
2,60,.1443715,-.0190455,-.0004228,2.589131,-.5817242,2.29e-29,.00492,.7985334,.3609568,.4156525,3,3,0,0,0
3,60,.256457,-.0007292,.0013217,-4.458842,-.8806959,3.08e-18,.9069818,.0023897,.0000531,3.58e-06,3,0,3,3,3
1,90,.1205218,.0220433,.0000561,-1.942512,.0127872,8.11e-15,1.83e-10,.7856724,.0016769,.8263679,3,3,0,3,0
2,90,.1483425,-.0262859,.0015833,3.048448,-1.487157,1.17e-25,.0000259,.2870331,.2899036,.0450302,3,3,0,0,2
3,90,.2587163,-.0166489,.0014415,-2.659574,-.6954089,6.18e-25,.001122,.0000896,.0015747,7.74e-06,3,3,3,3,3
1,120,.0978844,.0171189,.0002459,-.5011238,-.0432467,6.31e-11,1.02e-07,.1905071,.3761915,.4395919,3,3,0,0,0
2,120,.0901736,-.0176229,.0010825,5.767355,-.9473454,1.09e-10,.0002944,.3047611,.0111177,.0615055,3,3,0,2,1
3,120,.2210758,-.0161755,.001356,-1.42796,-.6807363,1.70e-21,.0018835,.0000447,.1466486,3.21e-06,3,3,3,0,3
1,150,.1047556,.0106953,.0003753,.115505,-.0735306,1.42e-12,.0003678,.0367721,.8227969,.1683976,3,3,2,0,0
2,150,.0584949,-.0160462,.001361,8.569107,-.9987978,1.46e-07,.0001719,.1597922,4.58e-06,.0232678,3,3,0,3,2
3,150,.1723486,-.0081107,.001425,-1.455425,-.6893996,2.94e-14,.1312411,3.00e-06,.0802846,2.50e-07,3,0,3,1,3
1,180,.1252494,.0022603,.0005504,.5491307,-.0921868,3.84e-17,.4210842,.0016529,.2596924,.0709042,3,0,3,0,1
2,180,.0522976,-.017508,.0018514,9.013002,-1.08594,1.95e-08,.0000105,.0427558,1.14e-08,.005117,3,3,2,3,3
3,180,.1221027,.001255,.0014253,-1.760889,-.6401513,5.84e-08,.8191171,7.00e-07,.0071038,9.53e-08,3,0,3,3,3
