gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1781048,.0378729,-.0011036,-9.746296,.6906374,.0000621,.0001004,.2805363,.0252724,.3366877,3,3,0,2,0
2,10,.2307571,-.0549701,-.0025522,-5.821763,-.0009254,.0000155,.0012907,.2229725,.0072279,.9974808,3,3,0,3,0
3,10,.2135724,.0220088,-.0026243,-9.345016,.8959149,9.88e-21,.0006519,.0007938,.0005854,.07009,3,3,3,3,1
1,20,.207518,.0135142,-.0005406,-5.31206,.3627345,.0000961,.2455756,.5726501,.098777,.5396282,3,0,0,1,0
2,20,.1657734,-.0329737,-.0034215,-3.913313,.6811094,5.19e-15,.000026,.0177481,.0000536,.001745,3,3,2,3,3
3,20,.1717893,.0227319,-.0019841,-6.722161,.6562592,3.80e-22,4.39e-06,.0000694,.0008214,.0412572,3,3,3,3,2
1,30,.1424749,.0226087,-.0015247,-5.021362,.6749567,.0004658,.0115091,.0525798,.0520715,.180893,3,2,1,1,0
2,30,.153009,-.0295914,-.0003823,-4.016597,-.0084998,1.82e-09,.001824,.7632318,.0001526,.9751955,3,3,0,3,0
3,30,.1518844,.0219102,-.0023326,-7.007518,.9910651,4.25e-18,.0000237,.000067,.0002716,.0121296,3,3,3,3,2
1,60,.1833815,.0035947,-.0013384,-3.805046,.4497001,2.49e-08,.6194496,.0000504,.0024815,.0497497,3,0,3,3,2
2,60,.0917722,-.0087718,-.0013817,-1.982392,-.0496778,3.47e-13,.0486269,.0981715,.0021285,.783271,3,2,1,3,0
3,60,.1147542,.021595,-.0015591,-5.822004,.3683518,2.75e-14,8.47e-06,.0000113,8.94e-06,.0894534,3,3,3,3,1
1,90,.1590816,-.0011998,-.0009299,-1.603357,.2077392,2.78e-14,.7794451,.0000732,.0604667,.1834178,3,0,3,1,0
2,90,.0695235,-.0032313,-.0010854,-1.229808,.1771796,4.85e-09,.4001559,.0388034,.0812594,.0984652,3,0,2,1,1
3,90,.1189708,.0106428,-.0009956,-4.112363,.1429736,3.83e-17,.0181914,.0004355,.00003,.4079742,3,2,3,3,0
1,120,.1387438,-.0042234,-.0004972,-.0048959,.1072918,1.76e-16,.208851,.0057197,.9949801,.3965755,3,0,3,0,0
2,120,.0304814,.0055819,-.0007703,1.291826,.2194145,.0028725,.117927,.0387587,.0977196,.0126984,3,0,2,1,2
3,120,.1212452,.0033991,-.0008217,-3.265124,.1112075,1.25e-21,.3712843,.0007711,.0001936,.4567363,3,0,3,3,0
1,150,.1345852,-.0076645,-.0003101,.8441699,.0686076,5.49e-19,.0105959,.0603228,.2975954,.559917,3,2,1,0,0
2,150,.0115485,.011435,-.0005398,2.418932,.1489987,.147869,.0008239,.1046024,.0002865,.0633436,0,3,0,3,1
3,150,.1274382,-.0025885,-.0007211,-3.44115,.0522967,3.54e-26,.4524019,.0020571,5.55e-06,.7177062,3,0,3,3,0
1,180,.1242956,-.0084566,-.0002308,1.232429,.052189,8.08e-23,.0008203,.1224335,.1352173,.6237224,3,3,0,0,0
2,180,.0077861,.0123896,-.0002099,2.664712,.084579,.3058041,.0011677,.5275307,8.87e-06,.2934023,0,3,0,3,0
3,180,.1187694,-.0039087,-.0005641,-2.854029,-.0072939,1.58e-27,.214066,.0214502,.0000326,.9630238,3,0,2,3,0
