gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.017152,-.0557854,-.0031,162.5952,-31.98817,.3529533,.0637299,.1595917,.0769165,.3123931,0,1,0,1,0
2,10,.0150659,.0260681,.000745,-482.5208,-37.53171,.6017172,.3167503,.4497837,.0769868,.2485781,0,0,0,1,0
3,10,.0687317,.0037295,.0004887,723.6635,42.18306,.0127603,.8537656,.5108302,3.04e-16,.0371267,2,0,0,3,2
1,20,.0261074,-.0653353,-.003963,54.02335,1.495198,.265494,.0334634,.0176311,.5374061,.9540242,0,2,2,0,0
2,20,.0277511,.0135314,.0007519,-278.6794,-21.20821,.4887389,.6986823,.3902918,.1972297,.4191675,0,0,0,0,0
3,20,.0591168,.0104942,.0003672,415.0865,76.21455,.0674302,.648989,.6144739,1.21e-07,.0006987,1,0,0,3,3
1,30,.0718334,-.1196617,-.0040098,-123.7244,42.09268,.002964,.000133,.0020691,.0699033,.0576184,3,3,3,1,1
2,30,.0349509,.004773,.0007724,-53.11059,-6.114303,.3350649,.8822865,.3222957,.7893061,.8097236,0,0,0,0,0
3,30,.0312733,.0296289,.0002664,-110.2047,104.5294,.4099829,.2466756,.6971338,.0647601,3.50e-11,0,0,0,1,3
1,60,.0712722,-.1344716,-.0041941,-8.314728,25.14978,.0096746,.0007014,.0010231,.8950213,.174287,3,3,3,0,0
2,60,.0208098,.0075188,.0000631,123.7873,15.96864,.5285792,.8044662,.9238279,.4354148,.425723,0,0,0,0,0
3,60,.0612719,.0004401,-.0008267,-897.1676,205.2341,.1410304,.9866539,.1442036,1.53e-29,1.37e-37,0,0,0,3,3
1,90,-.043416,.03316,-.0030037,66.80846,3.985927,.2431468,.5057366,.0043379,.2400671,.8014442,0,0,3,0,0
2,90,.0264968,-.0037131,.0003759,8.378025,13.31278,.457925,.9089171,.4838505,.9520321,.4314601,0,0,0,0,0
3,90,.0583154,-.0062112,-.000248,-1292.554,392.1095,.1301557,.7995784,.6286783,0,0,0,0,0,3,3
1,120,-.1948788,.2454439,-.0021019,30.46118,8.482877,.7563459,.7658461,.0124438,.4792124,.4978147,0,0,2,0,0
2,120,.0088633,.0077826,.0002465,-73.43316,3.780565,.656439,.6887881,.5888638,.6564839,.8583941,0,0,0,0,0
3,120,.0639118,-.0116442,.0001689,-1127.822,228.2318,.0328762,.5503448,.6996124,0,0,2,0,0,3,3
1,150,.3330512,-.4080912,-.0013352,21.81806,12.75524,.417287,.4174784,.0479416,.5081302,.2318809,0,0,2,0,0
2,150,.019832,-.0017354,-.0000588,-125.6665,-12.7594,.1439551,.9066598,.8721836,.2972769,.4024063,0,0,0,0,0
3,150,.0394407,-.0018915,.000211,-616.8891,112.3611,.087085,.9051041,.5406647,3.22e-31,2.13e-29,1,0,0,3,3
1,180,-.0767622,.0996017,-.0008766,20.01534,13.20093,.8363573,.8198558,.1524732,.4924403,.1527027,0,0,0,0,0
2,180,.0224786,-.0026073,-.000096,-190.3956,-26.64841,.0666826,.8500684,.7797778,.0655969,.0477132,1,0,0,1,2
3,180,.0083609,.0133539,.0002391,-138.2703,13.05856,.7216206,.4281402,.5051561,.0004195,.0830353,0,0,0,3,1
