gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1886258,.0327349,.0006552,-.1134778,-.0439302,6.33e-12,1.05e-13,.330613,.4828261,.0873943,3,3,0,0,1
2,10,.3388399,-.0096318,-.0116891,-2.354591,.5012756,7.16e-17,.4074726,.0087754,.0000231,.2550695,3,0,3,3,0
3,10,.1105954,.0553623,-.0032171,-.4466078,-.0980596,.0000262,5.72e-09,.1350461,.2786445,.4486023,3,3,0,0,0
1,20,.1474747,.0322982,.0012037,-.0227604,-.0380582,9.47e-16,4.83e-23,.002435,.8270856,.0147466,3,3,3,0,2
2,20,.3467547,-.0388374,-.0085498,-.775888,.3896057,4.39e-32,6.16e-06,.0100976,.0424655,.2239536,3,3,2,2,0
3,20,.094091,.0454089,-.0016341,-.0798112,-.1091348,.0000371,4.03e-09,.3174223,.804555,.2725495,3,3,0,0,0
1,30,.1244618,.0318302,.0015503,.0083814,-.046601,5.30e-21,1.66e-32,2.59e-07,.913529,.0000778,3,3,3,0,3
2,30,.3176006,-.040168,-.0076588,-.3146583,.3257307,2.60e-34,1.14e-07,.0057727,.2583663,.2033445,3,3,3,0,0
3,30,.0664621,.0455882,-.0008166,.0705486,-.1240886,.0001523,4.71e-12,.5240472,.7529566,.0890622,3,3,0,0,1
1,60,.0841511,.0294095,.0016311,.0209074,-.0338858,2.76e-26,0,1.40e-17,.5641676,9.12e-07,3,3,3,0,3
2,60,.3011032,-.0451047,-.0021275,-.341054,-.0561095,3.59e-35,2.18e-13,.2132332,.0299288,.7519251,3,3,0,2,0
3,60,.06582,.0324991,.0001994,.1958491,-.1012159,3.23e-06,3.42e-11,.8130186,.1837414,.0296743,3,3,0,0,2
1,90,.0725797,.0237547,.0016754,.0415712,-.0254836,1.11e-28,0,5.58e-22,.119752,.000035,3,3,3,0,3
2,90,.3150334,-.0557313,-.0030006,-.4979686,.1703463,1.52e-31,7.56e-17,.0135738,.0002365,.1293619,3,3,2,3,0
3,90,.0726926,.0224631,.000742,.2014869,-.0716811,1.79e-07,2.33e-07,.2805468,.0901128,.0572297,3,3,0,1,1
1,120,.0585795,.0215757,.0016092,.0517187,-.0218892,2.97e-22,1.99e-35,1.51e-22,.0185164,.000095,3,3,3,2,3
2,120,.2665621,-.0450308,-.003285,-.4065254,.2319002,7.94e-20,8.54e-09,.0010859,.0000741,.0006104,3,3,3,3,3
3,120,.0597581,.0211049,.0005896,.2247062,-.0619393,4.55e-06,2.44e-07,.2870225,.0217212,.0356107,3,3,0,2,2
1,150,.0490286,.0203019,.0015142,.0523407,-.0194045,1.52e-18,4.19e-35,1.05e-23,.0106054,.0001928,3,3,3,2,3
2,150,.1376018,-.00869,-.002605,-.1318516,.0868635,3.17e-06,.3214026,.008592,.1426196,.2301857,3,0,3,0,0
3,150,.0578433,.0192417,.0003651,.2051029,-.0483219,2.72e-06,4.49e-07,.4263617,.011467,.0415586,3,3,0,2,2
1,180,.0465646,.0180754,.0014362,.0537984,-.0194347,3.31e-18,1.68e-32,3.49e-25,.0065297,.0000616,3,3,3,3,3
2,180,.0536903,.0137893,-.0021858,.0726821,.0144965,.0300832,.0849702,.0177108,.4131589,.8358176,2,1,2,0,0
3,180,.050388,.0185355,.0003019,.2016815,-.0448122,.0000444,7.85e-07,.4549732,.0050007,.0361986,3,3,0,3,2
