gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1752985,.0373924,-.0004152,-2.945456,.0025226,.0013634,.0000752,.6219146,.1512387,.9971573,3,3,0,0,0
2,10,.3222511,-.0371301,-.0036133,-11.06399,-.1685775,8.56e-21,.000292,.1025112,3.11e-06,.8627464,3,3,0,3,0
3,10,.2753092,-.0020143,-.0009448,-1.459543,-.2290793,5.06e-14,.8183131,.1864891,.3712173,.3862382,3,0,0,0,0
1,20,.1610865,.0281513,-.0008154,-1.527528,.2643585,.0000189,.0000298,.1716527,.2419405,.5792527,3,3,0,0,0
2,20,.2928866,-.0354863,-.0048812,-5.519523,.5454363,4.07e-34,3.19e-08,.0003583,2.38e-06,.4334144,3,3,3,3,0
3,20,.2742259,-.0017941,-.0000398,-.7953436,-.323238,1.64e-24,.7486253,.9354664,.5300983,.158074,3,0,0,0,0
1,30,.10047,.0346472,-.0003522,-.9509718,.0769393,.0004553,4.46e-10,.4148977,.2997373,.823657,3,3,0,0,0
2,30,.2400512,-.0229049,-.0051235,-2.069525,.1284063,1.30e-29,.000101,.0002515,.0155931,.8302025,3,3,3,2,0
3,30,.2507662,.0000391,-.0000238,-.1913098,-.207948,1.19e-28,.9931285,.945915,.8458101,.2556106,3,0,0,0,0
1,60,.0223402,.0426569,-.0007488,.033489,.1252492,.2573834,2.01e-21,.0053154,.9509905,.5297041,0,3,3,0,0
2,60,.1651716,-.0090178,-.0032884,-1.303079,.4873985,1.71e-19,.0648369,.0069564,.0383765,.3550198,3,1,3,2,0
3,60,.1913536,.0039362,.0003499,.3190637,-.1736012,2.83e-25,.2846575,.1215051,.5608103,.0812563,3,0,0,0,1
1,90,-.013081,.0446142,-.0006951,-.6836919,-.063061,.338282,2.33e-33,.0004453,.0922563,.6767169,0,3,3,1,0
2,90,.1252808,-.0023407,-.0033686,-1.170132,.8169836,9.17e-22,.510884,.0011484,.0227904,.0960788,3,0,3,2,1
3,90,.1513825,.0068463,.0003083,-.2503434,-.1097281,4.44e-25,.0206536,.0703838,.5420857,.1247221,3,2,1,0,0
1,120,-.045409,.0470595,-.0006324,-1.149027,-.1164564,.0000211,0,.0000683,.0006231,.3108576,3,3,3,3,0
2,120,.1051407,.0006651,-.0026324,-1.654152,.6726758,1.06e-21,.8345355,.0031253,.0000138,.0527991,3,0,3,3,1
3,120,.1179784,.0110844,.0003118,-.7909359,-.1006924,3.51e-23,.0000235,.0256632,.0529834,.1571279,3,3,2,1,0
1,150,-.0657702,.0475813,-.0006018,-.9402844,-.090676,5.66e-11,0,.0000145,.0012285,.3646096,3,3,3,3,0
2,150,.0821855,.0062526,-.0017754,-1.816446,.2902472,5.45e-12,.1289744,.0517212,7.43e-06,.3665799,3,0,1,3,0
3,150,.0946087,.0136469,.0002717,-.7234801,-.0893308,3.42e-19,3.20e-08,.02972,.0352197,.1330458,3,3,2,2,0
1,180,-.0693768,.0458572,-.000525,-1.002911,-.1217831,2.14e-12,0,.0000309,.0002002,.1853171,3,3,3,3,0
2,180,.0599371,.0117532,-.0017562,-1.77301,.2524052,2.42e-06,.0126958,.0407905,.0000234,.4599682,3,2,2,3,0
3,180,.0827331,.0131449,.0002749,-.5180311,-.080644,1.48e-15,7.90e-08,.0120975,.0706824,.097524,3,3,2,1,1
