gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0315845,.0017572,-.001665,-.2930988,.3413564,.7760878,.8411155,.4538548,.8942823,.5261265,0,0,0,0,0
2,10,.0500076,.013319,-.0034106,-5.381328,.9393846,.6899031,.1693933,.5497273,.1261988,.6729783,0,0,0,0,0
3,10,-.0206184,.0088463,-.003037,-1.786214,.6133251,.8549512,.2200128,.1547092,.249208,.1314005,0,0,0,0,0
1,20,.0703301,.0014232,-.0005653,-.3030289,.1247818,.6571617,.8113678,.656825,.837916,.6820279,0,0,0,0,0
2,20,.1612563,.0029494,.0015146,-1.406059,-.6404558,.1483995,.5518517,.6350209,.4238645,.5978349,0,0,0,0,0
3,20,.1897587,.0006349,.000318,-.2804458,-.0324842,.0718119,.878063,.7913825,.7649285,.8922853,1,0,0,0,0
1,30,.0735278,.0005274,.0000158,-.0867222,-.0090234,.6282571,.8989538,.9872519,.9324211,.9698731,0,0,0,0,0
2,30,.1912182,.0030717,.0003799,-1.286941,-.2849635,.1323518,.3125809,.8576585,.2616571,.73409,0,0,0,0,0
3,30,.1945355,.0037165,-.0008909,-.7750393,.1617331,.2027594,.2769144,.3355123,.3699011,.4210159,0,0,0,0,0
1,60,-.1225973,-.0005135,-.0002162,.1427754,.044519,.5551816,.770008,.62264,.7303454,.6689815,0,0,0,0,0
2,60,.0265882,.0011207,.0000414,-.4392214,-.1410615,.8204193,.5225029,.9719645,.540317,.7703198,0,0,0,0,0
3,60,.2115123,.0022746,-.0006473,-.4677238,.123359,.0371745,.1276888,.2123909,.1651665,.2839916,2,0,0,0,0
1,90,-.102276,.0002637,-.0002677,-.0448489,.0566103,.6295836,.8433598,.4250655,.888167,.4869348,0,0,0,0,0
2,90,.0335738,.0010605,-4.21e-06,-.3871349,-.1143818,.8027319,.441809,.9964449,.4825153,.765713,0,0,0,0,0
3,90,.1520953,.0014087,-.0004961,-.2461127,.0846312,.1744954,.1597676,.108664,.2583792,.1711813,0,0,0,0,0
1,120,-.1750268,.0005719,-.0002632,-.1249442,.058447,.4287434,.6602954,.456234,.6996731,.5074824,0,0,0,0,0
2,120,-.0405949,.0008449,-.0001518,-.3274211,-.0063186,.7964608,.401666,.8369016,.4278737,.9834068,0,0,0,0,0
3,120,-.0159852,.0008575,-.0002637,-.1735356,.0530058,.9383019,.3939181,.4067442,.4663536,.4470173,0,0,0,0,0
1,150,-.104976,.000675,-.000276,-.1480991,.0595815,.6134167,.5873052,.4273523,.6382777,.4941983,0,0,0,0,0
2,150,-.0028183,.0002131,.0000231,-.0804294,-.0597578,.9843006,.7974441,.9695157,.8122396,.8103068,0,0,0,0,0
3,150,.0121519,.0007084,-.0001887,-.1476295,.0379673,.9042883,.4286379,.4745289,.4794263,.4973811,0,0,0,0,0
1,180,-.1412936,.0008356,-.0003336,-.1925429,.074283,.5033335,.4971739,.3599958,.5455199,.4175516,0,0,0,0,0
2,180,.1737092,.000014,.0002447,-.0154273,-.1430753,.2537702,.9850798,.6284264,.9591825,.4815265,0,0,0,0,0
3,180,-.1104716,.0001667,-.0000369,-.0340407,.0095756,.4100262,.8492718,.886017,.8728009,.8650796,0,0,0,0,0
