gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1363785,.0592272,.0006944,-51.44069,-1.854009,.1296415,.0024397,.2086585,.0001662,.0903677,0,3,0,3,1
2,10,.1245741,-.0159709,-.0054603,82.96558,-1.581785,.4402798,.8207192,.3224432,.7165395,.9502081,0,0,0,0,0
3,10,-.152716,.0949035,-.0008503,-16.62317,1.053328,.0086234,1.35e-06,.5225314,.1263225,.6407833,3,3,0,0,0
1,20,.0472198,.0672582,.0004611,-39.46873,-1.427713,.2056676,1.86e-09,.372146,.0001558,.1302241,0,3,0,3,0
2,20,.1535901,-.030489,-.0022495,138.0167,-6.425992,.3248791,.660193,.6236117,.4998099,.7769017,0,0,0,0,0
3,20,-.0989745,.0852272,-.0009508,-15.17244,-.3457755,.1327532,.0001769,.4559222,.1476884,.8613688,0,3,0,0,0
1,30,.0317933,.0610831,.0001982,-28.66864,-.698023,.2670272,1.03e-11,.6661709,.0002394,.3496501,0,3,0,3,0
2,30,.2395816,-.0457218,-.0031705,124.4923,-9.871512,.0193749,.3398461,.3292647,.4326723,.5752509,2,0,0,0,0
3,30,-.0090638,.0652408,-.0006136,-13.90494,-1.890161,.8870679,.0022279,.5311444,.0851568,.2018377,0,3,0,1,0
1,60,.0428429,.0387816,-.0000752,-6.777763,-.0144147,.0242693,3.35e-12,.7373401,.0099856,.9653092,2,3,0,3,0
2,60,.1757326,-.0164338,-.0020764,-18.52014,2.499106,.0000166,.3448528,.0296017,.6783665,.6066837,3,0,2,0,0
3,60,.1879471,-.0022828,.0006968,2.659103,-2.825073,2.26e-08,.812175,.1197099,.5147187,.0011492,3,0,0,0,3
1,90,.0060206,.0378643,-.0002169,.4794215,.2270375,.6179923,5.22e-20,.0833971,.7193691,.1504635,0,3,1,0,0
2,90,.1633602,-.015194,-.0014208,-45.28467,6.307323,4.90e-13,.0727126,.0208788,.0455105,.0129793,3,1,2,2,2
3,90,.1375664,.0035992,.0000185,1.63678,-1.325122,7.88e-09,.5560078,.9375359,.4996226,.0093502,3,0,0,0,3
1,120,.0059974,.0314859,-.0001299,2.19994,-.0421687,.2753758,0,.0465307,.0411237,.7530807,0,3,2,2,0
2,120,.1391572,-.0201476,-.0003358,-9.027233,1.240705,1.66e-20,.0002134,.441643,.5516772,.5239822,3,3,0,0,0
3,120,.1387473,-.004071,.0000271,2.167772,-.902724,3.36e-09,.4830441,.8856211,.2280725,.0164177,3,0,0,0,2
1,150,-.0024343,.0296594,-.0001026,3.504722,-.0735126,.5031718,0,.084424,.0000923,.5989962,0,3,1,3,0
2,150,.1102981,-.0164394,.0005505,3.490703,-1.770546,6.04e-12,.0087294,.234393,.8288265,.4169717,3,3,0,0,0
3,150,.1263297,-.0061414,.0000856,2.314959,-.8688964,8.37e-08,.3100345,.5698866,.1557839,.0084914,3,0,0,0,3
1,180,-.0040052,.027134,-.0000971,4.36262,-.0584362,.1780855,0,.1443545,7.74e-06,.7166944,0,3,0,3,0
2,180,.1070196,-.0161654,.000609,-3.568242,-3.118529,1.43e-10,.0145793,.1073371,.8187343,.1114268,3,2,0,0,0
3,180,.0487234,.0115538,.0000796,1.085404,-.8932936,.0151397,.0349923,.5905604,.4896625,.0053099,2,2,0,0,3
