gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,-.0516545,.0043875,.0004514,-6.703441,-.8315335,.7517461,.445795,.4207825,.4596571,.4172826,0,0,0,0,0
2,10,1.607801,.0057447,.000151,-9.331229,.0974428,.0491184,.8389201,.947865,.8526003,.9879706,2,0,0,0,0
3,10,-.4155528,-.0003047,-.0005263,-1.008724,1.418799,.0493835,.9554182,.5900637,.8145553,.4631407,2,0,0,0,0
1,20,-.1419438,.0028213,.0001549,-4.771907,-.2689734,.553788,.5415889,.7314194,.4485981,.7284606,0,0,0,0,0
2,20,1.146001,-.001102,.0009977,9.715526,-3.921333,.2790678,.9618816,.5495095,.8080367,.4682473,0,0,0,0,0
3,20,-.3073628,.0036294,.000403,-8.891394,-.5423404,.3297023,.3199817,.5636886,.0000375,.6148761,0,0,0,3,0
1,30,-.2220512,.0042255,.0002829,-6.324951,-.3871118,.5263188,.3204767,.4574159,.3579632,.5713197,0,0,0,0,0
2,30,.5440829,-.0061025,-.0000661,19.56807,.3931338,.6464945,.7381313,.9537219,.5398921,.9200368,0,0,0,0,0
3,30,-.1790597,.0012744,.0004232,-2.059566,-.8851815,.6375369,.6697472,.4427247,.382472,.4591084,0,0,0,0,0
1,60,.7578503,.0029389,.0001601,-4.291242,-.2394224,.3779902,.3582195,.3270321,.4006564,.3315848,0,0,0,0,0
2,60,-.5985159,-.0007503,-.0006115,-4.90556,2.546394,.4905997,.8298936,.1689404,.6250407,.1649461,0,0,0,0,0
3,60,-.3102504,-.0002754,.0000759,.6563569,-.5439437,.0592913,.8290154,.8311195,.7034095,.6625749,1,0,0,0,0
1,90,.7857764,.0021057,.0001277,-2.667595,-.1365873,.3790174,.3584903,.2210458,.4289896,.3842942,0,0,0,0,0
2,90,-.8997399,-.0005402,-.0002967,-2.503422,1.17125,.239577,.8286496,.3311064,.6632345,.3034725,0,0,0,0,0
3,90,-.7460015,.0001137,-.0000254,-.4816883,-.0585485,.3491524,.9132881,.9433401,.8085205,.9672154,0,0,0,0,0
1,120,.6811258,.0009686,.0000977,-1.117792,-.1838517,.3608022,.4485,.1609813,.5815117,.1325243,0,0,0,0,0
2,120,-.4543819,-.0016574,-.0002982,2.837823,1.170024,.4165686,.4420363,.2128768,.5515136,.1599319,0,0,0,0,0
3,120,-.0277949,.0001008,-.0002451,-.0861185,.963814,.8939127,.8833025,.2421385,.9274606,.1812866,0,0,0,0,0
1,150,-.0741536,.0002551,.0001018,.1150912,-.1661766,.7620049,.7091329,.0566402,.8946593,.0438267,0,0,1,0,2
2,150,.1435796,-.0019972,-.0003135,5.513741,.9819347,.7351516,.3782931,.3072811,.4210697,.4351049,0,0,0,0,0
3,150,.0859423,.0003635,-.0000635,-.7536552,.3200288,.7310777,.6073768,.6766317,.2961434,.4057617,0,0,0,0,0
1,180,-.3965095,.0001559,.0001018,.2580926,-.1460609,.0167118,.7869257,.0550245,.6860564,.0960144,2,0,1,0,1
2,180,.0710269,-.0016595,-.0003733,4.710038,1.16152,.8457445,.4657188,.2393262,.54094,.3881734,0,0,0,0,0
3,180,-.3620992,.0002804,.0000443,-.496751,-.0422943,.3462183,.6390539,.7088021,.2239497,.8423052,0,0,0,0,0
