gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0684507,.0611533,-.0020268,-6.966357,.4688815,.1808403,9.28e-12,.0657945,.000312,.1433811,0,3,1,3,0
2,10,.2887245,.0082233,-.009076,-10.12259,2.201121,1.36e-10,.452242,2.27e-06,.0177878,.0054651,3,0,3,2,3
3,10,.0409036,.0457149,-.0012409,-2.955972,-.5021639,.6248916,.0024455,.3666836,.2520756,.5042419,0,3,0,0,0
1,20,.1018237,.0469499,-.0007704,-6.466355,-.026307,.0174765,1.51e-10,.2943777,.0000269,.8831511,2,3,0,3,0
2,20,.2245811,.0187805,-.0068882,-9.858879,.6716622,2.09e-18,.0210235,.0000613,.0605701,.5168224,3,2,3,1,0
3,20,-.0512292,.066415,-.0003902,-10.17743,-.4636087,.4462764,8.21e-08,.7340798,.0081965,.6072601,0,3,0,3,0
1,30,.1396717,.0343659,-.0014962,-6.438972,.1332818,.0000267,1.56e-09,.0202102,2.15e-06,.4625599,3,3,2,3,0
2,30,.164939,.0260372,-.0066497,-6.237124,-.0538549,3.05e-14,.000223,.0000151,.1361982,.953169,3,3,3,0,0
3,30,.014352,.0557643,-.0006812,-11.85165,.05142,.8013535,2.64e-07,.5042936,.0013322,.9519355,0,3,0,3,0
1,60,.1010279,.0237838,-.0002851,-2.450251,-.1772439,.000046,6.48e-08,.5323064,.0047818,.1434592,3,3,0,3,0
2,60,.2068356,-.0041535,-.0029394,-4.688259,.1253022,3.58e-22,.3746513,.0001911,.0055388,.7572596,3,0,3,3,0
3,60,.4025953,-.0285438,-.0004929,-8.249745,.0871764,1.22e-21,.0000246,.3889482,.0004203,.8575927,3,3,0,3,0
1,90,-.0440076,.0346146,.0008472,-1.027035,-.3878914,.0232352,9.65e-17,.05531,.1041707,.0028736,2,3,1,0,3
2,90,.2046569,-.0186387,-.0000717,-1.187929,-.3503282,7.19e-35,7.55e-08,.8841947,.0649139,.1266067,3,3,0,1,0
3,90,.336881,-.0303077,-.0001027,-4.518033,-.033528,5.80e-20,3.14e-07,.7555944,.0001072,.8872117,3,3,0,3,0
1,120,-.0868651,.0349889,.0011418,-.7593676,-.4035697,4.99e-06,1.43e-17,.0088416,.1970663,.0018233,3,3,3,0,3
2,120,.1817848,-.0181077,.0001522,-1.317935,-.2802169,5.16e-30,2.47e-07,.7478493,.032787,.1710241,3,3,0,2,0
3,120,.3450276,-.038011,-.0000939,-4.375432,.004773,6.54e-19,3.64e-09,.76771,.0002125,.9840075,3,3,0,3,0
1,150,-.1298226,.0374043,.0013039,-.5405033,-.4209212,1.83e-10,2.17e-18,.0026453,.3285006,.0015192,3,3,3,0,3
2,150,.2000662,-.028079,-.0001591,-1.301862,-.1752414,2.60e-25,9.08e-11,.7187932,.107228,.3946221,3,3,0,0,0
3,150,.3642215,-.0478117,.0000147,-3.280327,.0063263,4.90e-22,7.23e-14,.9566446,.000153,.9723301,3,3,0,3,0
1,180,-.1833345,.0422703,.0014246,-.4892792,-.4302603,9.13e-16,6.39e-21,.0014725,.333944,.0027334,3,3,3,0,3
2,180,.1895193,-.0309694,-.0000221,-.388658,-.2093122,2.95e-22,1.14e-10,.958425,.681765,.2955183,3,3,0,0,0
3,180,.3101776,-.0428343,-.00001,-2.633049,.0262268,6.63e-16,1.81e-10,.9664389,.0001919,.8623943,3,3,0,3,0
