gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.174901,.0562259,.0004932,-5.943086,-.2700828,.0003583,3.38e-10,.5762354,.0018492,.2872336,3,3,0,3,0
2,10,.2952755,-.022192,-.0012205,-5.057018,.6540911,1.72e-07,.2118116,.3734643,.009525,.0512631,3,0,0,3,1
3,10,.0169478,.0861745,-.0048541,-11.85738,.6481354,.6845049,4.70e-11,.0018786,.0000368,.2152863,0,3,3,3,0
1,20,.1396933,.0502802,.0006983,-5.827138,-.1689241,.0000445,1.50e-12,.265581,1.89e-06,.2978821,3,3,0,3,0
2,20,.2104449,-.0070529,-.0005229,-4.054734,.3891575,3.12e-14,.4550561,.5583909,.0010351,.0496103,3,0,0,3,2
3,20,.0780032,.0631898,-.0020822,-9.107752,.1224631,.0068689,1.46e-11,.0302626,9.45e-09,.6919587,3,3,2,3,0
1,30,.0987726,.0486522,.0009526,-4.911165,-.2185317,.0003851,2.81e-15,.0615662,8.04e-07,.0934663,3,3,1,3,1
2,30,.1773004,.0006266,2.24e-06,-2.569707,.2669213,1.77e-16,.936879,.997799,.0101862,.1006873,3,0,0,2,0
3,30,.1195989,.038709,-.0013569,-5.733305,.0704923,.0000182,3.69e-06,.0626423,5.06e-06,.7600582,3,3,1,3,0
1,60,.0145349,.0492681,.0002004,-3.598116,-.0586394,.3584745,3.22e-31,.5354663,2.04e-07,.525519,0,3,0,3,0
2,60,.168748,-.0102731,-.000365,-.738881,.1571505,6.30e-20,.0893064,.4932348,.1181958,.0833846,3,1,0,0,1
3,60,.1062605,.0271427,-.00155,-2.106781,.1710262,4.21e-09,2.20e-06,.0003164,.0134147,.135278,3,3,3,2,0
1,90,-.0373577,.0483135,.0000976,-2.372733,-.0336809,.0024826,0,.6941853,.0000159,.6295016,3,3,0,3,0
2,90,.158576,-.0189723,-.0009378,-.0880872,.13676,1.33e-24,.0001012,.0183819,.723408,.0338339,3,3,2,0,2
3,90,.0576156,.0270192,-.0018713,-.8467676,.2155742,.0000609,1.27e-08,1.98e-08,.1848022,.0039769,3,3,3,0,3
1,120,-.0691252,.0489549,.000227,-1.933519,-.0293669,3.69e-10,0,.2628467,.0000167,.6042262,3,3,0,3,0
2,120,.15677,-.0215913,-.0003448,-.0078366,.022552,1.05e-27,1.47e-07,.2350136,.9625158,.6650488,3,3,0,0,0
3,120,.0387285,.0263845,-.0019037,-.699092,.2264724,.0028248,2.73e-09,3.89e-10,.2276453,.0009093,3,3,3,0,3
1,150,-.0875259,.0490182,.0003184,-1.704814,-.0362425,3.70e-16,0,.0705966,.000012,.4546526,3,3,1,3,0
2,150,.1605619,-.0243033,-.0000839,-.6526791,-.106156,1.14e-28,5.56e-09,.7636343,.0034139,.0759035,3,3,0,3,1
3,150,.0353066,.0230456,-.0018275,-.4969786,.235657,.0064822,7.21e-08,2.83e-10,.3484293,.0007171,3,3,3,0,3
1,180,-.0988679,.0482719,.0003287,-1.520633,-.042275,1.36e-20,0,.0340214,.0000143,.3151047,3,3,2,3,0
2,180,.1508023,-.0250139,-.000222,-.4407886,-.094335,1.53e-22,1.03e-07,.4349438,.0841177,.1395356,3,3,0,1,0
3,180,.0354899,.018344,-.0016216,-.1350485,.1983443,.0094816,.0000177,1.31e-07,.8109672,.0217023,3,3,3,0,2
