gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.3015352,.0421754,.0016661,41.89162,-2.098502,.1194051,.0285483,.0084331,.2654924,.3424587,0,2,3,0,0
2,10,.3011514,.0671316,-.0008348,145.7067,9.131301,.0000203,5.52e-09,.0418987,.0372266,.0749957,3,3,2,2,1
3,10,.1127296,.0774978,.0001184,19.91128,1.714676,.0034426,8.63e-24,.702051,.6725919,.6121519,3,3,0,0,0
1,20,.2411465,.050617,.0023571,34.45826,-4.344466,.0951618,.0008758,.008662,.3866209,.0279614,1,3,3,0,2
2,20,.2435919,.0711161,-.0012067,158.7036,11.83173,.0001695,9.35e-10,.0079868,.0271476,.0343622,3,3,3,2,2
3,20,.0545801,.0841839,.0000826,26.69226,1.490933,.143542,1.50e-26,.7894731,.5607411,.6572565,0,3,0,0,0
1,30,.1555931,.0620217,.0023819,30.05652,-4.880065,.1808874,.0000127,.0109906,.4797083,.0273398,0,3,2,0,2
2,30,.2295169,.0721248,-.0011053,124.0687,10.76005,2.89e-07,2.53e-14,.0088346,.0496588,.0338762,3,3,3,2,2
3,30,-.0107727,.0912049,.0000347,30.80653,1.531121,.7638701,1.90e-30,.9090579,.4889837,.6372424,0,3,0,0,0
1,60,.0544465,.0733519,.0023322,29.5681,-4.761205,.5241321,2.56e-07,.0148989,.3872283,.0183719,0,3,2,0,2
2,60,.1718079,.072455,-.000529,84.7763,4.1247,4.75e-20,1.64e-29,.042766,.0334964,.1783628,3,3,2,2,0
3,60,-.0727812,.094025,.0000677,31.73236,.7570167,.0132944,1.73e-38,.7624536,.3803207,.7373767,2,3,0,0,0
1,90,.0187041,.075343,.0023417,33.47346,-4.901507,.8287396,8.01e-08,.0127975,.3061943,.0154459,0,3,2,0,2
2,90,.1219632,.0759773,-.0001785,54.25599,2.993476,7.70e-14,0,.3531585,.0768597,.1898322,3,3,0,1,0
3,90,-.1348992,.0988013,.0000342,35.01613,.2405048,7.41e-08,0,.8498233,.2173599,.8905166,3,3,0,0,0
1,120,-.0203906,.0774912,.0023128,37.76671,-4.773579,.836749,2.99e-07,.0133142,.2518584,.0220069,0,3,2,0,2
2,120,.1226979,.0719716,-.0002297,25.53668,2.72659,3.61e-14,0,.1441276,.2804499,.1637032,3,3,0,0,0
3,120,-.2074531,.1050605,-.0000755,38.47182,.1475334,7.00e-18,0,.6081924,.0873507,.9153594,3,3,0,1,0
1,150,.1009968,.0637961,.0024116,28.20348,-3.92376,.387214,.000082,.0110461,.4207279,.085669,0,3,2,0,1
2,150,.1324152,.0680694,-.0002373,5.611751,3.221195,1.20e-13,6.15e-38,.134043,.7791308,.0990468,3,3,0,0,1
3,150,-.2653168,.1105142,-.0001059,32.47873,.1183406,3.11e-28,0,.350686,.0625487,.9125316,3,3,0,1,0
1,180,.1624523,.0542623,.0024655,28.3864,-3.39523,.0731282,.0006983,.0097775,.3984972,.1477101,1,3,3,0,0
2,180,.118409,.0670085,-.0003084,8.027606,4.526298,1.85e-09,2.13e-33,.1031636,.7400159,.0445685,3,3,0,0,2
3,180,-.3153253,.1147236,-.0002066,28.37159,.5923496,0,0,.0203464,.0458428,.4876394,3,3,2,2,0
