gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.3601956,.0424327,-.003583,-5.917814,.365819,3.74e-07,.0001463,.0234618,.004836,.2673773,3,3,2,3,0
2,10,.2313197,.0084228,-.0107346,-4.728439,1.662843,7.61e-12,.4951818,.0103311,.150756,.0852518,3,0,2,0,1
3,10,.371864,.0036114,.0021856,-2.358573,-.3965624,1.70e-11,.7166089,.0181324,.3341266,.1787353,3,0,2,0,0
1,20,.3310136,.0290671,-.0038274,-4.304147,.4103625,5.20e-10,.0012175,.0018233,.0069894,.1007333,3,3,3,3,0
2,20,.2019374,.0021072,-.0065304,-1.959166,.9096081,2.09e-17,.7969868,.0157034,.3057728,.1559523,3,0,2,0,0
3,20,.3198214,.0026825,.0006257,-.0189749,-.1613353,5.62e-14,.7197965,.3191073,.9887721,.4151497,3,0,0,0,0
1,30,.28065,.0276878,-.0039474,-4.563323,.5482883,1.08e-11,.0001215,.000012,.0002539,.0027805,3,3,3,3,3
2,30,.2034122,.0031826,-.0061793,-1.759853,.7109916,3.22e-22,.7173991,.0163968,.4659716,.2769826,3,0,2,0,0
3,30,.3311388,-.0043257,.0010079,.2229749,-.1675978,1.21e-17,.52426,.0437032,.7864582,.2315247,3,0,2,0,0
1,60,.1590738,.0246642,-.0018059,-.9131405,.2216157,4.21e-09,7.55e-06,.0001974,.1615679,.0191792,3,3,3,0,2
2,60,.1899227,-.0146702,.0014031,2.320387,-.8198597,1.11e-27,.0065053,.3046658,.1283564,.0348649,3,3,0,0,2
3,60,.3186295,-.0147367,.0004763,2.076823,-.0624706,2.03e-23,.0086868,.0882021,.0003781,.3897824,3,3,1,3,0
1,90,.0782029,.0313205,-.0011755,-.7513003,.1662886,.0000467,2.61e-12,.0019567,.1420228,.0282407,3,3,3,0,2
2,90,.1682007,-.0128448,.0023054,2.084974,-1.018777,2.86e-23,.003069,.0416197,.0719879,.0030728,3,3,2,1,3
3,90,.3280376,-.026576,.000783,1.577713,-.0883698,9.06e-30,3.53e-08,.0001965,.0004524,.1124318,3,3,3,3,0
1,120,.0343167,.032916,-.0008993,-.5430804,.1338502,.0303092,1.20e-15,.0078544,.2519229,.0570832,2,3,3,0,1
2,120,.1286657,-.0116358,.0033508,3.595569,-1.110062,3.75e-14,.0130738,.0020435,.0063253,.001488,3,2,3,3,3
3,120,.3030476,-.026478,.0009435,1.253926,-.0996069,3.67e-28,3.33e-08,.0001555,.0031009,.184825,3,3,3,3,0
1,150,.0079367,.0327449,-.000648,-.3401614,.0948714,.6340157,1.16e-14,.0455411,.4614202,.1568542,0,3,2,0,0
2,150,.0505564,-.0009804,.0022872,5.435359,-.6284431,.0009283,.8137684,.0179545,.0006707,.0519513,3,0,2,3,1
3,150,.2800783,-.0261487,.0009352,1.16209,-.0541311,1.80e-22,1.34e-06,.0000361,.0105909,.395656,3,3,3,2,0
1,180,.0128536,.0280497,-.0005793,-.105934,.0719133,.4117545,1.66e-12,.0509882,.8039529,.2389951,0,3,1,0,0
2,180,.0074394,.0062604,.0018626,6.058569,-.4453043,.6111165,.0870011,.0255285,.0001043,.1141968,0,1,2,3,0
3,180,.2239991,-.0164766,.0007777,.5726557,-.0329166,8.34e-15,.0033986,.0001266,.1626813,.516799,3,3,3,0,0
