gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2325432,.0639364,-.0018924,-34.45843,1.952399,.0005643,9.38e-08,.0004591,.0004247,.0028291,3,3,3,3,3
2,10,.2633348,-.0323762,.0016502,192.3835,-8.951175,.0001462,.2337188,.5788926,.1033055,.3994977,3,0,0,0,0
3,10,.0514204,.1231706,-.0005818,-121.8381,-7.828984,.5153787,3.34e-09,.8231263,.0132144,.3555154,0,3,0,2,0
1,20,.1398246,.0526607,-.0017568,-19.06007,1.566597,.0011112,3.58e-10,8.77e-06,.0012536,.0003823,3,3,3,3,3
2,20,.2115572,-.0320433,.0008106,194.4561,-7.334017,.0000414,.0870149,.7373356,.0191882,.374283,3,1,0,2,0
3,20,.0092921,.0964645,-.0008004,-54.95148,-3.923491,.8924311,1.54e-07,.6426847,.116521,.4720513,0,3,0,0,0
1,30,.1471193,.0360307,-.0012355,-14.05724,1.228991,.0002148,7.61e-07,.0002216,.0009909,.0004627,3,3,3,3,3
2,30,.1566804,-.0098208,-.0009232,127.3663,1.012984,1.54e-06,.4715686,.6245167,.0134582,.8626122,3,0,0,2,0
3,30,.1261223,.0510856,-.0008188,-11.85604,-.9734954,.0053273,.0000663,.4629177,.6169135,.7739988,3,3,0,0,0
1,60,.1328755,.0210726,-.0000299,-1.731625,.2850467,9.48e-07,.0000114,.8697545,.4151363,.1320034,3,3,0,0,0
2,60,.1373698,.0109186,-.0028455,51.77563,3.986535,1.07e-10,.3954814,.0606389,.1904044,.3923773,3,0,1,0,0
3,60,.2019735,.017653,.0000973,1.241704,-.2100728,5.03e-11,.004904,.8763755,.914651,.9144062,3,3,0,0,0
1,90,.0725725,.0218368,.0004095,2.460124,-.009336,.0002295,1.47e-08,.0046247,.1617807,.9501442,3,3,3,0,0
2,90,.1350342,-.003064,-.0014774,78.53075,-2.31413,5.76e-10,.8183092,.3151025,.0238349,.5890642,3,0,0,2,0
3,90,.2636397,-.0049511,.0004133,-7.503464,-.4045744,7.78e-11,.5258943,.3830307,.4109758,.786177,3,0,0,0,0
1,120,.031649,.0224499,.0005058,4.976772,-.1176531,.0687957,5.84e-10,.0001501,.0019648,.3868987,1,3,3,3,0
2,120,.1350276,-.0117622,-.0015337,86.15981,-1.455211,2.38e-10,.3842358,.2907064,.0120678,.7282139,3,0,0,2,0
3,120,.3050767,-.0241193,.0007605,.5959714,-1.237616,3.47e-13,.0038342,.0591932,.9372748,.334188,3,3,1,0,0
1,150,-.0065358,.0247646,.0005683,7.302544,-.1810015,.7032098,1.93e-11,.0000366,.0000207,.2040575,0,3,3,3,0
2,150,.1285416,-.0148132,-.0015833,83.65728,-.8954703,2.56e-07,.3146531,.2745838,.0152187,.8291986,3,0,0,2,0
3,150,.1927313,-.0067505,.0008031,9.737009,-1.434699,2.16e-06,.4347172,.038933,.1790245,.2464701,3,0,2,0,0
1,180,-.0173436,.0231042,.000618,8.488865,-.2468336,.2815024,1.56e-11,1.47e-06,6.72e-07,.0610169,0,3,3,3,1
2,180,.146432,-.020644,-.0023192,70.93001,1.027655,5.46e-08,.160032,.1026517,.0425407,.8020042,3,0,0,2,0
3,180,.0988483,.0071725,.0007628,18.62879,-1.301627,.0318607,.4775091,.0326358,.0079688,.2590428,2,0,2,3,0
