gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2330877,.0683664,-.0017991,-33.34273,1.459813,1.09e-06,4.64e-11,.0015308,1.22e-08,.0056563,3,3,3,3,3
2,10,.2266272,.031406,-.0022878,-51.64088,1.519561,1.87e-06,.017481,.2656834,.0002752,.5503971,3,2,0,3,0
3,10,.0935866,.0729186,-.0012685,-22.38026,1.058577,.126207,3.16e-06,.2248776,.000922,.2113683,0,3,0,3,0
1,20,.2059262,.0478312,-.0010921,-27.29537,1.027396,7.03e-07,6.34e-08,.0079291,3.82e-10,.0039811,3,3,3,3,3
2,20,.1911763,.0323598,-.0023454,-42.96237,.9642657,3.21e-17,.0000153,.0629975,.0000137,.5323732,3,3,1,3,0
3,20,.2039441,.0396272,-.0022219,-20.22603,1.293936,2.05e-06,.000327,.0038439,.0002967,.0674181,3,3,3,3,1
1,30,.1678095,.0400303,-.0006859,-21.00593,.5176226,4.15e-08,8.03e-10,.0248534,7.91e-08,.0605767,3,3,2,3,1
2,30,.1482446,.028532,-.0008982,-17.53237,-1.65834,2.49e-10,.0001343,.3846095,.0462844,.2202895,3,3,0,2,0
3,30,.1855627,.0343233,-.0012768,-12.58617,.2173635,1.70e-06,.0005432,.0365995,.0001165,.6595712,3,3,2,3,0
1,60,.1611811,.0187568,-.0003168,-6.907171,.0205462,2.27e-18,1.98e-07,.0390913,2.72e-06,.867744,3,3,2,3,0
2,60,.1593208,.0021899,-.0010015,-1.276717,-.8278165,2.85e-31,.5943819,.0878724,.7568721,.2223579,3,0,1,0,0
3,60,.3507116,-.0260175,-.000985,-4.824647,.1685601,1.03e-25,.0002825,.0102536,.0934942,.6749662,3,3,2,1,0
1,90,.1273416,.0137859,-.0000304,-1.775602,-.2591735,5.10e-21,2.13e-07,.8189458,.0533031,.0183224,3,3,0,1,2
2,90,.1436201,-.0057017,.0004051,7.770807,-1.519958,6.53e-28,.1432961,.4803117,.0346107,.0310462,3,0,0,2,2
3,90,.2632259,-.0197084,-.0004809,.0267157,-.030902,1.31e-24,.0002455,.1511154,.9911789,.9300661,3,3,0,0,0
1,120,.1119347,.0103809,.0000161,-.1652668,-.2733369,2.62e-18,.0000274,.8785711,.8250633,.0010009,3,3,0,0,3
2,120,.1231917,-.0033869,.0001574,7.363208,-1.471649,1.22e-24,.3598379,.7825077,.1104895,.0775484,3,0,0,0,1
3,120,.2489065,-.0231373,-.0004041,.4119606,-.0443926,1.30e-24,.0000138,.2085557,.8689888,.8992892,3,3,0,0,0
1,150,.1086091,.0058764,.000103,1.094341,-.2791224,1.58e-17,.0165541,.2747756,.1019819,.0001133,3,2,0,0,3
2,150,.1161887,-.0063282,.0003423,7.87209,-1.715055,2.25e-23,.0777721,.5151032,.0296425,.0152914,3,1,0,2,2
3,150,.2863398,-.0376553,-.000314,.94337,-.0098862,2.67e-26,8.80e-10,.2903407,.6933548,.976193,3,3,0,0,0
1,180,.1075125,.0023849,.000241,1.6179,-.3669835,1.95e-19,.2762746,.0221658,.0078317,.0000419,3,0,2,3,3
2,180,.107662,-.0122123,.0009241,14.74254,-2.320681,8.89e-20,.0023779,.0878225,.0000266,.0004803,3,3,1,3,3
3,180,.255892,-.0353793,-.000151,1.927885,-.069624,5.40e-20,5.62e-08,.5644249,.3701781,.809952,3,3,0,0,0
