gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.1648702,.0474177,-.00058,.3074535,-.2596849,.000705,3.30e-06,.438838,.7140073,.0331274,3,3,0,0,2
2,10,.4272591,.0047627,-.00218,-3.561097,.1762634,4.78e-14,.6953418,.5280421,.0000608,.4870383,3,0,0,3,0
3,10,.2043521,.0266911,.0019193,.4817625,.144361,3.28e-07,.0245325,.5190037,.598971,.5426528,3,2,0,0,0
1,20,.1452288,.0385557,-.0005542,.018864,-.2439099,2.00e-06,1.04e-08,.2866261,.9734547,.0020944,3,3,0,0,3
2,20,.335651,.0163804,-.0021135,-2.625404,.1148578,1.61e-17,.0307248,.3925951,1.46e-06,.5529708,3,2,0,3,0
3,20,.1707036,.0437609,.001275,.0781589,.0106974,1.79e-08,6.65e-08,.4852462,.8741181,.940855,3,3,0,0,0
1,30,.1386834,.0277069,1.77e-06,.6966618,-.2894089,1.13e-07,3.20e-07,.9967035,.1283876,.0000127,3,3,0,0,3
2,30,.2203565,.0237716,.0024798,-.8743244,-.3202389,1.38e-17,.0001597,.2294846,.1249282,.0647679,3,3,0,0,1
3,30,.1565874,.0522054,.0020169,-.3206247,-.0430329,7.99e-11,5.87e-15,.1763668,.3478385,.7162667,3,3,0,0,0
1,60,.0070926,.0410654,-.0001161,.8827508,-.1549181,.0235268,1.13e-31,.7074826,.0072119,.0016079,2,3,0,3,3
2,60,.1949248,.0114355,.0021758,-.479878,-.2944947,1.19e-20,.0044523,.0836851,.2020391,.0099385,3,3,1,0,3
3,60,.1013736,.0515685,.0005736,.1172271,-.0366843,4.13e-15,1.17e-28,.4744363,.548938,.5633137,3,3,0,0,0
1,90,-.0006224,.0362829,-.000265,.6233009,-.0824139,.7861124,4.16e-36,.237009,.0129405,.0159859,0,3,0,2,2
2,90,.1692613,-.0030882,.0033487,.2513989,-.2930952,7.40e-26,.3684355,.0012437,.44129,.0012153,3,0,3,0,3
3,90,.0845064,.0437934,-.000137,.2059857,.0016962,5.49e-15,4.49e-31,.8441719,.1528888,.9765841,3,3,0,0,0
1,120,-.0078357,.0335258,-.0002587,.375773,-.0553162,.0390703,2.50e-37,.2193366,.0657535,.0791703,2,3,0,1,1
2,120,.1416287,-.0074864,.0039171,.6260735,-.2869672,6.61e-19,.0207969,.0001363,.0542572,.0025339,3,2,3,1,3
3,120,.0676071,.0388348,.0001761,.2674956,-.0223218,4.09e-12,5.30e-31,.7956711,.0232088,.6988155,3,3,0,2,0
1,150,-.0118236,.0327014,-.0003033,.1611485,-.0224483,.0138074,0,.0935919,.3297542,.385419,2,3,1,0,0
2,150,.0996408,-.0018375,.0031885,.8167056,-.2487867,1.43e-08,.6119798,.0054967,.0321962,.0203664,3,0,3,2,2
3,150,.039509,.0408803,-.0002325,.2512573,-.0039373,2.05e-06,1.36e-36,.6839311,.0121639,.9351606,3,3,0,2,0
1,180,-.0157632,.0309475,-.000271,.1134192,-.0090331,.0043225,0,.0743694,.4189503,.6633522,3,3,1,0,0
2,180,.0483781,.0074465,.0023254,1.033536,-.2046447,.0110567,.0682305,.0288752,.0049687,.045686,2,1,2,3,2
3,180,.022007,.0402006,-.0002936,.2571321,-.0031291,.0022921,1.59e-38,.4630066,.0047382,.9231092,3,3,0,3,0
