gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0294978,-.0116804,.0008838,0,0,.9098025,.6040536,.6145223,,,0,0,0,0,0
2,10,-.0475631,.0033405,.0001247,-3803.05,-282.5629,.8145866,.7817112,.8857985,5.15e-14,7.61e-21,0,0,0,3,3
3,10,.1298586,.001151,-.0003942,-2213.148,0,.3118252,.8447285,.3526059,1.27e-26,,0,0,0,3,0
1,20,-.1583707,-.0107367,.0005588,0,0,.7450514,.5990472,.7402629,,,0,0,0,0,0
2,20,.0375252,.0018392,-.0000468,-2452.675,-177.1531,.8959497,.8675293,.9491367,1.37e-07,1.76e-12,0,0,0,3,3
3,20,.2784679,.0012945,-.0004253,-2329.832,0,.1784551,.8138416,.2928767,3.70e-20,,0,0,0,3,0
1,30,.2445817,-.0050886,.0005905,0,0,.6606787,.7688184,.7116636,,,0,0,0,0,0
2,30,-.4533387,-.0007724,-.000361,-568.4844,-43.90919,.3439533,.9414626,.6121587,.2074476,.0645388,0,0,0,0,1
3,30,.4687618,.0010367,-.0003988,-2324.656,0,.1953523,.8339761,.2781377,9.75e-15,,0,0,0,3,0
1,60,-.1464503,.0021179,.000297,0,0,.7769307,.8666915,.7673091,,,0,0,0,0,0
2,60,-.7243196,-.0010409,-.0002135,128.3502,7.922657,.4421684,.9063442,.6874616,.7652512,.6817393,0,0,0,0,0
3,60,.9255859,.0001224,-.000256,-2038.105,0,.1397942,.9740239,.3086991,1.48e-14,,0,0,0,3,0
1,90,-.2567962,.0050121,.0004085,0,0,.655772,.6482869,.5593472,,,0,0,0,0,0
2,90,-.1242446,-.0001242,-.000031,39.29502,13.61845,.9006972,.9844003,.9385529,.8926539,.2851338,0,0,0,0,0
3,90,.7109015,.0004897,-.0000847,-1345.068,0,.2419287,.8521874,.6067469,1.43e-13,,0,0,0,3,0
1,120,1.09971,.0037429,.0005371,0,0,.5920073,.7140865,.4730624,,,0,0,0,0,0
2,120,-.8810827,-.000753,.0000751,182.0487,16.04697,.2633749,.8698034,.7808819,.347645,.0831603,0,0,0,0,1
3,120,1.248107,.0001167,-.0001192,-972.5398,0,.0040658,.9559384,.3281808,6.14e-18,,3,0,0,3,0
1,150,-1.403959,.0068495,.0001919,0,0,.5223868,.519982,.814241,,,0,0,0,0,0
2,150,.1828268,.0003752,.0001116,-126.9219,-4.369236,.8065079,.91637,.6322678,.498083,.6463727,0,0,0,0,0
3,150,.9996792,-.0001078,-.0000739,-424.8754,0,.0019494,.9546466,.4934431,1.35e-15,,3,0,0,3,0
1,180,-1.314242,.0066781,.0001432,0,0,.3505115,.4653387,.8478705,,,0,0,0,0,0
2,180,.4255392,.0005468,.000135,-280.2237,-17.60565,.5751199,.8603944,.5180228,.2049058,.1005636,0,0,0,0,0
3,180,.6069589,-.0002488,-.0000636,18.72221,0,.0427473,.8931009,.5411801,.5376158,,2,0,0,0,0
