gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0880913,-.054479,-.0032335,-52.24202,4.95047,.0001093,.0007399,.1037355,8.24e-06,.0067447,3,3,0,3,3
2,10,-.019712,.0024787,-.0099593,-.2966504,-.0476389,.3724577,.8933817,.0011897,.6416987,.7249227,0,0,3,0,0
3,10,.0262147,.0540446,-.0029078,-2.219439,.5391952,.0359493,2.19e-08,.0046093,9.94e-07,.0027992,2,3,3,3,3
1,20,.1717043,-.1241648,-.0007677,-44.78646,3.388687,.0033762,.0008541,.791445,.0000232,.0690635,3,3,0,3,1
2,20,.0001617,-.0015567,-.0080903,-.8640361,.1104652,.9968773,.9489142,.0056934,.1320483,.3936089,0,0,3,0,0
3,20,.0255635,.0432547,-.0017424,-2.185545,.300403,.0044186,5.55e-09,.008861,1.32e-12,.0160694,3,3,3,3,2
1,30,.1369593,-.1008045,-.0032297,-37.44162,3.357143,.0008012,.0000322,.0467733,.00001,.0145199,3,3,2,3,2
2,30,.0012339,-.046857,.0022939,.449698,-.1675578,.9652143,.2408989,.7083951,.4794675,.3366663,0,0,0,0,0
3,30,.0489695,.0218663,-.0016823,-1.985454,.2166521,2.72e-08,.0006542,.0020777,5.50e-15,.0385052,3,3,3,3,2
1,60,.0667386,-.0611436,-.0014179,-21.11932,2.236137,2.43e-09,5.23e-12,.2299489,8.55e-07,.0016638,3,3,0,3,3
2,60,.0206482,-.0091759,.0054212,-.5364588,-.1556855,.8137331,.8632272,.2430348,.4225647,.2316682,0,0,0,0,0
3,60,.066754,.0010548,-.0013568,-1.709047,.136192,8.52e-15,.8532206,.0016274,9.68e-17,.1109905,3,0,3,3,0
1,90,.0325719,-.0366177,-.0011638,-14.77611,1.801846,6.91e-10,1.84e-12,.10497,2.12e-07,.0002671,3,3,0,3,3
2,90,.0667418,-.0568716,.0036457,-.2583196,-.1008571,.4386154,.4054243,.2975506,.4380001,.2404724,0,0,0,0,0
3,90,.0742856,-.0105169,-.0005487,-1.367698,.0461501,3.38e-23,.0204801,.0872014,3.13e-17,.4908226,3,2,1,3,0
1,120,.0196751,-.0274824,-.0007252,-11.66724,1.487363,7.94e-08,2.00e-17,.1486457,3.83e-08,.0000838,3,3,0,3,3
2,120,.0160122,-.0142819,.000172,-.139789,-.0193496,.8824533,.8797672,.8888166,.1824911,.6152169,0,0,0,0,0
3,120,.0676896,-.0094516,-.0000951,-1.318099,.0294172,7.24e-23,.0209643,.7701012,6.11e-18,.6733815,3,2,0,3,0
1,150,.0250586,-.0282777,-.0007726,-10.40535,1.361109,3.63e-10,3.00e-19,.1014732,1.17e-07,.0000779,3,3,0,3,3
2,150,.0348135,-.0280608,-.0003287,-.159216,.001293,.7677741,.7877991,.6576973,.0299675,.9625183,0,0,0,2,0
3,150,.0707143,-.0131225,.0000767,-1.393363,.0433497,2.60e-24,.0012067,.8304849,7.51e-19,.5743924,3,3,0,3,0
1,180,.0337414,-.0306056,-.0005444,-6.792762,.6854174,3.42e-16,7.35e-23,.2071318,.0000103,.0186686,3,3,0,3,2
2,180,.0436691,-.0318289,-.0003261,-.2651858,.0196746,.2576588,.3297956,.6710672,.0006164,.4675201,0,0,0,3,0
3,180,.0680837,-.013056,.0003364,-1.423454,.0149528,2.79e-22,.001516,.3335781,3.97e-18,.8419176,3,3,0,3,0
