gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.125951,.0458727,-.0034494,-1.325912,-.1364343,6.67e-08,1.22e-13,.0000161,3.69e-07,.031385,3,3,3,3,2
2,10,.2649234,-.0165448,-.0135834,-3.138124,.5078561,2.18e-21,.0581721,.0002649,6.53e-15,.0094912,3,1,3,3,3
3,10,.1183686,.0252582,-.0016907,-.3147619,-.128414,8.22e-08,.0013918,.5492274,.0816417,.1365359,3,3,0,1,0
1,20,.0909329,.0418695,-.0023416,-.9455022,-.1507611,1.01e-11,1.22e-21,.0000569,7.73e-11,.0002229,3,3,3,3,3
2,20,.2191803,-.0166168,-.0108223,-2.109282,.2886634,0,.0010111,6.62e-09,1.05e-16,.0037853,3,3,3,3,3
3,20,.1016589,.016797,-.0016091,.0000407,-.1072365,1.72e-09,.0047486,.3465179,.9997349,.0478341,3,3,0,0,2
1,30,.0651679,.0400426,-.001201,-.7194794,-.1499964,1.39e-10,1.52e-27,.0013691,2.84e-09,2.97e-06,3,3,3,3,3
2,30,.2015239,-.0219303,-.008673,-1.487743,.209919,0,1.72e-07,6.95e-09,1.13e-13,.0127787,3,3,3,3,2
3,30,.1097927,.0072443,-.0004764,.0219065,-.1098474,1.29e-12,.1413205,.7279318,.8387654,.0110078,3,0,0,0,2
1,60,.038282,.0349992,-.0000162,-.5137947,-.1439358,3.20e-10,1.51e-37,.9253242,3.13e-11,1.59e-10,3,3,0,3,3
2,60,.1863249,-.0321612,-.006643,-.926276,.1827798,5.96e-38,6.28e-14,1.68e-07,9.91e-15,.0005324,3,3,3,3,3
3,60,.1202468,-.0051971,.00076,-.0788827,-.1312568,9.69e-23,.144936,.3767002,.289758,3.39e-06,3,0,0,0,3
1,90,.0195621,.0327714,.0002229,-.3864937,-.117861,.0001281,1.45e-38,.0757734,6.64e-11,1.68e-10,3,3,1,3,3
2,90,.1681996,-.0311386,-.005992,-.83267,.2087402,2.77e-32,3.06e-12,1.23e-06,2.32e-21,7.13e-06,3,3,3,3,3
3,90,.1115368,-.0083011,.0011224,-.0953241,-.1154258,9.04e-27,.0073678,.0808764,.0756131,3.20e-08,3,3,1,1,3
1,120,.0119554,.0305701,.0002974,-.3344889,-.1054723,.0085334,0,.005766,4.32e-11,5.60e-11,3,3,3,3,3
2,120,.1597901,-.0343164,-.0050984,-.5405113,.1941635,3.97e-27,3.10e-11,.0001622,5.97e-15,.0000186,3,3,3,3,3
3,120,.1035546,-.0080714,.0009336,-.1447537,-.0932287,1.35e-28,.0038569,.0751192,.0012171,1.89e-08,3,3,1,3,3
1,150,.0039653,.0297757,.0003107,-.2979941,-.0917199,.3297512,0,.0011564,8.79e-11,1.92e-10,0,3,3,3,3
2,150,.1427776,-.0319755,-.0047928,-.3415437,.1629355,4.47e-20,8.13e-08,.0003823,2.02e-07,.0002602,3,3,3,3,3
3,150,.1062244,-.0110431,.0011193,-.1775713,-.0827087,1.10e-30,.0000662,.0073814,4.69e-06,4.92e-10,3,3,3,3,3
1,180,-.0026248,.0292658,.0003192,-.2712734,-.0798677,.5113081,0,.0002143,1.98e-10,7.99e-10,0,3,3,3,3
2,180,.1406558,-.0301151,-.0050682,-.5577171,.1687693,1.43e-18,2.40e-07,.0000168,1.95e-09,.0026612,3,3,3,3,3
3,180,.1030218,-.0129618,.0011595,-.1572235,-.0717238,7.78e-36,5.60e-08,.0011161,9.68e-07,1.13e-10,3,3,3,3,3
