gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.3063275,.0523174,-.0000772,-.4187867,.116362,3.68e-07,.0000187,.9491788,.7769954,.5636821,3,3,0,0,0
2,10,.2737932,.0790764,.0079136,.3259914,-.4689345,.000106,.0026841,.1532033,.8543124,.2532942,3,3,0,0,0
3,10,-.1994202,-.0194366,.0158045,5.589969,-.552652,.019646,.43653,.0105764,.0000431,.0412956,2,0,2,3,2
1,20,.1595465,.0461003,.0008796,1.668199,-.064565,.0000297,2.85e-07,.3166542,.1453712,.6475888,3,3,0,0,0
2,20,.2191994,.0908358,.0039948,-.1043376,-.2615813,4.94e-10,2.53e-08,.2194871,.9195972,.2637225,3,3,0,0,0
3,20,-.2179887,.0028182,.0120575,5.332477,-.4267217,.0000992,.8603151,.0024626,8.82e-09,.0133654,3,0,3,3,2
1,30,.1181825,.0429405,.0006754,2.457117,-.09428,.0000451,1.61e-09,.3036413,.0058369,.3745109,3,3,0,3,0
2,30,.1770212,.107192,.000464,-.9497046,-.059938,1.05e-10,9.40e-16,.8517109,.2169893,.7401084,3,3,0,0,0
3,30,-.2468728,.0310297,.0082493,4.60852,-.2874687,8.07e-09,.0078602,.0038128,3.15e-11,.0203902,3,3,3,3,2
1,60,.0241398,.062673,-.0004665,1.802128,.0108045,.1618885,8.25e-31,.2494778,.0015435,.8646016,0,3,0,3,0
2,60,.132618,.1068863,-.0030026,-1.585884,.1919664,1.55e-16,2.13e-30,.031938,.0003667,.0563118,3,3,2,3,1
3,60,-.2497914,.0665542,.0046453,3.143112,-.1504257,7.14e-18,4.31e-19,.0015323,1.70e-17,.016641,3,3,3,3,2
1,90,.0008945,.0724283,-.0004788,.6848913,.0191845,.9021163,0,.0907656,.0541349,.657061,0,3,1,1,0
2,90,.1051806,.0919883,-.0026455,-1.134312,.1842894,1.68e-18,1.12e-33,.0100161,.001791,.0156302,3,3,2,3,2
3,90,-.2336019,.075601,.0037321,2.32728,-.1241085,4.39e-27,3.22e-33,.0003922,1.94e-19,.007039,3,3,3,3,3
1,120,-.0091493,.0725511,-.0005339,.113945,.0369954,.289725,0,.0162258,.6711029,.2699209,0,3,2,0,0
2,120,.1144729,.0732426,-.0016312,-.7860701,.1293618,1.25e-27,4.84e-32,.03554,.0057188,.0250906,3,3,2,3,2
3,120,-.2272057,.0782923,.0031772,1.848046,-.1019192,2.23e-37,0,.0001025,4.28e-21,.0038659,3,3,3,3,3
1,150,-.0150887,.0696638,-.0004615,-.1336083,.0351479,.0832316,0,.0139117,.5449787,.2089831,1,3,2,0,0
2,150,.1158233,.0634675,-.0015634,-.7588814,.144361,7.38e-27,1.01e-31,.010788,.0012993,.0016685,3,3,2,3,3
3,150,-.2245585,.0785839,.0025921,1.558365,-.080205,0,0,.0000567,7.92e-23,.0038038,3,3,3,3,3
1,180,-.0144542,.0653768,-.0004508,-.3032095,.0419348,.0424914,0,.0063606,.1122229,.0874345,2,3,3,0,1
2,180,.0982425,.0620861,-.0015419,-.8478752,.1423396,2.50e-16,3.80e-31,.0058117,.0001202,.0007189,3,3,3,3,3
3,180,-.2173014,.080491,.0019836,1.185094,-.0648619,0,0,.0001756,8.85e-21,.0040553,3,3,3,3,3
