gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.2445854,.0288655,-.0004714,.7841018,.0164009,.0004643,.0005182,.7349485,.2036257,.8340262,3,3,0,0,0
2,10,.153045,.0401773,.0030884,2.802544,-.1592848,.0064182,.0005879,.2584893,.0000395,.0685855,3,3,0,3,1
3,10,.3026137,.0999359,.0062017,-2.89373,-.0150812,.0059794,6.55e-17,.135776,.0000244,.9146877,3,3,0,3,0
1,20,.0337954,.0148585,.0004194,2.170369,-.0553149,.5155798,.0185364,.6960984,6.99e-06,.3341954,0,2,0,3,0
2,20,.0680356,.04767,.0038609,3.331979,-.1493233,.1514994,4.53e-08,.072567,1.84e-08,.0113437,0,3,1,3,2
3,20,.2276171,.0898591,.0035486,-1.95734,.0211226,.0040916,2.60e-20,.2605553,.0000667,.8371267,3,3,0,3,0
1,30,-.0262415,.0061774,.002209,2.797029,-.1410882,.5382689,.2829082,.0159606,8.79e-12,.0031018,0,0,2,3,3
2,30,.0191159,.0550919,.0038723,3.375061,-.1447744,.6405815,4.44e-14,.0216568,7.35e-10,.0011861,0,3,2,3,3
3,30,.1379146,.0952301,.0020936,-1.451914,.0392033,.0365338,1.54e-28,.3846626,.0002011,.6174595,2,3,0,3,0
1,60,.0110071,.0089662,.0031001,2.575504,-.1703163,.6532035,.0277675,2.40e-06,4.58e-18,6.52e-07,0,2,3,3,3
2,60,.0126728,.0727806,.0025144,2.109146,-.1034896,.3837713,0,.0034254,5.75e-15,.0000206,0,3,3,3,3
3,60,-.0830515,.1029938,.0030242,-.3897454,-.0294149,.1019282,0,.0571326,.0902986,.5446355,0,3,1,1,0
1,90,-.0577345,.0328754,.0013612,1.906263,-.0782532,.0146796,2.98e-07,.0956426,9.77e-13,.0310764,2,3,1,3,2
2,90,.0292988,.0806997,.0018484,1.147436,-.0823377,.024087,0,.0055259,8.05e-10,.0000303,2,3,3,3,3
3,90,-.1667921,.1128876,.0032021,-.3144202,-.0441267,.0000167,0,.0088622,.0674244,.2318863,3,3,3,1,0
1,120,-.0730149,.0431707,.001141,1.472142,-.0573878,.0000177,6.66e-27,.1497654,2.53e-13,.0954519,3,3,0,3,1
2,120,.0710702,.0761367,.0018056,.5921517,-.0756358,4.59e-09,0,.0009485,.0001544,.0000559,3,3,3,3,3
3,120,-.2607295,.1195435,.0030087,-.1657935,-.0421949,4.06e-15,0,.0027689,.2191085,.1802885,3,3,3,0,0
1,150,-.094358,.0492101,.0018545,1.209455,-.0784814,3.23e-09,0,2.46e-07,9.55e-16,7.11e-06,3,3,3,3,3
2,150,.0742553,.0711826,.0019446,.4864949,-.0856497,5.09e-16,0,6.98e-06,.0000496,1.90e-07,3,3,3,3,3
3,150,-.3661534,.1226189,.0020141,.1678707,-.020654,7.59e-30,0,.0148338,.1022345,.4339468,3,3,2,0,0
1,180,-.1096646,.052781,.0015949,.98632,-.062522,8.56e-13,0,3.36e-07,1.46e-14,.0000328,3,3,3,3,3
2,180,.0644777,.0681471,.0019082,.4262782,-.0879324,2.50e-14,0,6.25e-07,.0000232,3.73e-09,3,3,3,3,3
3,180,-.4192047,.1247262,.0014308,.2600079,-.016023,0,0,.0272808,.0009419,.443473,3,3,2,3,0
