gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,-.0786496,-.0928432,.0037062,-11.22403,-.2771169,8.73e-06,6.50e-23,.0001055,.0000105,.4601678,3,3,3,3,0
2,10,-.1655013,-.1429625,.0047341,5.994811,-.3505554,.0000329,3.12e-10,.1858926,.1097406,.6112878,3,3,0,0,0
3,10,-.0885011,-.1443917,-.0011562,2.808894,-.028686,.0008685,6.85e-17,.6453375,1.54e-09,.7524592,3,3,0,3,0
1,20,-.0460028,-.0961252,.0038131,-13.04172,-.5193103,.0028984,1.41e-27,.0000155,1.41e-08,.1326931,3,3,3,3,0
2,20,-.1073599,-.1524005,.002451,7.385792,-.5381158,7.93e-08,2.79e-19,.2486912,.0001038,.1097987,3,3,0,3,0
3,20,.0149962,-.193338,.0004065,2.215435,-.1173816,.4892859,8.80e-26,.8659077,3.57e-08,.170908,0,3,0,3,0
1,30,-.0118268,-.1037349,.0035778,-13.02947,-.6270219,.3569845,3.03e-34,5.85e-06,8.65e-11,.0406983,0,3,3,3,2
2,30,-.0806744,-.1490166,.002255,7.559588,-.3770021,1.11e-07,4.48e-23,.2062562,.0001774,.2022832,3,3,0,3,0
3,30,.0369909,-.2025906,.0004807,2.190796,-.0991023,.0765747,5.95e-31,.7986332,4.58e-08,.147491,1,3,0,3,0
1,60,.0236801,-.1141082,.0018301,-8.399718,-.277664,.0138707,0,.0009148,1.65e-09,.188783,2,3,3,3,0
2,60,-.0459041,-.1259977,.0018408,5.689422,-.6197959,9.88e-12,1.21e-23,.5214828,1.14e-06,.0245141,3,3,0,3,2
3,60,.0466426,-.1570487,-.0026855,.9316338,.0430702,.0096311,9.08e-25,.1079924,.0007273,.4615991,3,3,0,3,0
1,90,.0149967,-.1041467,.00073,-5.570274,.013616,.0632706,0,.1307456,1.73e-07,.9370997,1,3,0,3,0
2,90,-.0577011,-.0931035,.0002429,3.062376,-.1881177,5.17e-22,3.51e-31,.8881678,.0001745,.3485307,3,3,0,3,0
3,90,.0277847,-.1359642,.0001596,.9471958,-.0383734,.0049577,0,.832431,3.60e-13,.1683974,3,3,0,3,0
1,120,-.001983,-.0931118,.0005945,-3.093366,.0309522,.7770189,0,.1200728,.0000338,.8128189,0,3,0,3,0
2,120,-.0669822,-.0743756,.0008238,2.694062,-.2192936,1.26e-27,3.74e-33,.2498326,1.90e-07,.0247654,3,3,0,3,2
3,120,.028169,-.1209675,.0000926,.6826359,-.0213782,.0000103,0,.8857584,2.93e-11,.358865,3,3,0,3,0
1,150,-.0078388,-.0833817,.0006849,-2.351294,-.0409234,.2562029,2.09e-35,.0412068,.0002593,.7191972,0,3,2,3,0
2,150,-.0645898,-.0670943,.0010186,2.744892,-.2643034,1.48e-19,5.01e-28,.1078949,3.90e-06,.0328725,3,3,0,3,2
3,150,.0331093,-.1112606,.0002978,.4445614,-.0168941,.0001047,0,.6927622,.0000514,.5331435,3,3,0,3,0
1,180,.0004304,-.0794201,.0006788,-2.313579,-.1191916,.9507652,2.95e-32,.040898,.0009445,.2964048,0,3,2,3,0
2,180,-.0629967,-.061543,.0009133,3.187912,-.3194926,1.24e-13,2.75e-20,.3002738,.0002671,.1098408,3,3,0,3,0
3,180,.0428867,-.1080828,.0009157,.2629314,-.0313084,3.09e-06,0,.2216806,.0138111,.2493544,3,3,0,2,0
