gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0953122,.0952953,-.0015304,5.860157,.2155493,8.86e-07,9.11e-18,.4318645,.0011735,.5101228,3,3,0,3,0
2,10,.0864504,.2271184,-.0038587,-5.597984,.2347734,6.29e-11,5.59e-21,.2219377,.0000383,.2589423,3,3,0,3,0
3,10,.0754406,.2078372,-.0020925,-5.329392,.2622525,.0002855,8.32e-25,.4257962,3.42e-10,.0555284,3,3,0,3,1
1,20,.0558494,.0971054,-.0018302,5.254544,.2752217,.0000141,7.46e-32,.1582728,9.14e-06,.1727398,3,3,0,3,0
2,20,.0580852,.2111215,-.0039493,-4.94367,.2063592,2.10e-07,3.58e-27,.0746913,8.29e-08,.1642948,3,3,1,3,0
3,20,-.0100226,.2011959,-.0012048,-2.93291,.2335506,.5367432,1.07e-33,.4848551,1.59e-07,.0114227,0,3,0,3,2
1,30,.0150473,.1055096,-.0017771,4.658809,.2500162,.1343409,0,.07403,5.44e-08,.1032807,0,3,1,3,0
2,30,.0386345,.1913941,-.0042518,-4.190102,.2373704,.0004573,8.35e-30,.0131615,2.01e-07,.0349811,3,3,2,3,2
3,30,-.052056,.1929983,-.0026194,-1.790012,.3332171,.0002303,0,.0565944,.0001375,.0000208,3,3,1,3,3
1,60,.0026265,.1005751,-.0013201,2.543373,.1523341,.6702771,0,.0205088,6.96e-07,.0844263,0,3,2,3,1
2,60,.0406717,.1471952,-.0032406,-3.137486,.1276568,2.42e-10,1.52e-37,.0019323,3.00e-11,.0848139,3,3,3,3,1
3,60,-.0583217,.1601443,-.0023196,-1.034685,.277217,9.02e-09,0,.0081539,.0003657,1.52e-07,3,3,3,3,3
1,90,.0058403,.0872436,-.0009567,1.752272,.1504203,.3111518,0,.0179733,7.64e-07,.0192493,0,3,2,3,2
2,90,.0418331,.1123775,-.0017664,-1.974517,.0423319,2.12e-13,5.93e-29,.0663704,2.82e-06,.5781316,3,3,1,3,0
3,90,-.0458464,.1366144,-.0020101,-.8640924,.2212161,7.48e-11,0,.0013472,.0000673,4.46e-09,3,3,3,3,3
1,120,.011604,.0765177,-.0009051,1.125897,.1466134,.006314,0,.0032172,9.10e-06,.0029964,3,3,3,3,3
2,120,.049696,.0844584,-.0012188,-1.447149,.0212923,1.03e-22,1.50e-26,.0927232,5.74e-06,.7027869,3,3,1,3,0
3,120,-.0464898,.1182721,-.0016036,-.464914,.180614,1.87e-15,0,.0003391,.0054984,6.69e-11,3,3,3,3,3
1,150,.0141349,.068116,-.0007015,.6736258,.1127236,.0000463,0,.0066666,.0017148,.0100304,3,3,3,3,2
2,150,.0484273,.0702971,-.001041,-1.204794,.015928,5.25e-21,2.50e-25,.0592723,6.45e-07,.6895934,3,3,1,3,0
3,150,-.0481193,.1071038,-.0015935,-.2482713,.1548225,1.89e-19,0,.0000143,.0746308,6.06e-12,3,3,3,1,3
1,180,.0127948,.0627616,-.0006419,.3602012,.1123044,.0000535,0,.0048578,.0595459,.0038161,3,3,3,1,3
2,180,.0447585,.0645052,-.0014269,-1.234932,.0564331,5.42e-14,2.65e-23,.0020491,4.57e-09,.0889327,3,3,3,3,1
3,180,-.0520085,.0989111,-.0012829,-.0298698,.115618,2.00e-24,0,.0000425,.7960209,1.26e-09,3,3,3,0,3
